ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,entry_price,stop_price,target_1,rr_ratio
BA,LONG,0.7041039543501222,7.041039543501222,6,7.0805,price_validation_failed,"call_wall_clear, confirmation_volume, gamma_tailwind, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, structural_breakout, trend_aligned",8.8,NEGATIVE,pullback_to_support,-114849680.16,195.09,250.0,180.0,28.13,7.75,529256.0,444281.0,0.839,131194.0,286353.0,376068.0,,,,
AA,LONG,0.6122474772872593,6.122474772872593,7,6.7212,price_validation_failed,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_support, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned",7.8,NEGATIVE,pullback_to_support,-3810796.97,,65.0,25.0,15.15,55.71,182082.0,165075.0,0.907,79672.0,55876.0,90293.0,,,,
RVMD,LONG,0.5933333333333333,5.933333333333333,8,6.9667,price_validation_failed,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned",8.0,NEUTRAL,pullback_to_support,,,105.0,80.0,9.63,16.48,76569.0,66014.0,0.862,27482.0,53820.0,10590.0,,,,
CORZ,LONG,0.5800000000000001,5.800000000000001,7,6.86,price_validation_failed,"call_wall_clear, ema_pullback, gamma_tailwind, healthy_pullback_volume, not_extended, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",9.3,NEGATIVE,unknown,-1530640.06,15.8,25.0,14.0,58.13,11.45,1358483.0,751254.0,0.553,411183.0,499051.0,353152.0,,,,
AAP,LONG,0.5800000000000001,5.800000000000001,5,5.78,price_validation_failed,"call_wall_clear, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_support, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned",6.9,NEUTRAL,pullback_to_support,,,50.0,40.0,6.29,14.97,106885.0,36382.0,0.34,30003.0,14300.0,32619.0,,,,
GLNG,LONG,0.5472564443294652,5.472564443294652,0,3.2835,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,
GPRE,LONG,0.545280807926619,5.45280807926619,8,6.6264,poor_rr (0.8:1),"call_wall_clear, confirmation_volume, near_term_oi_dominant, not_extended, room_to_target, strong_trend, structural_breakout, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, pullback_to_support",7.5,NEUTRAL,structural_breakout,,,17.0,3.0,9.68,80.65,46351.0,17069.0,0.368,8012.0,2217.0,41783.0,15.5,13.64,17.0,0.81
CVI,LONG,0.5082431121387032,5.082431121387032,0,3.0495,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,
IONQ,LONG,0.5064392826440021,5.06439282644002,6,5.8322,price_validation_failed,"call_wall_clear, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_support, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned",7.5,NEGATIVE,pullback_to_support,-2409822.61,,40.0,20.0,28.21,35.9,292765.0,300577.0,1.027,175528.0,82778.0,209816.0,,,,
KRE,LONG,0.4971757445054306,4.9717574450543065,8,6.5459,price_validation_failed,"bullish_rejection_wick, call_wall_clear, gamma_tailwind, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned",8.3,NEGATIVE,pullback_to_support,-151238779.07,,75.0,60.0,18.97,4.82,923548.0,1576874.0,1.707,496775.0,844715.0,624878.0,,,,
