ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol
OKTA,LONG,0.6990663989932504,6.990663989932504,0.0,4.1944,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,60261.46312125806,15.0,1.0,1.3944226707566183,0.002364,0.003239,95365.73387882794,34195.41860542262,2.54987,1.846308,0.0,1.0,0.506149,0.626186,,,,,,
GOOGL,LONG,0.693815191852271,6.93815191852271,0.0,4.1629,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.8670798600305826,27.0,1.0,18.136363619299328,0.001465,7.8e-05,480805.08843286743,331381.95349234145,1.582214,4.243188,5.0,1.0,0.898486,0.091392,0.0,0.74,0.0,0.0,0.0,0.0
CIEN,LONG,0.6708094598377494,6.708094598377494,5.5,6.384,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.9,NEUTRAL,trend_continuation,,,450.0,250.0,11.78,37.9,27254.0,19590.0,0.719,19985.0,11723.0,15136.0,4565439.045355728,4.0,1.0,99.0,0.0011,0.0,221560.23956043078,0.0,4.15161,,1.0,0.0,4e-06,0.0,2.04,0.1,0.05,1.4,1.5,0.42
MDB,LONG,0.6610850299902304,6.610850299902305,0.0,3.9665,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,63.204485230618324,11.0,1.0,99.0,0.00252,9.7e-05,2.305947005337921,0.006009120665825503,4.988722,0.513274,1.0,0.0,0.068244,0.0,0.0,0.75,0.0,0.0,0.0,0.0
BA,LONG,0.6428795933746126,6.428795933746127,0.0,3.8573,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,2157.7797174101534,12.0,1.0,0.002005454767203896,0.001768,0.000367,15.0785968615978,10526.308521866875,3.933364,0.544513,3.0,2.0,0.420727,0.497577,0.0,0.0,0.0,0.0,0.0,0.0
VST,LONG,0.6255652634177171,6.255652634177171,0.0,3.7534,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,1150942.6289309238,8.0,1.0,99.0,0.001034,0.000132,41833.00847089571,0.10911241103169818,2.476883,0.646526,0.0,1.0,0.472882,0.0,0.0,0.4,0.0,0.0,0.0,0.0
RBLX,LONG,0.6147738168550895,6.1477381685508945,0.0,3.6886,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,22.00620969474554,11.0,1.0,0.07509936348626677,0.003067,0.003979,0.6128582373492956,3.0602368427265407,20.344828,0.920707,1.0,0.0,0.5534,0.812829,,,,,,
SILJ,LONG,0.6125223338078976,6.125223338078976,0.0,3.6751,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,44881.40446306726,7.0,1.0,99.0,0.00217,0.000366,18856.10717394593,7.277510479910202,2.795005,0.081774,0.0,0.0,0.000578,0.366231,0.0,0.0,0.0,0.0,0.0,0.0
LMT,LONG,0.6075954053034801,6.075954053034801,0.0,3.6456,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,1.2005552021814876,13.0,1.0,0.662942074334984,0.000538,0.000571,34024.673114291814,171079.16579500522,60.041193,120.166667,2.0,0.0,0.702742,0.230338,,,,,,
NVDL,LONG,0.6006467676759645,6.0064676767596445,0.0,3.6039,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,330059.3350117174,3.0,1.0,99.0,0.000644,0.000153,170055.54718958682,28.411038925979536,300.0,2.380952,1.0,0.0,3e-06,0.0,0.0,0.41,0.0,0.0,0.0,0.0
WEN,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,1.0,1.0,99.0,0.007746,0.0,381346.72456452,0.0,100.671141,,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0
OXY,LONG,0.5945152279172483,5.945152279172483,0.0,3.5671,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,442.3681904355924,29.0,1.0,3.5577142185031967,0.005699,0.000187,9071.950692384084,34424.16305116023,0.396722,0.358177,0.0,0.0,0.384099,0.000759,0.0,0.0,0.0,0.0,0.0,0.0
CORZ,LONG,0.5800000000000001,5.800000000000001,0.0,3.48,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,25586.098626870564,3.0,1.0,7.816744667354627e-05,0.009263,0.000429,2.630335946400842,16825.008736603715,15.649452,0.149878,0.0,2.0,0.0,1.7e-05,0.0,1.0,0.0,0.0,0.0,0.0
UNH,LONG,0.5684306417875263,5.684306417875264,0.0,3.4106,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,243241.64621053063,10.0,1.0,0.552268182714079,0.00035,0.000661,291021.9620634117,131739.42079788435,58.362683,10.917602,1.0,1.0,9e-06,0.112237,,,,,,
EXPE,LONG,0.5537466572736567,5.537466572736567,0.0,3.3225,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,16.75783137160349,12.0,1.0,3.1091618744429885,0.001133,0.000304,0.44548830993171584,0.28656488656546764,1.824572,2.47538,1.0,2.0,0.772496,0.009915,0.0,0.86,0.0,0.0,0.0,0.0
CVX,LONG,0.5306944684208038,5.306944684208038,0.0,3.1842,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,96534.85743716732,22.0,1.0,1.6666686429829027,0.000394,0.000526,20208.564448159592,12125.124291047752,1.653417,0.884283,2.0,4.0,0.238625,0.223432,,,,,,
