ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
DELL,LONG,0.7378180996759818,7.378180996759818,0.0,4.4269,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.121911993430081,12.0,1.0,23.042056730975286,0.00191,0.000519,226986.25165075195,49254.7723280309,2.717535,0.677209,2.0,1.0,0.562332,0.472263
ETSY,LONG,0.6916468619739319,6.916468619739319,0.0,4.1499,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.13,0.0,0.0,0.0,0.0,17.78612870461406,5.0,1.0,99.0,0.002357,0.0,25591.668260278813,0.0,42.080325,,2.0,0.0,0.426123,0.0
XOP,LONG,0.6881580103488807,6.881580103488806,0.0,4.1289,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.93774000109354,6.0,1.0,99.0,0.00071,0.0,98827.50513528274,0.0,14.98862,,2.0,0.0,0.620629,0.0
GFS,LONG,0.6863593277766771,6.863593277766771,6.28,6.8158,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,7.5,NEUTRAL,support_ema_confluence,,,55.0,45.0,20.32,1.55,74408.0,18260.0,0.245,65335.0,195.0,27138.0,1.57,0.78,0.64,1.6,1.58,0.11,1.8228232250288212,3.0,1.0,99.0,0.002635,0.0,117650.52648772199,0.0,82.157407,,1.0,0.0,0.63031,0.0
MDB,LONG,0.6599273512288126,6.599273512288127,0.0,3.9596,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.32,0.0,0.0,0.0,0.0,64.31832390235566,10.0,1.0,99.0,0.002481,0.0,0.11462406182712873,0.0,4.988722,,1.0,0.0,0.068244,0.0
GLNG,LONG,0.6591234279398818,6.591234279398818,0.0,3.9547,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7399.699624139581,13.0,1.0,99.0,0.003246,0.002122,11348.007317603046,0.6216481609324148,16.678867,0.874732,2.0,4.0,0.000102,0.827428
IEF,LONG,0.6572517036121216,6.572517036121216,0.0,3.9435,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.818161639794668,8.0,1.0,99.0,0.00099,0.0,122798.10936452678,0.0,0.56811,,6.0,0.0,0.712907,0.0
RBLX,LONG,0.644165965031594,6.441659650315939,0.0,3.865,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,8263.685514229473,12.0,1.0,99.0,0.003385,0.003986,1425.7385007566713,0.17382429921977222,12.345711,0.910667,1.0,0.0,0.488153,0.812802
JPM,LONG,0.5979712960843131,5.9797129608431305,0.0,3.5878,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.95,0.0,0.0,0.0,0.0,188660.4254410318,19.0,1.0,5.542677735424209,0.000852,0.000366,41483.9201778395,12830.493694217337,1.102401,0.131431,2.0,2.0,0.524959,0.481184
KWEB,LONG,0.5970881755144087,5.970881755144087,0.0,3.5825,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.852630046019748,10.0,1.0,4.744851771537071,0.001279,0.000362,85633.05292379281,42111.000815828564,0.806285,2.551377,1.0,1.0,0.683277,0.343717
