ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi
GFS,LONG,0.7937668716072359,7.937668716072359,6.25,7.3438,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,7.5,NEUTRAL,support_ema_confluence,,,55.0,45.0,19.54,2.2,74408.0,18260.0,0.245,65335.0,195.0,27138.0,1.57,0.72,0.59,1.6,1.68,0.09,4.899393117974964,4.0,1.0,99.0,0.004472,0.0,167002.7976753733,0.0,107.979167,1.0,0.0,0.478494,0.0,
ETSY,LONG,0.7916293288858798,7.916293288858798,0.0,4.7498,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.19,0.0,0.0,0.0,0.0,34.03959817772721,6.0,1.0,99.0,0.00434,0.0,64276.17604776547,0.0,35.13173,3.0,0.0,0.300478,0.0,
PDD,LONG,0.7672700970525133,7.672700970525133,0.0,4.6036,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,810585.2202105103,22.0,1.0,99.0,0.002896,0.002328,219002.0666905337,0.4527294798846871,3.683762,2.0,4.0,0.053914,0.821915,0.493296
XOP,LONG,0.6841266196631548,6.841266196631548,0.0,4.1048,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.937740001093541,6.0,1.0,99.0,0.00071,0.0,89499.94839173688,0.0,14.98862,2.0,0.0,0.620629,0.0,
MDB,LONG,0.6599273512288126,6.599273512288127,0.0,3.9596,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.31,0.0,0.0,0.0,0.0,64.31832390235566,10.0,1.0,99.0,0.002481,0.0,0.10380559140834489,0.0,4.988722,1.0,0.0,0.068244,0.0,
GLNG,LONG,0.6550923677978086,6.550923677978085,0.0,3.9306,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7399.699624139584,13.0,1.0,99.0,0.003246,0.002122,10276.957491583242,0.5629756437249765,16.678867,2.0,4.0,0.000102,0.827428,0.874732
JPM,LONG,0.5939399646742538,5.9393996467425385,0.0,3.5636,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.99,0.0,0.0,0.0,0.0,188660.42544103172,19.0,1.0,5.54267773542421,0.000852,0.000366,37568.57678357041,11619.523551677605,1.102401,2.0,2.0,0.524959,0.481184,0.131431
KWEB,LONG,0.5930567914360283,5.930567914360283,0.0,3.5583,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.852630046019748,10.0,1.0,4.744851771537071,0.001279,0.000362,77550.81752610311,38136.47217524959,0.806285,1.0,1.0,0.683277,0.343717,2.551377
AA,LONG,0.5901468981292961,5.901468981292961,0.0,3.5409,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.48,0.0,0.0,0.0,0.0,7.896188223008343,5.0,0.7,99.0,0.002073,0.0,0.781898753578733,0.0,13.485066,1.0,0.0,0.542359,0.0,
IMVT,LONG,0.5870567569559004,5.870567569559004,0.0,3.5223,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.00747,0.0,145478.0517656677,0.0,52.736842,0.0,0.0,0.0,0.0,
FIG,LONG,0.5743494455736432,5.743494455736432,0.0,3.4461,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.945270396466398,3.0,1.0,99.0,0.00124,0.0,95232.38392029144,0.0,361.32551,1.0,0.0,0.485933,0.0,
CORZ,LONG,0.564579147501481,5.64579147501481,0.0,3.3875,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.91,0.0,0.0,0.0,0.0,132.09273493891985,2.0,1.0,99.0,0.002223,0.000201,400182.6933945496,1514.7793464174827,1.254691,0.0,1.0,0.0,0.0,0.047031
TSEM,LONG,0.5382204452526864,5.382204452526864,0.0,3.2293,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,47.76632138698104,4.0,0.7,95.53264277396208,0.000521,9.2e-05,51235.985498997994,1608.9574414965089,50.583333,0.0,0.0,0.392638,0.0,0.305147
NN,LONG,0.5075000000000001,5.075000000000001,5.28,5.6815,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.8,NEUTRAL,ema_pullback,,,30.0,17.0,62.87,7.71,193120.0,15831.0,0.082,51283.0,78495.0,80257.0,1.95,0.5,0.32,1.2,1.12,0.2,6081317.4354326455,8.0,1.0,1.7559078413746652e-05,0.011444,0.005491,0.14463390475615773,8236.987235214277,0.09116,3.0,0.0,0.014576,0.044802,0.151284
DOCN,LONG,0.4939003506161911,4.939003506161911,0.0,2.9634,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,14290024.833591422,5.0,1.0,99.0,0.000598,0.00045,13622.03832350165,0.0037643487216289973,53.841238,0.0,0.0,0.0,0.129099,3.796634
CSIQ,LONG,0.4912365120495994,4.912365120495994,0.0,2.9474,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.608564005798925,2.0,1.0,19.21712801159785,0.001515,0.00077,0.03384986738406062,0.0017614425716283761,279.0,0.0,0.0,0.0,0.0,0.672474
XLE,LONG,0.479261814371469,4.79261814371469,0.0,2.8756,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,0.8931002503135335,9.0,1.0,0.8858334229133472,0.000229,0.000205,227959.21968224345,128669.3489914427,12.356484,0.0,3.0,0.456616,0.734788,32.322127
MSFT,LONG,0.47458056990932773,4.745805699093277,0.0,2.8475,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,2.3162232750268927,18.0,1.0,0.8422490555828019,9.2e-05,0.000108,86875.53039574773,103147.07961961847,0.601229,4.0,4.0,0.735296,0.527862,0.590149
GLD,LONG,0.47427196568402363,4.7427196568402366,0.0,2.8456,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.910701357742392,9.0,0.7,19.06780437006784,0.000201,1.1e-05,145180.09388261454,60911.09015593409,0.39441,1.0,0.0,0.678736,0.0,0.023842
NET,LONG,0.4740288116540425,4.740288116540425,3.38,4.9641,price_validation_failed,"not_extended, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned, room_to_target",7.9,NEUTRAL,unknown,,,250.0,160.0,16.09,25.7,106547.0,67889.0,0.637,45172.0,49181.0,80083.0,2.23,0.51,0.0,0.0,0.54,0.09,35.52252254609609,12.0,1.0,33.387920882578854,0.001614,0.000836,0.17404134035190522,0.010425407497758658,0.872774,1.0,0.0,0.040951,0.498509,0.694534
GOOG,LONG,0.47227777204264476,4.722777720426448,0.0,2.8337,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,2.646598334054237,16.0,0.7,0.3679724737100526,0.000185,0.000465,118979.30565996387,194002.50968834382,0.137086,5.0,6.0,0.710882,0.645121,1.283039
NVDL,LONG,0.4718152473420838,4.718152473420838,0.0,2.8309,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.45,0.0,0.0,0.0,0.0,330059.3350117174,3.0,1.0,99.0,0.000618,0.000147,7655.300233449161,1.2789646472402876,300.0,1.0,0.0,3e-06,0.0,2.380952
IWM,LONG,0.46693801271803775,4.669380127180378,0.0,2.8016,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,0.0,0.77,0.0,0.0,0.0,0.0,1.240015451296662,15.0,1.0,1.785629833870488,0.000151,9.1e-05,155123.9431921074,238902.17092398563,0.120945,3.0,0.0,0.77905,0.543327,0.08246
