ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
DELL,LONG,0.9184640453251842,9.184640453251841,0.0,5.5108,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,67.07070674942614,25.0,1.0,99.0,0.00333,0.00016,129788.73142372975,3573.4449706189102,9.731786,6.578731,7.0,0.0,0.508357,0.623451
SATS,LONG,0.7634697760401148,7.6346977604011474,5.89,6.5043,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence, trend_aligned",room_to_target,4.6,POSITIVE,support_ema_confluence,6380732.87,111.53,150.0,85.0,34.38,23.85,271325.0,115938.0,0.427,74515.0,122173.0,190575.0,,,1.53,1.0,0.14,1.6,0.73,0.9,19.55482831578384,11.0,1.0,1.8163192032696396,0.005872,0.001137,59877.73163015698,27472.103803105536,3.069387,0.322945,0.0,0.0,0.508497,0.212469
KWEB,LONG,0.7207961269242797,7.207961269242798,0.0,4.3248,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.09,0.0,0.0,0.0,0.0,2.593336284865967,15.0,1.0,32.80996495689475,0.001338,0.00022,11672.910965942041,1423.0933780365494,2.458241,0.801969,8.0,1.0,0.578456,0.15613
FIG,LONG,0.6718818798845841,6.718818798845842,0.0,4.0313,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.2,0.0,0.0,0.0,0.0,301.99587407592657,5.0,1.0,99.0,0.001584,0.0,51798.654273916225,0.0,181.983051,,0.0,0.0,0.506257,0.0
LUV,LONG,0.6671959058314736,6.6719590583147355,0.0,4.0032,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.31,0.0,0.0,0.0,0.0,20040851.789083228,3.0,1.0,99.0,0.003658,0.0,36988.74806704642,0.0,212.550995,,0.0,0.0,0.138213,0.0
GDX,LONG,0.6535711138250586,6.535711138250586,0.0,3.9214,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.26,0.0,0.0,0.0,0.0,5.6681370353354374,9.0,1.0,1.4924509587193384,0.000454,0.000228,146482.40942551152,196297.78596036017,7.411385,0.322085,1.0,0.0,0.497895,0.433614
INTU,LONG,0.6355120050855105,6.355120050855105,0.0,3.8131,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.7717641678486193,16.0,1.0,13.033996084286851,0.001648,9.4e-05,13282.071189466313,4415.809353388326,9.470525,0.923968,2.0,2.0,0.806168,0.496801
PDD,LONG,0.6249936590952208,6.249936590952208,0.0,3.75,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.67,0.0,0.0,0.0,0.0,5.597306705074428,15.0,1.0,0.42197101805597786,0.003394,0.002063,7520.119164670563,20367.32745787893,1.553771,1.408632,2.0,5.0,0.464464,0.275178
VRT,LONG,0.6081808116485226,6.081808116485226,5.11,5.2139,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",3.2,NEGATIVE,ema_pullback,-6122605.11,258.04,260.0,190.0,0.69,26.42,197868.0,214479.0,1.084,169668.0,88865.0,153814.0,,,1.98,1.0,0.28,1.2,0.46,0.2,3145.4764911765715,11.0,1.0,99.0,0.000444,0.000232,70513.58353721951,141.7853380376624,322.882277,5.027447,0.0,0.0,0.093745,0.347327
CAR,LONG,0.605805316593852,6.058053165938519,0.0,3.6348,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,99.0,0.003967,0.0,162855.85783364257,0.0,15.792398,,0.0,0.0,0.35617,0.0
ADMA,LONG,0.6000000000000001,6.000000000000001,0.0,3.6,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.012589,0.0,724209.0395163402,0.0,2001.2,,0.0,0.0,0.0,0.0
XOP,LONG,0.5921082262369005,5.921082262369005,0.0,3.5526,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.406106618920844,8.0,1.0,99.0,0.00078,0.0,736.9098827273692,0.0,14.767827,,3.0,0.0,0.696992,0.0
OKTA,LONG,0.5812839566053247,5.812839566053247,0.0,3.4877,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,60261.46312125809,15.0,1.0,1.3944226707566183,0.002432,0.003332,26.432214893693857,9.477834607835103,2.54987,1.846308,0.0,1.0,0.506149,0.626186
ARM,LONG,0.5789746323635555,5.789746323635555,0.0,3.4738,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,0.8112441811097153,25.0,1.0,1.447167816733835,0.001599,0.001066,11699.265144153898,6351.910020267937,2.580385,10.487306,0.0,8.0,0.789962,0.870165
GEV,LONG,0.5744755637544994,5.744755637544994,0.0,3.4469,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,11.712710323376644,22.0,1.0,0.4297870198771892,0.000567,0.000855,18984.927416576746,44172.87293134551,1.467287,1.764223,3.0,3.0,0.543986,0.484989
GOOGL,LONG,0.5605734756966781,5.605734756966782,0.0,3.3634,trend_not_aligned,none,trend_aligned,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.555334714460473,6.0,1.0,61.9217305753858,0.000108,1.1e-05,134909.87920603523,10893.581134799759,4.117646,0.133707,1.0,0.0,0.488118,0.0
KOD,LONG,0.5540979496683844,5.540979496683844,0.0,3.3246,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.005129,0.0,64684.333899363715,0.0,5.578947,,0.0,0.0,0.0,0.0
OXY,LONG,0.5410483352132351,5.410483352132351,0.0,3.2463,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2312550.088760129,27.0,1.0,0.7782725130601077,0.002687,0.000395,8751.363715374724,39356.102765826356,0.422271,0.278981,1.0,0.0,0.134075,0.468389
TSM,LONG,0.5223707173859249,5.223707173859249,0.0,3.1342,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,5.452285448752968,16.0,1.0,0.21890748071842736,0.001016,0.000689,54171.28821406111,192470.46299293166,0.226323,0.296126,1.0,2.0,0.383888,0.123804
