ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,entry_price,stop_price,target_1,rr_ratio
DAVE,LONG,0.7178519200000001,7.178519200000001,6.75,6.6743,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.3,NEUTRAL,trend_continuation,,,240.0,210.0,4.58,8.49,18417.0,5687.0,0.309,16013.0,413.0,7678.0,67.2,0.74,2.0,0.0,1.0,1.4,1.84,0.51,9469436612.63407,19,1.0,1.8313175282297307e-08,0.000872,0.000465,7.627701680334012e-05,9024.47921744777,2.856607,15.628246,2,1,0.120377,0.435115,,,,
RGTI,LONG,0.7112190379083878,7.112190379083878,7.38,6.3701,poor_rr (0.2:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, volume_capitulation_reversal",none,3.0,POSITIVE,unknown,1808087.66,19.61,20.0,14.0,2.2,28.46,355135.0,341778.0,0.962,347407.0,16562.0,332944.0,71.7,1.094,1.94,0.05,1.0,1.4,1.98,1.0,2.219498912250759,9,1.0,99.0,0.000127,0.0,8702.312173878836,0.0,15.048357,,1,0,0.696987,0.0,19.57,17.22,20.0,0.18
AXTI,LONG,0.7054950039270986,7.054950039270986,8.21,6.8105,poor_rr (1.7:1),"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,4.1,POSITIVE,flag_breakout,1791840.43,76.02,105.0,40.0,37.88,47.48,196357.0,71877.0,0.366,164082.0,15722.0,88430.0,97.0,1.933,2.35,0.35,1.0,1.6,1.9,1.0,1.7422876071088669,7,1.0,99.0,0.002746,0.0,1219590.5446081348,0.0,1.136986,,1,0,0.789874,0.0,76.15,67.02,91.69,1.7
SIMO,LONG,0.6836683122725759,6.836683122725758,5.63,5.9673,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.3,NEUTRAL,trend_continuation,,,140.0,90.0,4.12,33.07,17266.0,1953.0,0.113,12051.0,2467.0,4701.0,96.4,0.815,1.84,0.22,0.55,1.4,1.35,0.27,629030281.421293,15,1.0,99.0,0.000639,8.5e-05,33049.09784788961,0.00010741225568976459,215.398504,176.0,0,3,0.0,0.577604,,,,
OGN,LONG,0.6586518837513776,6.586518837513776,7.89,6.7203,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.3,NEUTRAL,trend_continuation,,,10.0,5.0,7.01,46.5,89627.0,46747.0,0.522,48201.0,17767.0,70406.0,98.0,1.0,2.96,0.0,1.0,1.4,1.54,1.0,3582651611798256.0,6,1.0,99.0,0.000149,1.8e-05,1403.7639137530523,0.0028712635713409457,8.875528,162.220339,2,0,0.0,0.0,,,,
KOD,LONG,0.6422130116467482,6.422130116467482,4.06,5.5691,price_validation_failed,"not_extended, room_to_target, trend_aligned","confirmation_volume, continuation_pattern, momentum_aligned",5.7,NEUTRAL,unknown,,,45.0,35.0,11.28,13.45,8929.0,7957.0,0.891,7553.0,1613.0,7720.0,15.1,0.994,2.67,0.58,0.48,0.0,0.29,0.04,3.89299426219557e+25,4,1.0,41.085682622959894,8e-05,2.5e-05,59089.90185392775,1438.2115150961754,7.299678,24.390244,1,1,0.0,0.0,,,,
ANET,LONG,0.6271174392230948,6.271174392230948,6.82,5.9816,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.0,NEGATIVE,trend_continuation,-2547532.61,158.41,160.0,105.0,1.01,33.71,171991.0,141466.0,0.823,139818.0,46081.0,127558.0,85.3,0.646,2.12,0.04,1.0,1.4,1.9,0.36,75736149.31157114,24,1.0,99.0,2.6e-05,4e-06,25428.247704854897,294.4429751677652,15.519599,1.344088,7,2,0.22164,3e-06,,,,
CIFR,LONG,0.6142026386576354,6.142026386576354,3.61,5.414,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned","continuation_pattern, room_to_target",6.3,POSITIVE,unknown,5979355.34,17.42,20.0,10.0,14.88,42.56,829309.0,436540.0,0.526,456084.0,175025.0,634740.0,48.7,1.103,1.79,0.36,0.0,0.0,0.89,0.57,54.9481889110717,6,1.0,99.0,0.000158,4e-06,73195.83064268464,2263.1165341179085,2.092595,0.978482,0,0,0.118969,0.0,,,,
PRAX,LONG,0.599875222539946,5.99875222539946,5.61,6.0824,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,7.0,NEUTRAL,trend_continuation,,,410.0,130.0,26.5,59.89,2586.0,8806.0,3.405,4283.0,195.0,6914.0,48.4,0.784,1.74,0.81,0.46,1.4,0.56,0.64,1.3330748629235194e+26,5,1.0,99.0,5.3e-05,0.0,121.17063833867755,0.0,31.3125,,2,0,0.653926,0.0,,,,
W,LONG,0.5842300999729213,5.842300999729213,0.0,3.5054,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,376243419.70262116,10,1.0,99.0,9.8e-05,0.000203,2.4109704982968662e-05,5.095530905006708e-12,1.812352,3.270557,1,2,0.000136,0.250959,,,,
