ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
KORU,LONG,0.8047259308109086,8.047259308109085,7.31,7.2566,poor_rr (0.6:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.2,NEUTRAL,trend_continuation,,,565.0,320.0,7.47,39.13,6333.0,11016.0,1.739,13170.0,3142.0,1037.0,73.2,1.424,1.92,0.15,1.0,1.4,1.84,1.0,525.72,462.63,565.0,0.62,3048051215.7842813,27,1.0,99.0,0.002562,0.000301,2773.788996575679,23.0728398299745,67.15044,25.767857,20,1,0.008318,0.381616
DAVE,LONG,0.7268829394312163,7.268829394312163,7.12,6.9904,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,6.1,NEUTRAL,trend_continuation,,,260.0,210.0,5.2,15.03,18888.0,5750.0,0.304,16459.0,419.0,7760.0,71.9,0.752,2.16,0.0,1.0,1.4,1.92,0.64,,,,,411143859552.09906,20,1.0,54.01810527476402,0.000934,0.00046,13701.847051303237,591.8566800967928,2.769648,15.628246,2,1,0.0,0.435115
IBIT,LONG,0.6979238690873032,6.979238690873032,7.06,6.8276,"wall_proximity (1.7%, 0.5 ATR to call wall)","confirmation_volume, consolidation_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,6.1,NEGATIVE,unknown,-27442418.78,44.22,45.0,35.0,1.69,20.9,4016331.0,2572791.0,0.641,2325194.0,1394842.0,2869086.0,51.6,0.45,1.68,0.22,1.0,1.2,1.96,1.0,,,,,1.4688714997213652,22,1.0,7.2238275931118165,5.4e-05,8e-06,191465.85444415917,70679.37395653567,4.985628,1.941714,8,3,0.86422,0.494201
CORZ,LONG,0.6908412459790726,6.908412459790726,6.6,6.6142,price_validation_failed,"confirmation_volume, consolidation_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.9,POSITIVE,unknown,33341251.86,19.75,27.0,12.0,36.57,39.3,1328676.0,692925.0,0.522,872615.0,543378.0,605608.0,51.1,0.858,1.79,0.33,1.0,1.2,1.8,0.48,,,,,51.15588336854101,8,1.0,99.0,0.000103,5e-06,12748.136739537133,164.9340763180331,660.240339,0.060521,2,1,0.023957,0.0
LITE,LONG,0.6716145964393401,6.716145964393401,6.03,6.2471,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.4,NEUTRAL,trend_continuation,,,1000.0,350.0,15.53,59.57,95278.0,108101.0,1.135,108922.0,36345.0,58112.0,69.1,1.025,2.09,0.56,0.34,1.4,1.19,0.44,,,,,19.188139433804924,6,1.0,24.82992253221732,8.8e-05,1.1e-05,885382.8569355514,71315.79696124702,3.584285,0.35169,0,0,0.482629,0.359971
MDGL,LONG,0.6535090689970081,6.535090689970081,0.0,3.9211,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4290205636787.8965,7,1.0,99.0,0.000142,0.000331,75818.16674439622,1.0721722545767577e-06,38.380952,2.474916,1,0,0.0,0.499771
U,LONG,0.6459864911677009,6.459864911677009,6.56,6.0579,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",4.3,POSITIVE,trend_continuation,4640167.28,26.52,40.0,20.0,50.66,24.67,465504.0,226094.0,0.486,304808.0,106494.0,280296.0,78.2,0.835,2.01,0.0,1.0,1.4,1.94,0.2,,,,,4.199875968047268,6,1.0,3.1480716170628877,9.9e-05,1.4e-05,4126.9517370472595,2621.8919002215425,9.593716,12.077364,1,0,0.31449,0.076833
CENX,LONG,0.6000000000000001,6.000000000000001,6.42,6.266,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.7,NEUTRAL,trend_continuation,,,65.0,55.0,5.13,11.05,21499.0,12476.0,0.58,10331.0,11131.0,12513.0,75.4,0.812,1.86,0.91,0.48,1.4,0.78,1.0,,,,,0.0,1,1.0,99.0,0.000128,0.0,755234.9262363552,0.0,26.338346,,0,0,0.0,0.0
SEDG,LONG,0.5787211904761904,5.787211904761904,0.0,3.4723,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,364648099479.58154,10,1.0,1.7499555644586946e-12,0.000123,0.003543,2.8695480103233163e-09,1639.783357133951,0.119157,16.447931,5,0,0.56043,0.0
UVXY,LONG,0.5552235194418822,5.552235194418822,3.07,5.3171,price_validation_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",8.1,NEGATIVE,bounce_and_fail,-1049347.72,,50.0,35.0,32.77,7.06,168617.0,83088.0,0.493,155761.0,45689.0,50255.0,24.8,0.955,0.0,0.16,1.0,1.0,0.17,0.74,,,,,3122216897.260416,5,1.0,30.099430890965827,0.001145,0.000311,204.17256699697157,10.174905020791579,2.127191,75.296392,0,1,0.0,0.037303
