ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
UVIX,LONG,0.7940234523809524,7.940234523809524,3.05,6.1051,price_validation_failed,"confirmation_volume, not_extended, pullback_to_support, room_to_target","momentum_aligned, trend_aligned",6.1,POSITIVE,pullback_to_support,83812.87,5.49,6.0,5.0,9.19,9.01,255254.0,134714.0,0.528,256476.0,56929.0,76563.0,35.7,1.348,0.0,0.13,1.0,1.4,0.14,0.38,104962810320.13179,3,1.0,99.0,0.00164,0.0,23086.49014859601,0.0,7.331695,2,0,0.272995,0.0,,,,,
IVZ,LONG,0.7895808333333334,7.895808333333334,4.92,6.5839,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.8,NEUTRAL,retest_and_confirm,,,30.0,23.0,20.65,7.5,160956.0,5922.0,0.037,123037.0,6.0,43835.0,86.7,0.448,0.0,0.61,0.88,1.4,1.7,0.33,5518865031698.038,9,0.7,99.0,0.000405,2.5e-05,556878.5585784642,6.079269264236204e-08,211.828862,0,2,0.487465,0.543647,242.365789,,,,
HUT,LONG,0.7022058333333334,7.022058333333334,6.82,7.277,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,8.6,NEGATIVE,trend_continuation,-133736.54,,100.0,35.0,34.32,52.99,151163.0,103361.0,0.684,122072.0,35450.0,97002.0,35.0,0.984,2.15,0.08,1.0,1.4,1.75,0.44,3.1908864546097173,10,1.0,0.9627018466979643,0.000205,4.7e-05,9.384621668125913,9.748211972704587,3.41291,2,2,0.714215,0.53367,0.279573,,,,
USAR,LONG,0.6439546039483922,6.439546039483922,7.1,5.9898,"wall_proximity (0.2%, 0.0 ATR to call wall)","confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,3.2,POSITIVE,trend_continuation,6920928.33,19.95,20.0,15.0,0.21,24.84,356613.0,146737.0,0.411,250040.0,127614.0,125696.0,27.4,1.0,1.7,0.44,1.0,1.4,1.66,0.91,4494.881856345979,5,1.0,99.0,0.000103,1.1e-05,19504.091926742534,8.67819621740033,2.717762,2,0,0.006115,0.0,0.179794,,,,
TSEM,LONG,0.6373449285714285,6.373449285714285,5.85,5.6417,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",3.5,NEUTRAL,trend_continuation,,,230.0,200.0,3.2,10.26,87556.0,73574.0,0.84,103511.0,26743.0,30876.0,98.1,0.932,2.7,0.0,0.0,1.4,1.71,0.03,1393622.0040577855,7,1.0,99.0,0.000252,2.8e-05,28.14097941090093,4.8487373343468586e-05,186.585831,0,0,0.342829,0.478095,0.440824,,,,
MOD,LONG,0.6186038265406169,6.186038265406168,0.0,3.7116,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,1153.9632906006782,12,1.0,0.4013747649419041,7.6e-05,8.7e-05,68.98722814363208,122.76953071102558,3.140196,1,1,0.373674,0.428627,1.020787,,,,
LCID,LONG,0.6103615323459622,6.103615323459622,2.05,4.8068,price_validation_failed,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned",5.7,NEGATIVE,unknown,-321572.62,,12.0,5.0,64.26,31.56,245759.0,307677.0,1.252,332727.0,5315.0,215394.0,91.7,1.008,0.0,0.0,1.0,0.0,0.05,1.0,27.98931842935841,4,1.0,56.074641246865944,0.000174,2.2e-05,3775.4484380968374,201.98694209075393,3.239116,0,0,0.038063,0.0,0.665159,,,,
CENX,LONG,0.6000000000000001,6.000000000000001,5.89,5.867,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.5,NEUTRAL,trend_continuation,,,65.0,55.0,4.85,11.28,21499.0,12476.0,0.58,10331.0,11131.0,12513.0,75.1,0.81,1.86,0.89,0.46,1.4,0.81,0.47,0.0,1,1.0,99.0,0.000128,0.0,547091.1360168121,0.0,26.338346,0,0,0.0,0.0,,,,,
REAL,LONG,0.5933333333333333,5.933333333333333,6.65,6.1217,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",none,5.8,NEUTRAL,support_ema_confluence,,,15.0,10.0,23.71,17.53,78159.0,18309.0,0.234,67369.0,6.0,29093.0,87.3,0.985,1.84,0.08,1.0,1.6,1.77,0.36,19.976302892863135,2,1.0,99.0,0.001476,0.0,3.6020541311282535e-21,0.0,13.938264,0,0,0.047673,0.0,,,,,
W,LONG,0.5842300999729213,5.842300999729213,0.0,3.5054,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,376243419.7026208,10,1.0,99.0,9.8e-05,0.000202,1.1454177614475852e-06,2.4208141935883384e-13,1.812352,1,2,0.000136,0.250959,3.270557,,,,
APO,LONG,0.5809104314477819,5.8091043144778185,6.91,5.8376,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,4.3,POSITIVE,support_ema_confluence,24816646.88,124.94,250.0,105.0,100.06,15.97,191581.0,178981.0,0.934,98772.0,65565.0,206225.0,80.4,0.459,1.97,0.15,1.0,1.6,1.86,0.32,1294.9482808370255,28,1.0,0.050121566146326436,3.2e-05,1.1e-05,182.82582387210573,10942.943602661482,1.930856,4,3,0.759502,0.342927,4.515618,,,,
