ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bullish_score_z_shadow,bearish_score_z_shadow
GFS,LONG,0.619456389590043,6.19456389590043,0.0,3.7167,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,1.461996056042097e-25,3.1e-05,1e-06,7.004452991690506e-28,0.023955102213657473,128.15,0.330214,1,0,0.530286,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.099607,0.382587,0.0,0.0,,,,,,
YPF,LONG,0.5970614669289354,5.970614669289354,5.45,6.0003,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.9,NEUTRAL,ema_pullback,,,50.0,40.0,22.16,2.27,73395.0,38888.0,0.53,26382.0,22469.0,63432.0,55.5,0.477,1.79,0.66,1.0,1.2,0.78,0.01,5,1.0,99.0,0.0001,0.0,0.005671782947324773,0.0,2.911707,,2,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.54494,0.0,0.0,0.0,,,,,,
CIEN,LONG,0.5415384608422907,5.415384608422907,5.55,5.0927,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.6,NEUTRAL,trend_continuation,,,510.0,480.0,1.83,4.16,32405.0,25870.0,0.798,22561.0,18167.0,17547.0,63.3,0.806,2.31,0.19,0.0,1.4,1.46,0.19,32,1.0,0.0026418709296964745,0.000105,2.4e-05,0.026588151141782396,19.21335257666944,3.150589,0.292384,2,2,0.810482,0.362633,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.514122,0.473182,0.0,0.0,,,,,,
DAVE,LONG,0.5346773258413466,5.346773258413466,0.0,3.2081,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,13,1.0,54.01810527487081,0.000483,0.00039,5.064449384891416,0.21094799712100673,2.978641,16.995941,1,0,0.0,0.435115,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.134227,0.33694,0.0,0.0,,,,,,
POET,LONG,0.5256628505458483,5.256628505458483,6.99,5.7653,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target, trend_aligned",none,5.2,POSITIVE,flag_breakout,2287164.19,,10.0,5.0,14.03,42.99,591846.0,55204.0,0.093,56302.0,94753.0,495995.0,81.2,1.109,1.78,0.04,1.0,1.6,1.57,1.0,6,1.0,3.0335590616335195,0.000293,0.000173,32601.0781036084,21493.616864708925,8.281961,5.693918,1,0,0.452888,0.001094,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.6e-05,1e-05,0.119373,0.219642,0.0,0.0,,,,,,
USO,LONG,0.5206933104714496,5.206933104714496,6.63,5.8325,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.2,NEGATIVE,ema_pullback,-9841466.17,,150.0,100.0,22.76,18.16,617850.0,930351.0,1.506,562150.0,490657.0,495394.0,82.8,0.715,2.03,1.0,0.91,1.2,1.32,0.17,4,1.0,99.0,0.00041,0.0,105136.49762171035,0.0,5.070713,,2,0,0.478951,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.000172,0.0,0.515664,0.0,0.0,0.0,,,,,,
VST,LONG,0.5133172408473886,5.133172408473886,0.0,3.0799,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,15,1.0,99.0,1.4e-05,2.3e-05,14269.645767628745,0.10212888301450383,4.281257,4.958231,4,2,0.485655,0.00107,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1e-06,0.0,0.401707,0.702267,0.0,0.0,,,,,,
CRS,LONG,0.46778260990770315,4.6778260990770315,5.2,4.7589,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.3,NEUTRAL,trend_continuation,,,510.0,420.0,14.45,5.75,3478.0,3133.0,0.901,3167.0,1380.0,2064.0,94.3,0.566,1.82,0.21,0.0,1.4,1.74,0.03,6,1.0,99.0,2.7e-05,1.5e-05,2.4967740908234994e-08,9.53333613508518e-11,6.7,33.866667,0,0,0.000505,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.206887,0.456267,0.0,0.0,,,,,,
KWEB,LONG,0.4434476194752232,4.434476194752232,4.45,4.5922,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_continuation","confirmation_volume, trend_aligned",5.2,POSITIVE,trend_continuation,83699660.24,30.19,33.0,25.0,9.31,17.19,2210083.0,781429.0,0.354,805615.0,1113544.0,1072353.0,76.3,0.338,0.0,0.36,1.0,1.4,1.46,0.24,11,1.0,0.0032325435946356307,0.000199,0.000121,48.79892016713762,18115.364104522097,1326.879084,0.156334,3,0,0.550854,0.001333,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,5e-06,0.315954,0.220647,0.0,0.0,,,,,,
WT,LONG,0.4371862311514775,4.371862311514775,7.19,5.6029,poor_rr (0.9:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.3,NEUTRAL,trend_continuation,,,20.0,10.0,11.36,44.32,42692.0,1297.0,0.03,415.0,18724.0,24850.0,97.3,0.525,2.17,0.15,1.0,1.4,1.76,0.71,2,1.0,99.0,7.7e-05,0.0,51989.97132418462,0.0,0.518227,,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.6e-05,0.0,0.612687,0.0,0.0,0.0,17.96,15.8,20.0,0.95,,
