ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_score_z_shadow,bearish_score_z_shadow
GFS,LONG,0.6072281420984065,6.072281420984065,0.0,3.6434,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,99.0,4e-05,1e-06,36554.46111565818,0.01953308165805463,106.874101,0.330214,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2e-06,0.0,0.327567,0.382587,0.0,0.0,,
CIEN,LONG,0.5415384608422907,5.415384608422907,5.44,5.0597,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.6,NEUTRAL,trend_continuation,,,510.0,480.0,1.56,4.42,32405.0,25870.0,0.798,22561.0,18167.0,17547.0,63.5,0.808,2.31,0.17,0.0,1.4,1.51,0.06,32,1.0,0.0026418709296964654,0.000105,2.4e-05,0.02168007979081132,15.666640929259477,3.150589,0.292384,2,2,0.810482,0.362633,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.514122,0.473182,0.0,0.0,,
DAVE,LONG,0.5338261215083833,5.338261215083833,0.0,3.203,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,14,1.0,0.00011304403486443944,0.000483,0.000501,4.129571333315765,65755.15823441885,2.978641,16.995941,1,0,0.0,2e-06,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,7.2e-05,0.134227,0.676202,0.0,0.0,,
DOCS,LONG,0.5290084372090907,5.290084372090908,4.83,4.914,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",4.1,NEUTRAL,support_ema_confluence,,,25.0,17.5,4.17,27.08,24710.0,13255.0,0.536,19009.0,108.0,18848.0,96.5,0.91,0.0,0.83,1.0,1.6,1.1,0.3,3,1.0,17.62479008646084,8.5e-05,2.1e-05,3.0864670741103163e-09,3.502415698535104e-10,9.040708,0.455247,0,0,0.127348,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.362001,0.57089,0.0,0.0,,
DFTX,LONG,0.5261444414343728,5.261444414343728,5.76,5.5587,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target,6.0,NEUTRAL,trend_continuation,,,25.0,7.0,9.17,69.43,40312.0,5959.0,0.148,2013.0,16300.0,27958.0,94.5,0.871,2.55,0.21,0.0,1.4,0.6,1.0,7,0.7,0.8064514229727477,0.000206,0.000113,0.031203470843433116,0.05158975061124058,6.146532,0.896981,0,0,0.013673,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.705373,0.719477,0.0,0.0,,
WRBY,LONG,0.5221612257805193,5.221612257805193,6.97,5.7818,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",none,5.4,NEUTRAL,support_ema_confluence,,,30.0,20.0,17.97,21.35,41713.0,30338.0,0.727,6876.0,41009.0,24166.0,96.4,0.844,1.66,0.42,1.0,1.6,1.73,0.56,3,1.0,1.9347470663236004,6.9e-05,3e-05,0.00586440934418926,0.006062197427525025,2.673645,0.049048,0,0,0.342177,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.363977,0.119551,0.0,0.0,,
POET,LONG,0.5053253601093693,5.053253601093694,0.0,3.032,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,7,1.0,0.9590390469890993,0.000293,0.000265,26583.043355805203,36957.88812667931,8.281961,3.846112,1,0,0.452888,0.316143,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.3e-05,6.7e-05,0.119373,0.580743,0.0,0.0,,
USO,LONG,0.5051218690650315,5.051218690650315,6.26,5.6236,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.1,NEGATIVE,ema_pullback,-7847772.61,,150.0,100.0,23.21,17.86,617850.0,930351.0,1.506,562150.0,490657.0,495394.0,82.9,0.72,1.87,0.98,0.93,1.2,1.27,0.01,4,1.0,8.070998568334904,0.000386,3.6e-05,114301.77303976408,42486.108282142304,6.515884,4.952381,2,0,0.478937,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.000141,1.8e-05,0.515684,0.521293,0.0,0.0,,
ADI,LONG,0.47645390012382083,4.764539001238209,7.05,5.6573,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.8,NEUTRAL,trend_continuation,,,450.0,320.0,17.82,16.22,37812.0,32275.0,0.854,17804.0,27473.0,24810.0,99.5,0.43,2.2,0.0,1.0,1.4,1.84,0.6,10,1.0,0.0002448117452000828,1e-05,2e-06,6.0320040951915095,57491.83402377364,7.287326,7.030254,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1e-06,0.516371,0.551627,0.0,0.0,,
MRVL,LONG,0.47200357044745694,4.7200357044745695,0.0,2.832,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,99.0,6e-06,0.0,81243.21499712115,0.0,3.191135,,3,0,0.62127,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2e-06,0.0,0.457277,0.0,0.0,0.0,,
