ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
KORU,LONG,0.9386482190069231,9.38648219006923,6.16,7.5812,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",5.2,NEUTRAL,trend_continuation,,,700.0,335.0,31.83,36.91,4950.0,11436.0,2.31,9712.0,4419.0,2255.0,75.5,1.493,1.96,0.0,0.83,1.4,1.79,0.17,11,1.0,99.0,0.004747,0.0,309215.29458579473,0.0,170.694444,10,0,0.652674,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.001727,0.0,0.757238,0.0,0.0,0.0,,,,,,,
FCEL,LONG,0.6964994530821067,6.964994530821067,0.0,4.179,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.001689,0.0,39153.526065970334,0.0,27.572549,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6e-06,0.0,0.076847,0.0,0.0,0.0,,,,,,,
SMMT,LONG,0.6445176340644037,6.4451763406440366,7.06,6.6206,poor_rr (0.4:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.4,NEUTRAL,trend_continuation,,,25.0,20.0,5.2,15.84,43332.0,30631.0,0.707,19730.0,28746.0,25487.0,75.8,1.036,2.87,0.16,1.0,1.4,0.63,1.0,1,1.0,99.0,4.9e-05,0.0,766732.1448478677,0.0,21.771014,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.4e-05,0.0,0.381442,0.0,0.0,0.0,23.76,20.91,25.0,0.43,,,
CRCL,LONG,0.5262706215724321,5.262706215724321,6.57,5.9024,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,6.5,NEGATIVE,retest_and_confirm,-5330619.71,,120.0,100.0,15.45,3.79,381766.0,277327.0,0.726,215442.0,152788.0,290863.0,90.3,0.977,1.72,0.81,1.0,1.4,1.06,0.58,3,1.0,99.0,0.000166,0.0,1002177.0333454969,0.0,9.779189,2,0,0.281338,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.8e-05,0.0,0.714855,0.0,0.0,0.0,,,,,,,
MRVL,LONG,0.507105022721382,5.071050227213821,0.0,3.0426,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,17.271875096968042,4.2e-05,2e-06,673635.6736455122,234011.30561571658,77.98773,3,0,0.805891,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6e-06,0.0,0.205009,0.197832,0.0,0.0,,,,,50.90184,,
SYF,LONG,0.5051813494761042,5.051813494761042,6.48,5.6099,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,5.7,NEUTRAL,trend_continuation,,,80.0,60.0,2.22,23.33,22409.0,40298.0,1.798,27909.0,16682.0,18116.0,38.5,0.329,2.4,0.0,1.0,1.4,1.26,0.42,1,1.0,99.0,1.9e-05,0.0,0.00014997355219694783,0.0,1666.666667,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.326893,0.0,0.0,0.0,,,,,,,
CAR,LONG,0.5042363356894084,5.042363356894084,7.42,5.3872,price_validation_failed,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended,3.2,POSITIVE,trend_continuation,6144584.4,621.07,750.0,100.0,21.56,83.79,76735.0,203339.0,2.65,144062.0,59902.0,76110.0,99.7,2.558,2.97,0.0,1.0,1.4,1.05,1.0,1,1.0,99.0,6.9e-05,0.0,1699043.5755681153,0.0,14.314286,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4e-06,0.0,0.058548,0.0,0.0,0.0,,,,,,,
PTON,LONG,0.41015703745310383,4.101570374531038,5.87,4.7918,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.9,POSITIVE,trend_continuation,1323911.62,4.93,10.0,3.0,102.63,39.21,556962.0,214311.0,0.385,155980.0,244396.0,370897.0,76.0,0.84,2.62,0.61,1.0,1.4,0.24,0.0,1,1.0,99.0,0.000273,0.0,5.4677921747177406e-30,0.0,3.887723,0,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.585488,0.0,0.0,0.0,,,,,,,
ANET,LONG,0.3522725273817182,3.522725273817182,0.0,2.1136,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,99.0,1.6e-05,0.0,12006.175541074355,0.0,2.430199,1,0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.201858,0.0,0.0,0.0,,,,,,,
CIEN,LONG,0.3387355867935097,3.3873558679350966,5.68,4.1777,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",none,3.9,NEUTRAL,ema_pullback,,,510.0,480.0,4.21,1.92,34573.0,30328.0,0.877,29471.0,17598.0,17832.0,81.5,0.849,2.31,0.54,0.22,1.2,0.91,0.5,3,1.0,99.0,3.4e-05,1.1e-05,0.00031484851392366453,2.8791923750173987e-09,22.028571,1,0,0.464773,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.613022,0.444494,0.0,0.0,,,,,8.272727,,
