ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi,bullish_score_z_shadow,bearish_score_z_shadow
TAN,LONG,0.6814994530821066,6.814994530821066,7.18,6.9015,weak_relative_strength (-3.7% vs SPY),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, volume_capitulation_reversal",none,6.7,NEUTRAL,unknown,,,65.0,55.0,10.92,6.14,25465.0,21891.0,0.86,8582.0,13640.0,25134.0,70.1,0.412,1.59,0.4,1.0,1.4,1.91,0.88,1,1.0,99.0,0.001323,0.0,1743107.3088370445,0.0,4367.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000421,0.0,0.366905,0.0,0.0,0.0,,,
MRVL,LONG,0.6022533578613481,6.022533578613482,0.0,3.6135,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,99.0,8.4e-05,2e-06,241531.153012754,9317.63249289618,105.727082,7,0,0.397656,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.1e-05,0.0,0.657598,0.197832,0.0,0.0,50.90184,,
FCEL,LONG,0.5348384804844024,5.348384804844024,0.0,3.209,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.001359,0.0,1558.9766730451536,0.0,27.572549,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.076847,0.0,0.0,0.0,,,
DOCU,LONG,0.5264522525615076,5.264522525615076,3.95,5.0773,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_continuation","momentum_aligned, trend_aligned",6.3,NEUTRAL,trend_continuation,,,50.0,40.0,11.06,11.15,65568.0,55380.0,0.845,24949.0,36606.0,59393.0,71.2,0.576,0.0,0.69,1.0,1.4,0.5,0.36,1,1.0,99.0,0.000127,0.0,1.016873327790496e-22,0.0,19.545045,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.330483,0.0,0.0,0.0,,,
ORA,LONG,0.5114994530821066,5.1149945308210665,4.95,5.1825,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, support_ema_confluence","room_to_target, trend_aligned",5.7,NEUTRAL,support_ema_confluence,,,120.0,100.0,5.63,11.97,17968.0,5218.0,0.29,12589.0,8793.0,1804.0,88.6,0.409,0.0,0.74,0.0,1.6,1.84,0.77,1,1.0,99.0,9.9e-05,0.0,4.097007331026165e-07,0.0,20.689655,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.250847,0.0,0.0,0.0,,,
PL,LONG,0.47393495803047975,4.739349580304798,5.19,4.8867,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,4.8,POSITIVE,trend_continuation,119824.62,,45.0,20.0,17.52,47.77,150268.0,115100.0,0.766,117169.0,39729.0,108470.0,66.1,1.025,2.17,0.52,0.22,1.4,0.73,0.16,1,1.0,99.0,7.4e-05,0.0,655319.6674350157,0.0,49.46,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.052878,0.0,0.0,0.0,,,
EXPE,LONG,0.4594418897568561,4.594418897568561,5.62,4.9832,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",5.0,NEUTRAL,trend_continuation,,,270.0,230.0,7.84,8.14,28260.0,33703.0,1.193,16182.0,18500.0,27281.0,99.4,0.648,2.02,0.9,0.77,1.4,0.24,0.28,2,1.0,1.3936820873658617e-19,6.4e-05,2e-05,4.51939078959564e-21,0.03242770234736636,9.722222,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.464026,0.414665,0.0,0.0,42.0,,
CRCL,LONG,0.3938316089533396,3.9383160895333957,5.58,4.9032,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",6.3,NEGATIVE,trend_continuation,-5291877.2,,120.0,100.0,19.99,0.01,390093.0,285833.0,0.733,226885.0,155675.0,293366.0,88.1,0.955,1.61,0.96,1.0,1.4,0.55,0.06,4,1.0,99.0,0.000183,0.0,29927.776134569292,0.0,8.857671,2,0,0.281338,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4e-06,0.0,0.714855,0.0,0.0,0.0,,,
AXTI,LONG,0.3823624227101453,3.823624227101453,5.52,4.4078,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",4.2,POSITIVE,trend_continuation,2864015.5,75.05,105.0,45.0,39.5,40.22,186856.0,74013.0,0.396,124197.0,35511.0,101161.0,94.0,1.9,2.45,0.59,0.38,1.4,0.44,0.27,1,1.0,99.0,8.5e-05,0.0,316857.2559750916,0.0,2.039301,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.1e-05,0.0,0.321668,0.0,0.0,0.0,,,
FXI,LONG,0.3791102638930351,3.791102638930351,3.67,4.7766,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",8.9,NEGATIVE,ema_pullback,-54146856.88,,40.0,36.0,9.62,1.34,1840693.0,2067587.0,1.123,726796.0,1818444.0,1363040.0,40.3,0.231,0.0,0.89,1.0,1.2,0.29,0.28,1,1.0,99.0,0.00025,0.0,165.09736781840041,0.0,4.633136,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.448939,0.0,0.0,0.0,,,
NVTS,LONG,0.3677153789636079,3.677153789636079,0.0,2.2063,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,0.000186,0.0,37551.65928442363,0.0,4.884892,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4e-06,0.0,0.417933,0.0,0.0,0.0,,,
AR,LONG,0.36715225208832974,3.6715225208832973,0.0,2.2029,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,2.7e-05,4.4e-05,157729.94143176987,2.108739483725545e-20,29500.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.032448,0.255527,0.0,0.0,3.135731,,
CHTR,LONG,0.3462665359308574,3.462665359308574,0.0,2.0776,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,1.2e-05,4.9e-05,194259.7814750318,2.2135554616510444e-21,9.605405,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-06,0.0,0.52301,0.580354,0.0,0.0,6.980132,,
BURL,LONG,0.34258347594281585,3.4258347594281586,4.87,4.5139,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",6.7,NEUTRAL,trend_continuation,,,360.0,270.0,9.22,18.09,5251.0,25278.0,4.814,17497.0,10220.0,2812.0,52.6,0.366,1.6,0.87,0.64,1.4,0.26,0.09,2,1.0,99.0,3.8e-05,0.0,2.8189794911559322e-11,0.0,,0,0,0.000131,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.04143,0.0,0.0,0.0,,,
SOXL,LONG,0.341702533395931,3.4170253339593097,0.0,2.0502,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.0,1.9e-05,0.0,219569.57385257198,0.0,3.786008,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,6e-06,0.0,0.416554,0.0,0.0,0.0,,,
MU,LONG,0.3379491102020722,3.379491102020722,5.28,3.7337,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",2.3,POSITIVE,trend_continuation,272758082.27,481.94,500.0,300.0,3.79,37.72,1232802.0,1425113.0,1.156,934478.0,643920.0,1079517.0,85.7,0.745,2.01,0.08,0.0,1.4,1.59,0.21,3,1.0,99.0,1.4e-05,0.0,867582.016684026,0.0,10.160792,2,0,0.435593,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.265694,0.0,0.0,0.0,,,
DIA,LONG,0.3278720852059578,3.278720852059578,0.0,1.9672,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,2,1.0,2.5467339181793127,0.0,0.0,0.053622276322174256,0.021055311644221315,172.0,0,0,0.0,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.645876,0.421066,0.0,0.0,3.242812,,
FIG,LONG,0.31737866111585583,3.173786611158558,2.06,3.4849,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",6.4,NEGATIVE,unknown,-613019.19,17.32,20.0,15.0,15.47,13.39,218985.0,138806.0,0.634,144658.0,96706.0,116427.0,97.3,1.081,0.0,0.19,1.0,0.0,0.22,0.65,2,1.0,99.0,0.000131,0.0,62302.67253655244,0.0,2.938552,0,0,0.012092,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.166533,0.0,0.0,0.0,,,
ALAB,LONG,0.3172168124806249,3.172168124806249,6.97,4.1571,price_validation_failed,"momentum_aligned, room_to_target, trend_aligned, trend_continuation","confirmation_volume, not_extended",2.4,NEUTRAL,trend_continuation,,,200.0,80.0,1.25,59.5,114958.0,95788.0,0.833,82754.0,35904.0,92088.0,94.0,1.051,2.68,0.0,1.0,1.4,1.63,0.27,1,1.0,99.0,4.9e-05,0.0,8.415125796736474e-07,0.0,23.857143,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.632484,0.0,0.0,0.0,,,
IWM,LONG,0.3161154073572561,3.1611540735725607,5.05,3.9156,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",4.1,NEGATIVE,trend_continuation,-149848832.39,,280.0,250.0,1.63,9.26,2539041.0,6830966.0,2.69,2847307.0,2311833.0,4210867.0,70.1,0.233,2.33,0.0,0.14,1.4,0.91,0.27,3,1.0,1.7037710066147354,1.5e-05,9e-06,415202.17108009185,487391.99043546035,5.605932,0,0,0.414384,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,6e-06,4e-06,0.558367,0.557683,0.0,0.0,8.347458,,
HUT,LONG,0.3007340713883695,3.007340713883695,5.28,4.3877,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",6.5,NEUTRAL,trend_continuation,,,100.0,35.0,26.95,55.57,142480.0,82756.0,0.581,82344.0,55626.0,87266.0,62.2,1.063,2.35,0.0,0.09,1.4,1.21,0.24,1,1.0,99.0,0.000147,0.0,5.578238456628009e-07,0.0,2.684549,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.459926,0.0,0.0,0.0,,,
