ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bearish_vol_oi
AXTI,LONG,0.5574916556647382,5.574916556647382,5.46,5.2855,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,4.3,POSITIVE,ema_pullback,507183.79,76.01,105.0,45.0,37.71,40.98,196017.0,83148.0,0.424,134590.0,40361.0,104214.0,92.3,1.835,2.38,0.59,0.33,1.2,0.69,0.26,10,1.0,99.0,0.002727,0.0,12805.135379913241,0.0,12.172617,1,0,0.635169,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.6e-05,0.0,0.519083,0.0,0.0,0.0,
NPO,LONG,0.5114994530821066,5.1149945308210665,5.23,4.7665,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.2,NEUTRAL,trend_continuation,,,300.0,270.0,2.04,8.17,1104.0,1425.0,1.291,1162.0,615.0,752.0,90.0,0.495,1.87,0.01,0.0,1.4,1.64,0.32,1,1.0,99.0,0.000107,0.0,9.699261400317273e-23,0.0,18.181818,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53186,0.0,0.0,0.0,
TSEM,LONG,0.5055910408598469,5.055910408598469,5.8,5.288,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",5.1,NEUTRAL,ema_pullback,,,230.0,200.0,14.94,0.05,67005.0,49557.0,0.74,58837.0,44022.0,13703.0,96.4,0.941,2.35,0.95,0.6,1.2,0.42,0.29,5,0.7,99.0,0.00038,0.0,98289.63518994249,0.0,77.459954,3,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.2e-05,0.0,0.533476,0.0,0.0,0.0,
FN,LONG,0.4104620236025331,4.1046202360253305,0.0,2.4628,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,4,1.0,99.0,8e-05,0.000228,47.16858091506918,6.068255364831271e-12,12.911932,0,0,0.0,0.292166,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.247044,0.471274,0.0,0.0,51.613636
SMH,LONG,0.4050286950334849,4.050286950334849,0.0,2.4302,price_over_extended,none,not_extended,,,unknown,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,99.0,2.5e-05,0.0,434720.00909295835,0.0,16.448158,3,0,0.642279,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,9e-06,0.0,0.364533,0.0,0.0,0.0,
BURL,LONG,0.3837241909623386,3.837241909623386,5.1,4.6086,price_validation_failed,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",5.8,NEUTRAL,retest_and_confirm,,,360.0,270.0,8.36,18.73,5382.0,28912.0,5.372,17566.0,13822.0,2906.0,66.9,0.404,1.56,1.0,0.56,1.4,0.58,0.0,3,1.0,99.0,5.8e-05,0.0,65417.694372291626,0.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.020512,0.0,0.0,0.0,
CRCL,LONG,0.3780443380332703,3.780443380332703,5.37,4.7612,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,6.3,NEGATIVE,ema_pullback,-13788134.33,,120.0,65.0,20.74,34.6,394362.0,290664.0,0.737,235826.0,155223.0,293977.0,83.8,0.939,1.56,0.93,1.0,1.2,0.67,0.0,3,1.0,99.0,0.000159,0.0,2798.8314578458435,0.0,9.779189,2,0,0.281338,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.714855,0.0,0.0,0.0,
IWM,LONG,0.3580361391166189,3.580361391166189,0.0,2.1482,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,8,1.0,1.702904838142588,3.3e-05,2.2e-05,9737.84527501197,17155.119399919044,20.034491,0,1,0.416216,0.003636,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.558004,0.557219,0.0,0.0,8.521368
ANET,LONG,0.3537520728118873,3.537520728118873,5.87,4.2898,price_validation_failed,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target",3.8,POSITIVE,trend_continuation,2428175.68,176.78,195.0,105.0,10.26,40.63,168226.0,128288.0,0.763,106905.0,63459.0,126150.0,90.3,0.667,2.64,0.0,0.0,1.4,1.62,0.21,4,1.0,99.0,1.6e-05,0.0,33.53026528716475,0.0,2.430199,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.201858,0.0,0.0,0.0,
EL,LONG,0.34697150165283397,3.4697150165283395,4.61,4.4579,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.7,NEUTRAL,ema_pullback,,,105.0,75.0,35.1,3.5,107183.0,92321.0,0.861,39716.0,68194.0,143621.0,67.9,0.147,0.0,0.84,1.0,1.2,1.58,0.0,2,0.7,99.0,4.5e-05,0.0,1.0154286074617515e-07,0.0,8.16675,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.297568,0.0,0.0,0.0,
