ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio,bearish_vol_oi
TKR,LONG,0.5143026350579837,5.143026350579837,5.93,5.4305,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.4,NEUTRAL,trend_continuation,,,120.0,115.0,2.48,1.79,4608.0,1727.0,0.375,1132.0,3455.0,1748.0,79.0,0.402,2.1,0.73,0.51,1.4,1.19,0.0,False,sustained_trend,5.0,False,1,0.7,99.0,7.2e-05,0.0,504004.0112496177,0.0,41.176471,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.9e-05,0.0,0.464284,0.0,0.0,0.0,1.0,0.5143026350579837,0.5143026350579837,n/a,2026-05-14,2026-05-14,False,,,,,
MRVL,LONG,0.47161035049635186,4.7161035049635185,8.18,5.6121,poor_rr (0.6:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.0,POSITIVE,trend_continuation,42386105.28,186.52,200.0,75.0,7.12,59.83,635033.0,813382.0,1.281,366612.0,483745.0,598058.0,100.0,1.035,2.69,0.47,1.0,1.4,1.68,0.94,False,sustained_trend,5.0,False,10,1.0,99.0,4.7e-05,9e-06,9513.27701112831,6.324790761747305e-06,10.016777,4,0,0.416976,0.637549,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.408054,0.118098,0.0,0.0,1.0,0.47161035049635186,0.47161035049635186,n/a,2026-05-14,2026-05-14,False,186.71,164.3,200.0,0.59,11.02173
TSM,LONG,0.4349242890184828,4.3492428901848275,6.66,4.8726,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, trend_aligned",room_to_target,3.5,NEGATIVE,retest_and_confirm,-32436496.78,,420.0,300.0,0.37,28.3,827060.0,1081411.0,1.308,500053.0,461161.0,947257.0,89.5,0.46,1.95,0.69,0.0,1.4,1.8,0.82,False,sustained_trend,5.0,False,6,1.0,99.0,9e-06,1e-06,5442.31383061246,3.0440520584912693e-10,58.528814,4,0,0.676903,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.457346,0.355049,0.0,0.0,1.0,0.4349242890184828,0.4349242890184828,n/a,2026-05-14,2026-05-14,False,,,,,1.663443
TER,LONG,0.4175136303579236,4.175136303579236,0.0,2.5051,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,0.00020701070474062164,2.6e-05,4.1e-05,5.287996301000606e-06,0.03831683226932378,34.537037,3,0,0.446579,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.600418,0.223783,0.0,0.0,,,,,,,False,,,,,3.757878
JBTM,LONG,0.3957722059719727,3.9577220597197273,3.63,4.4079,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.7,NEUTRAL,ema_pullback,,,135.0,125.0,5.12,2.66,2309.0,1578.0,0.683,847.0,1543.0,1497.0,67.4,0.486,0.0,0.93,1.0,1.2,0.41,0.08,False,default,2.5,False,1,1.0,99.0,9.2e-05,0.0,1.300093529828596e-22,0.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.501872,0.0,0.0,0.0,1.0,0.3957722059719727,0.3957722059719727,n/a,2026-05-14,2026-05-14,False,,,,,
WOLF,LONG,0.39192813131045784,3.9192813131045785,0.0,2.3516,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,0.008999820630476838,8.9e-05,0.001096,24761.563143615782,917113.209262699,37.813187,0,0,0.0,0.34041,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.000666,0.009962,0.732864,0.0,0.0,,,,,,,False,,,,,200.444444
AXTI,LONG,0.381891106988538,3.81891106988538,0.0,2.2913,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,0.07530301722425373,0.000652,0.000747,1068.9972261706698,14195.941485148956,512.362619,3,0,0.061418,0.009346,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,2e-06,0.519305,0.205193,0.0,0.0,,,,,,,False,,,,,280.138156
NOK,LONG,0.37026142851072674,3.702614285107267,0.0,2.2216,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,0.4589186765700406,1.2e-05,1e-05,2.185313102559912e-06,9.523748821438029e-06,30.2612,2,1,0.110384,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.556028,0.651732,0.0,0.0,,,,,,,False,,,,,39.515528
SPOT,LONG,0.3625239612527007,3.625239612527007,4.91,4.8056,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",7.6,NEGATIVE,pullback_to_support,-5679994.42,438.11,600.0,400.0,36.95,8.7,86115.0,82733.0,0.961,48263.0,51636.0,68949.0,70.4,0.504,0.0,0.71,1.0,1.4,1.79,0.0,False,default,2.5,False,2,1.0,99.0,3.3e-05,0.0,6.301759105560062e-14,0.0,17.133242,2,0,0.221132,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.586648,0.0,0.0,0.0,1.0,0.3625239612527007,0.3625239612527007,n/a,2026-05-14,2026-05-14,False,,,,,
EEM,LONG,0.35584222225055856,3.5584222225055857,0.0,2.1351,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,99.0,2.8e-05,0.000216,631364.0756243205,0.0015313110159561924,8298.0,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,7e-06,0.0,0.325705,0.238852,0.0,0.0,,,,,,,False,,,,,6.393985
