ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
CBRS,LONG,0.6240756777212388,6.240756777212388,0.0,3.7445,error: Need at least 21 rows to compute support/resistance,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,99.0,0.000127,0.0,11259.927296022299,0.0,85.740385,2,0,0.655623,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,2e-06,0.0,0.61754,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
FWONK,LONG,0.5143026350579837,5.143026350579837,4.71,5.4245,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,7.2,NEUTRAL,ema_pullback,,,100.0,75.0,10.99,16.76,2612.0,1695.0,0.649,62.0,2000.0,2245.0,14.7,0.277,1,0.7,99.0,0.000267,0.0,477556.26095197344,0.0,361.363636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4.8e-05,0.0,0.2377,0.0,0.0,0.0,False,1.52,0.97,0.21,1.2,0.79,0.02,False,default,2.5,False,1.0,0.5143026350579837,0.5143026350579837,n/a,2026-05-21,2026-05-21,,,,,
CMI,LONG,0.4801194388058653,4.8011943880586525,5.39,4.9976,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned,4.9,NEUTRAL,ema_pullback,,,700.0,500.0,9.79,21.58,12615.0,10306.0,0.817,11230.0,790.0,10901.0,84.8,0.385,1,1.0,99.0,2.4e-05,0.0,2.513740675408752e-18,0.0,3.187302,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.342247,0.0,0.0,0.0,False,1.85,0.47,1.0,1.2,0.18,0.68,False,default,2.5,False,1.0,0.4801194388058653,0.4801194388058653,n/a,2026-05-21,2026-05-21,,,,,
BTU,LONG,0.4773925653618231,4.773925653618231,4.75,5.032,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.1,NEUTRAL,bounce_and_fail,,,45.0,5.0,84.12,79.54,79601.0,57955.0,0.728,27987.0,9849.0,99720.0,20.9,0.57,1,1.0,99.0,0.000358,0.0,4.566632637365832e-15,0.0,10.859914,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.437035,0.0,0.0,0.0,False,0.0,0.74,1.0,1.0,1.79,0.22,False,default,2.5,False,1.0,0.4773925653618231,0.4773925653618231,n/a,2026-05-21,2026-05-21,,,,,
ZETA,LONG,0.4461015121062875,4.461015121062875,5.25,4.8255,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,5.1,POSITIVE,ema_pullback,3038976.42,17.79,20.0,17.5,12.42,1.63,238462.0,89830.0,0.377,127695.0,40337.0,160260.0,25.9,0.631,1,1.0,99.0,0.000334,0.0,5213.241058799133,0.0,76.067708,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.287385,0.0,0.0,0.0,False,1.68,0.89,0.57,1.2,0.85,0.06,False,default,2.5,False,1.0,0.4461015121062875,0.4461015121062875,n/a,2026-05-21,2026-05-21,,,,,
ASTS,LONG,0.4117165878248359,4.117165878248359,6.95,5.3436,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,6.0,NEGATIVE,trend_continuation,-1246548.97,95.45,100.0,70.0,4.62,26.76,924093.0,364534.0,0.394,664223.0,119829.0,504575.0,72.4,1.11,1,0.7,99.0,0.000131,0.0,2868106.5854312032,0.0,3.479718,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.6e-05,0.0,0.242161,0.0,0.0,0.0,False,1.63,0.43,1.0,1.4,1.8,0.7,False,consolidation_break,3.0,False,1.0,0.4117165878248359,0.4117165878248359,n/a,2026-05-21,2026-05-21,,,,,
TER,LONG,0.4065266091481658,4.065266091481658,0.0,2.4392,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,4,1.0,0.00020701070547739955,2.7e-05,2e-05,1.863288461312226e-14,2.7002784088125107e-10,34.537037,3,0,0.446579,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.600418,0.223783,0.0,0.0,False,,,,,,,,,,,,,,,,,1.390756,,,,
MRVL,LONG,0.36319592329249456,3.6319592329249457,6.17,4.067,price_validation_failed,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, trend_aligned",room_to_target,2.0,POSITIVE,ema_pullback,10383612.5,191.66,200.0,130.0,4.28,32.22,592088.0,758443.0,1.281,587585.0,138950.0,623996.0,95.7,0.928,4,1.0,99.0,1.2e-05,0.0,56.92720146015871,0.0,3.06209,1,0,0.413069,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.592531,0.0,0.0,0.0,False,2.62,0.16,0.0,1.2,1.82,0.36,False,default,2.5,False,1.0,0.36319592329249456,0.36319592329249456,n/a,2026-05-21,2026-05-21,,,,,
GOOG,LONG,0.3563518519546821,3.563518519546821,0.0,2.1381,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,14,1.0,2.0309008621489224,2e-06,5e-06,16147.600522920924,3180.381834263429,4.933915,2,1,0.395805,0.80648,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.275774,0.465778,0.0,0.0,False,,,,,,,,,,,,,,,,,22.692511,,,,
SNDK,LONG,0.35444036886357316,3.5444036886357315,7.13,4.9312,"wall_proximity (0.5%, 0.1 ATR to call wall)","momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.1,NEGATIVE,trend_continuation,-1418326.08,1492.17,1500.0,250.0,0.46,83.26,315694.0,389569.0,1.234,335513.0,48295.0,321455.0,31.7,0.973,6,1.0,99.0,3.1e-05,5e-06,11112.20651372155,394.3791746773945,7.302164,1,0,2e-06,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.282191,0.313611,0.0,0.0,False,2.59,0.63,0.21,1.4,1.97,0.32,False,sustained_trend,5.0,False,1.0,0.35444036886357316,0.35444036886357316,n/a,2026-05-21,2026-05-21,1.527778,,,,
