ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
TTMI,LONG,0.5065163738543761,5.065163738543761,7.67,5.9336,poor_rr (1.8:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.5,NEUTRAL,trend_continuation,,,230.0,85.0,21.1,55.24,19449.0,6377.0,0.328,18591.0,995.0,6240.0,88.2,0.906,2.4,0.5,1.0,1.4,1.92,0.46,False,sustained_trend,5.0,False,189.92,167.13,230.0,1.76,1,1.0,99.0,0.000169,0.0,446.3989724265285,0.0,47.849057,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.362922,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-25,2026-05-25,False,
TRIP,LONG,0.5065163738543761,5.065163738543761,5.44,5.6846,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",7.6,NEUTRAL,retest_and_confirm,,,20.0,8.0,98.41,20.63,123592.0,101635.0,0.822,39577.0,9042.0,175240.0,45.4,0.55,0.0,0.91,1.0,1.4,1.91,0.22,False,default,2.5,False,,,,,1,1.0,99.0,0.000523,0.0,0.4634630278255073,0.0,23.465863,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.499092,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-25,2026-05-25,False,
BWA,LONG,0.5065163738543761,5.065163738543761,7.24,5.7646,poor_rr (0.5:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.3,NEUTRAL,trend_continuation,,,70.0,60.0,6.35,8.84,31262.0,8300.0,0.265,19858.0,7922.0,11782.0,90.6,0.45,2.16,0.63,1.0,1.4,1.54,0.51,False,sustained_trend,5.0,False,65.82,57.92,70.0,0.53,1,1.0,99.0,5.3e-05,0.0,3.4628479829605176e-25,0.0,833.333333,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.173028,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-05-25,2026-05-25,False,
APH,LONG,0.4964047260704102,4.964047260704102,6.15,5.407,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,5.4,NEUTRAL,flag_breakout,,,150.0,115.0,13.58,12.92,76896.0,77367.0,1.006,62439.0,47385.0,44439.0,67.0,0.485,0.0,0.93,1.0,1.6,1.93,0.69,False,consolidation_break,3.0,False,,,,,5,1.0,99.0,2.1e-05,5e-06,4.8264949643674e-09,1.6105463742920947e-15,64.020873,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.443061,0.289316,0.0,0.0,1.0,0.4964047260704102,0.4964047260704102,n/a,2026-05-25,2026-05-25,False,1.635546
JETS,LONG,0.46262182821096004,4.6262182821096,4.5,4.8831,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.1,NEGATIVE,ema_pullback,-2174224.25,,29.5,27.0,8.74,0.48,91083.0,204729.0,2.248,156319.0,6802.0,119559.0,86.9,0.475,0.0,0.58,0.8,1.2,1.8,0.11,False,default,2.5,False,,,,,1,1.0,99.0,0.000944,0.0,4.901233901260101e-08,0.0,1.66299,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.407533,0.0,0.0,0.0,1.0,0.46262182821096004,0.46262182821096004,n/a,2026-05-25,2026-05-25,False,
ROST,LONG,0.4451680140271546,4.451680140271546,7.26,5.5838,poor_rr (0.2:1),"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target, trend_aligned",none,5.9,NEUTRAL,retest_and_confirm,,,240.0,180.0,2.21,23.34,19056.0,27350.0,1.435,19508.0,2251.0,13025.0,46.5,0.26,1.95,0.23,1.0,1.4,1.93,0.75,False,consolidation_break,3.0,False,234.81,207.55,240.0,0.19,1,1.0,99.0,9e-06,0.0,76.09381961451965,0.0,364.705882,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.211949,0.0,0.0,0.0,1.0,0.4451680140271546,0.4451680140271546,n/a,2026-05-25,2026-05-25,False,
BURL,LONG,0.44106692424093635,4.410669242409363,5.69,4.9323,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,5.1,NEUTRAL,support_ema_confluence,,,400.0,260.0,23.26,19.88,7034.0,40055.0,5.694,35606.0,1649.0,4629.0,79.9,0.491,0.0,0.51,1.0,1.6,1.98,0.61,False,consolidation_break,3.0,False,,,,,1,1.0,99.0,3.5e-05,0.0,81.18368685378061,0.0,41.988636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.092825,0.0,0.0,0.0,1.0,0.44106692424093635,0.44106692424093635,n/a,2026-05-25,2026-05-25,False,
ARM,LONG,0.39023753776150477,3.902375377615048,7.55,5.3762,poor_rr (1.2:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.8,NEGATIVE,trend_continuation,-571501.09,,350.0,110.0,14.19,64.11,410158.0,464070.0,1.131,273349.0,145639.0,360383.0,97.6,0.872,2.69,0.18,1.0,1.4,1.85,0.44,False,sustained_trend,5.0,False,306.51,269.73,350.0,1.18,5,1.0,72.15218475968625,2.5e-05,5e-06,243.11247013880984,13.477760705294381,16.286839,1,0,0.530054,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.382502,0.213433,0.0,0.0,1.0,0.39023753776150477,0.39023753776150477,n/a,2026-05-25,2026-05-25,False,12.637931
DHI,LONG,0.35815121012093376,3.581512101209338,5.62,4.5968,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",5.6,NEUTRAL,support_ema_confluence,,,150.0,140.0,4.36,2.6,27358.0,32941.0,1.204,25060.0,6413.0,25681.0,47.3,0.374,0.0,0.99,1.0,1.6,1.81,0.22,False,default,2.5,False,,,,,1,1.0,99.0,1.1e-05,0.0,5.019229475560405e-11,0.0,3.121118,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.403212,0.0,0.0,0.0,1.0,0.35815121012093376,0.35815121012093376,n/a,2026-05-25,2026-05-25,False,
GOOG,LONG,0.3542275507671399,3.542275507671399,0.0,2.1254,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1.0,0.016251010282828795,2e-06,7e-06,0.16004393120117755,3.5811800098088513,4.933915,2,1,0.395805,0.008002,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.275774,0.523629,0.0,0.0,,,,,,,False,21.353192
