ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi,entry_price,stop_price,target_1,rr_ratio
PVH,LONG,0.6915163738543759,6.915163738543759,2.78,5.6716,price_validation_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.9,NEUTRAL,bounce_and_fail,,,120.0,50.0,68.54,29.78,7300.0,25306.0,3.467,1610.0,23853.0,7143.0,23.5,0.414,0.0,0.2,1.0,1.0,0.39,0.2,False,default,2.5,False,1,1.0,99.0,0.000309,0.0,713899.9361810393,0.0,34.333333,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,9.8e-05,0.0,0.459326,0.0,0.0,0.0,1.0,0.6915163738543759,0.6915163738543759,n/a,2026-06-25,2026-06-25,False,,,,,
ASHR,LONG,0.6446015063771292,6.446015063771292,5.01,5.246,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,2.6,POSITIVE,ema_pullback,12785004.27,36.65,38.0,32.0,3.68,12.69,264694.0,257953.0,0.975,164159.0,2383.0,356105.0,93.2,0.23,1.76,0.48,0.26,1.2,1.13,0.19,False,default,2.5,False,3,0.7,2.075445054770835,0.001455,0.000795,39066.65779665638,37646.53533646065,44.727941,0,0,0.419051,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4.9e-05,1.2e-05,0.701194,0.35274,0.0,0.0,1.0,0.6446015063771292,0.6446015063771292,n/a,2026-06-25,2026-06-25,False,2.746432,,,,
GDS,LONG,0.5065163738543761,5.065163738543761,1.8,4.5726,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",7.5,NEUTRAL,unknown,,,36.0,13.0,21.95,55.96,61773.0,10587.0,0.171,17172.0,29702.0,25486.0,63.1,0.656,0.0,0.15,1.0,0.0,0.33,0.33,False,default,2.5,False,1,1.0,99.0,0.000164,0.0,1.993503372377186e-15,0.0,17.365011,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.100916,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-06-25,2026-06-25,False,,,,,
YPF,LONG,0.47125907693063845,4.712590769306384,2.47,4.3373,price_validation_failed,"bounce_and_fail, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.2,NEUTRAL,bounce_and_fail,,,60.0,40.0,31.58,12.28,85330.0,62605.0,0.734,44408.0,627.0,102900.0,34.7,0.437,0.0,0.09,1.0,1.0,0.29,0.1,False,default,2.5,False,1,1.0,99.0,3.8e-05,0.0,8.224211137435199e-41,0.0,14.130326,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.531945,0.0,0.0,0.0,1.0,0.47125907693063845,0.47125907693063845,n/a,2026-06-25,2026-06-25,False,,,,,
SMH,LONG,0.4092335267534096,4.0923352675340965,0.0,2.4554,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,9,1.0,0.07954479183820094,2.5e-05,3.1e-05,755.2813104750918,18990.0883017302,36.455808,2,0,0.79896,0.507012,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.501121,0.258697,0.0,0.0,,,,,,,False,56.823727,,,,
CCL,LONG,0.4076892483391894,4.0768924833918945,5.53,5.2374,price_validation_failed,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned",7.7,NEGATIVE,ema_pullback,-6001931.19,28.23,35.0,25.0,23.92,11.49,426611.0,546942.0,1.282,275526.0,250293.0,447734.0,38.2,0.456,1.65,0.93,1.0,1.2,0.58,0.17,False,default,2.5,False,1,0.7,99.0,9.5e-05,0.0,6.250515804084584e-22,0.0,4.059441,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.354816,0.0,0.0,0.0,1.0,0.4076892483391894,0.4076892483391894,n/a,2026-06-25,2026-06-25,False,,,,,
COHR,LONG,0.3988901887241561,3.988901887241561,0.0,2.3933,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,0.6528030704310671,3.8e-05,5.8e-05,732383.4796328783,3365717.0721451803,39.0,2,0,0.649152,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.8e-05,2.7e-05,0.615152,0.625498,0.0,0.0,,,,,,,False,1.077895,,,,
DRAM,LONG,0.39870576969726895,3.9870576969726894,7.59,4.7905,poor_rr (0.4:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,2.6,POSITIVE,trend_continuation,20998863.78,76.59,80.0,60.0,4.46,21.66,861418.0,789372.0,0.916,726584.0,472646.0,451560.0,91.5,0.963,2.24,0.66,1.0,1.4,1.33,0.95,False,sustained_trend,5.0,False,5,1.0,5.942867777344893,0.0,0.0,3266.40706099833,2198.539279941826,15.644299,1,1,0.596277,0.0,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,0.0,0.0,0.29528,0.48208,0.0,0.0,1.0,0.39870576969726895,0.39870576969726895,n/a,2026-06-25,2026-06-25,False,13.532051,76.58,67.39,80.0,0.37
NEM,LONG,0.39603816091450306,3.9603816091450303,3.31,4.6732,price_validation_failed,"not_extended, pullback_to_support, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",8.5,NEGATIVE,pullback_to_support,-10857937.8,95.63,110.0,95.0,14.98,0.7,315236.0,211398.0,0.671,139878.0,126820.0,259936.0,56.4,0.491,0.0,0.43,1.0,1.4,0.38,0.1,False,default,2.5,False,5,1.0,0.08464548607467111,3.7e-05,1.2e-05,3.1274526324747784e-13,5.542148986626155e-12,2.804518,1,1,0.0,0.208665,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.1331,0.333703,0.0,0.0,1.0,0.39603816091450306,0.39603816091450306,n/a,2026-06-25,2026-06-25,False,1.737761,,,,
CVX,LONG,0.39355623342789614,3.9355623342789614,3.17,4.3588,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",7.2,POSITIVE,bounce_and_fail,12460893.56,172.41,200.0,170.0,16.0,1.4,275528.0,188550.0,0.684,117835.0,136997.0,209246.0,50.0,0.262,0.0,0.21,1.0,1.0,0.88,0.09,False,default,2.5,False,5,1.0,99.0,1.4e-05,0.0,7111.790743279355,0.0,7.595585,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.555601,0.0,0.0,0.0,1.0,0.39355623342789614,0.39355623342789614,n/a,2026-06-25,2026-06-25,False,,,,,
