ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
FROG,LONG,0.5065163738543761,5.065163738543761,6.02,5.5186,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.9,NEUTRAL,trend_continuation,,,105.0,57.5,9.95,39.79,67876.0,14404.0,0.212,47189.0,28101.0,6990.0,77.0,0.766,2.71,0.68,0.09,1.4,1.12,0.02,False,sustained_trend,5.0,False,3,1.0,99.0,0.000298,4.5e-05,8.571774528732997e-32,4.945948189767112e-39,5.599338,11.450382,0,1,0.0,0.475217,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.80762,0.699359,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-07-09,2026-07-09,False
ITT,LONG,0.5065163738543761,5.065163738543761,4.94,4.4746,price_validation_failed,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned,2.3,NEUTRAL,flag_breakout,,,195.0,180.0,1.04,6.74,5171.0,8109.0,1.568,8211.0,4642.0,427.0,91.7,0.395,0.0,0.92,0.36,1.6,1.68,0.38,False,default,2.5,False,1,1.0,99.0,3.4e-05,0.0,3.4326403929825193e-54,0.0,8.426966,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.55878,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-07-09,2026-07-09,False
AS,LONG,0.5065163738543761,5.065163738543761,0.0,3.0391,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,4.133757492005166e-15,4.2e-05,6.7e-05,1.9873705969591677e-55,2.40383065625259e-41,47.144928,31.451358,0,0,0.0,1e-06,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.459276,0.299877,0.0,0.0,,,,,,,False
NAMS,LONG,0.4808020881400903,4.808020881400903,5.48,5.028,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",4.9,NEUTRAL,trend_continuation,,,40.0,25.0,11.36,30.4,4412.0,21400.0,4.85,1785.0,10503.0,13524.0,81.0,0.833,2.02,0.76,0.1,1.4,1.19,0.01,False,sustained_trend,5.0,False,1,0.7,99.0,0.000268,0.0,3.796127575438421e-55,0.0,5.298013,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.409477,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-07-09,2026-07-09,False
ALHC,LONG,0.4808020881400903,4.808020881400903,5.76,5.272,price_validation_failed,"confirmation_volume, not_extended, room_to_target, trend_aligned, trend_continuation",momentum_aligned,5.7,NEUTRAL,trend_continuation,,,25.0,20.0,18.88,4.9,22727.0,7060.0,0.311,6605.0,10494.0,12688.0,99.5,0.724,2.16,0.85,0.37,1.4,0.54,0.43,False,default,2.5,False,1,0.7,99.0,0.000131,0.0,1.3031524233308298e-55,0.0,64.655172,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.396701,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-07-09,2026-07-09,False
MTSI,LONG,0.4759649246677964,4.759649246677964,2.43,4.3688,price_validation_failed,"momentum_aligned, not_extended, room_to_target","confirmation_volume, continuation_pattern, trend_aligned",6.3,NEUTRAL,unknown,,,350.0,250.0,10.29,21.22,11539.0,5751.0,0.498,4022.0,10178.0,3090.0,98.0,0.871,0.0,0.48,1.0,0.0,0.74,0.22,False,default,2.5,False,3,1.0,99.0,0.000116,0.0,82373.69536959137,0.0,13.029954,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.169312,0.0,0.0,0.0,1.0,0.4759649246677964,0.4759649246677964,n/a,2026-07-09,2026-07-09,False
SEZL,LONG,0.45161314532608876,4.516131453260888,6.22,4.6441,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",2.6,NEUTRAL,trend_continuation,,,180.0,75.0,1.65,57.65,28916.0,22755.0,0.787,25031.0,7509.0,19131.0,78.0,0.927,2.71,0.67,0.1,1.4,1.21,0.13,False,sustained_trend,5.0,False,3,0.7,1.6288136052956315,0.000252,6.6e-05,6.193325206021281e-15,7.604707114289097e-15,46.469512,211.0,1,0,0.167401,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.592313,0.595135,0.0,0.0,1.0,0.45161314532608876,0.45161314532608876,n/a,2026-07-09,2026-07-09,False
KLAC,LONG,0.4479368567884307,4.479368567884307,5.91,5.3127,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,6.5,NEGATIVE,trend_continuation,-143262.6,,320.0,224.0,39.42,2.41,178454.0,251607.0,1.41,71535.0,185068.0,173458.0,99.3,0.946,1.83,0.83,1.0,1.4,0.66,0.19,False,default,2.5,False,7,1.0,1.7978059479495228,1.2e-05,6e-06,4.63573745245755e-06,6.446381849143414e-06,786.932895,583.0,4,1,0.701543,0.458439,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.624474,0.607306,0.0,0.0,1.0,0.4479368567884307,0.4479368567884307,n/a,2026-07-09,2026-07-09,False
DELL,LONG,0.43147293818445004,4.314729381844501,6.36,4.7454,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.4,POSITIVE,trend_continuation,71914206.36,449.79,500.0,100.0,11.06,77.79,327476.0,347231.0,1.06,194763.0,159379.0,320565.0,99.4,0.833,2.15,0.73,0.05,1.4,1.72,0.3,False,sustained_trend,5.0,False,6,1.0,99.0,2.8e-05,0.0,81669.08699806879,0.0,4.214434,,3,0,0.453701,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-06,0.0,0.550844,0.0,0.0,0.0,1.0,0.43147293818445004,0.43147293818445004,n/a,2026-07-09,2026-07-09,False
KWEB,LONG,0.4224211792053182,4.224211792053182,5.01,4.7351,price_validation_failed,"momentum_aligned, not_extended, retest_and_confirm, room_to_target","confirmation_volume, trend_aligned",5.6,POSITIVE,retest_and_confirm,39167691.42,26.48,35.0,25.0,32.18,5.59,2317600.0,821385.0,0.354,801788.0,1156286.0,1180911.0,69.8,0.334,0.0,0.46,1.0,1.4,1.87,0.28,False,default,2.5,False,4,1.0,99.0,0.001073,0.0,9.387750190060872e-05,0.0,89.989373,,0,0,0.293801,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.353287,0.0,0.0,0.0,1.0,0.4224211792053182,0.4224211792053182,n/a,2026-07-09,2026-07-09,False
