ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,bearish_vol_oi
WMB,LONG,0.5215503371661334,5.215503371661335,5.24,4.9998,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume,4.1,POSITIVE,support_ema_confluence,14792177.75,74.11,80.0,68.0,7.87,8.31,238121.0,105997.0,0.445,87771.0,51497.0,204850.0,97.6,0.312,1.5,0.95,0.36,1.6,0.78,0.04,False,default,2.5,False,2,1.0,99.0,1.5e-05,0.0,2.9459878993439215e-29,0.0,2.897069,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.233091,0.0,0.0,0.0,1.0,0.5215503371661334,0.5215503371661334,n/a,2026-07-20,2026-07-20,False,
SOLS,LONG,0.5074560453507633,5.074560453507633,1.1,3.8073,price_validation_failed,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned",4.7,NEUTRAL,unknown,,,65.0,55.0,15.11,2.6,40327.0,50421.0,1.25,0.0,68602.0,22146.0,91.5,0.653,0.0,0.0,1.0,0.0,0.07,0.03,True,default,2.5,False,2,1.0,99.0,0.000114,0.0,5.564280708129281e-20,0.0,8.642937,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.021682,0.0,0.0,0.0,1.0,0.5074560453507633,0.5074560453507633,n/a,2026-07-20,2026-07-20,False,
FWONK,LONG,0.4808020881400903,4.808020881400903,5.48,5.508,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",7.3,NEUTRAL,trend_continuation,,,115.0,80.0,15.93,19.35,12868.0,10765.0,0.837,0.0,13432.0,10201.0,50.2,0.326,2.27,0.84,0.28,1.4,0.49,0.2,False,sustained_trend,5.0,False,1,0.7,99.0,0.000267,0.0,1.3046965459962403e-67,0.0,361.363636,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.2377,0.0,0.0,0.0,1.0,0.4808020881400903,0.4808020881400903,n/a,2026-07-20,2026-07-20,False,
KLAC,LONG,0.44065491226258846,4.406549122625885,2.95,3.7483,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",3.3,POSITIVE,ema_pullback,164642.78,207.54,270.0,122.0,30.06,41.23,155118.0,248518.0,1.602,0.0,221047.0,182589.0,99.1,0.957,0.0,0.52,1.0,1.2,0.18,0.05,False,default,2.5,False,7,1.0,1.7978059479495097,1.2e-05,6e-06,2.448797328735078e-19,3.4052581307900017e-19,786.932895,4,1,0.701543,0.458439,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.624474,0.607306,0.0,0.0,1.0,0.44065491226258846,0.44065491226258846,n/a,2026-07-20,2026-07-20,False,583.0
USO,LONG,0.4319271793445167,4.319271793445167,6.73,4.9786,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.0,POSITIVE,trend_continuation,42098873.89,125.56,130.0,100.0,3.58,20.33,626205.0,659885.0,1.054,288924.0,497806.0,499360.0,64.0,0.604,1.8,0.38,1.0,1.4,1.76,0.4,False,consolidation_break,3.0,False,1,1.0,99.0,0.000699,0.0,414201.64839478326,0.0,2.697749,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.000212,0.0,0.627863,0.0,0.0,0.0,1.0,0.4319271793445167,0.4319271793445167,n/a,2026-07-20,2026-07-20,False,
MXL,LONG,0.4111630752781434,4.1116307527814335,0.0,2.467,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,4.2236681344520667e-23,0.000283,0.000195,2.717164309322421e-25,0.004288790726965132,4.966851,2,1,0.462282,0.035972,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.615846,0.25275,0.0,0.0,,,,,,,False,9.73059
A,LONG,0.40605760675001523,4.060576067500152,4.68,4.6343,price_validation_failed,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned",6.0,NEUTRAL,trend_continuation,,,150.0,100.0,15.15,23.23,13679.0,6976.0,0.51,0.0,12887.0,7768.0,67.4,0.333,1.55,0.81,0.65,1.4,0.03,0.24,False,default,2.5,False,1,0.7,99.0,8e-06,0.0,6.327766691481871e-51,0.0,100.166667,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.478387,0.0,0.0,0.0,1.0,0.40605760675001523,0.40605760675001523,n/a,2026-07-20,2026-07-20,False,
LLY,LONG,0.4038822064201845,4.038822064201845,0.0,2.4233,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,15,1.0,99.0,9e-06,9e-06,33263.61833875682,29.45611561667789,4.854981,1,2,2.3e-05,0.262323,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.310748,0.38674,0.0,0.0,,,,,,,False,10.767893
SHAZ,LONG,0.38585100831914715,3.8585100831914714,3.51,4.2823,price_validation_failed,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned",6.5,NEUTRAL,ema_pullback,,,100.0,50.0,60.41,19.79,13717.0,8429.0,0.614,0.0,15452.0,6694.0,16.6,1.149,0.0,0.58,0.84,1.2,0.55,0.36,False,default,2.5,False,1,1.0,99.0,0.00087,0.0,1.040516951196918e-34,0.0,1128.5,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.002037,0.0,0.0,0.0,1.0,0.38585100831914715,0.38585100831914715,n/a,2026-07-20,2026-07-20,False,
MA,LONG,0.3802820805401775,3.8028208054017747,6.22,4.4674,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,3.5,NEUTRAL,trend_continuation,,,550.0,450.0,0.47,17.8,64363.0,60212.0,0.936,13893.0,41854.0,68828.0,87.5,0.286,2.27,0.65,0.27,1.4,1.62,0.02,False,sustained_trend,5.0,False,4,1.0,3.634283924758991e-11,6e-06,2e-06,3.6197698950895816e-12,0.29880190733829043,10.992979,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.538884,0.550388,0.0,0.0,1.0,0.3802820805401775,0.3802820805401775,n/a,2026-07-20,2026-07-20,False,35.666667
