ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train,entry_price,stop_price,target_1,rr_ratio
FLEX,LONG,0.5102513493267125,5.102513493267125,4.58,5.0653,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.7,NEUTRAL,bounce_and_fail,,,140.0,105.0,20.62,9.54,45347.0,30717.0,0.677,38629.0,17130.0,20305.0,87.4,0.803,0.0,0.71,1.0,1.0,1.67,0.21,False,default,2.5,False,7,0.7,99.0,0.000102,9e-06,0.00849864883790514,3.239801316399603e-19,43.341398,3.057292,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.603742,0.246121,0.0,0.0,1.0,0.5102513493267125,0.5102513493267125,n/a,2026-08-03,2026-08-03,False,,,,
RBLX,LONG,0.4841110715177194,4.841110715177194,3.82,5.4866,price_validation_failed,"confirmation_volume, room_to_target, volume_capitulation_reversal","momentum_aligned, not_extended, trend_aligned",9.6,NEGATIVE,unknown,-1573478.6,,80.0,35.0,113.28,6.69,238839.0,149726.0,0.627,82637.0,101559.0,204369.0,51.6,0.684,0.0,0.0,1.0,1.4,0.42,1.0,True,default,2.5,False,1,1.0,99.0,4.8e-05,0.0,1071305.3182188356,0.0,4.675972,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.5e-05,0.0,0.327593,0.0,0.0,0.0,1.0,0.4841110715177194,0.4841110715177194,n/a,2026-08-03,2026-08-03,False,,,,
WULF,LONG,0.4802689341618113,4.802689341618113,5.32,4.8773,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,4.4,POSITIVE,bounce_and_fail,7380011.05,18.82,30.0,17.0,59.62,9.55,1737777.0,656682.0,0.378,807383.0,400365.0,1186711.0,84.3,1.082,0.0,0.87,1.0,1.0,1.92,0.53,False,default,2.5,False,3,1.0,4.798507462686567,0.000367,7.7e-05,1439382.693301196,599929.3340664394,5.083978,2.168219,0,0,0.090202,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,5.4e-05,0.0,0.153755,0.001588,0.0,0.0,1.0,0.4802689341618113,0.4802689341618113,n/a,2026-08-03,2026-08-03,False,,,,
VST,LONG,0.4593218870296374,4.593218870296374,5.14,5.2586,price_validation_failed,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned",7.1,NEGATIVE,pullback_to_support,-14742550.58,,180.0,125.0,16.6,19.03,224153.0,200045.0,0.892,99500.0,137175.0,187523.0,91.1,0.6,0.0,0.95,0.67,1.4,1.86,0.26,False,default,2.5,False,1,1.0,99.0,0.000185,0.0,5.733791913553417e-25,0.0,2.202077,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.210392,0.0,0.0,0.0,1.0,0.4593218870296374,0.4593218870296374,n/a,2026-08-03,2026-08-03,False,,,,
CORZ,LONG,0.4494715112346846,4.494715112346846,5.23,4.9164,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,5.5,POSITIVE,support_ema_confluence,8062957.49,22.52,30.0,13.0,33.16,42.3,1008873.0,503733.0,0.499,370293.0,565220.0,577093.0,74.8,0.938,0.0,0.97,0.26,1.6,1.82,0.59,False,default,2.5,False,1,1.0,99.0,0.000164,0.0,843372.0741319549,0.0,1.026278,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.5e-05,0.0,0.116432,0.0,0.0,0.0,1.0,0.4494715112346846,0.4494715112346846,n/a,2026-08-03,2026-08-03,False,,,,
APLD,LONG,0.43263613833061015,4.326361383306102,5.94,5.3652,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned,7.1,POSITIVE,support_ema_confluence,547427.09,29.82,35.0,25.0,17.17,16.3,490783.0,199425.0,0.406,127462.0,149045.0,413701.0,38.0,1.039,0.0,0.97,1.0,1.6,1.9,0.48,False,default,2.5,False,1,1.0,99.0,9.9e-05,0.0,599857.5522713802,0.0,2.620968,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1.4e-05,0.0,0.191348,0.0,0.0,0.0,1.0,0.43263613833061015,0.43263613833061015,n/a,2026-08-03,2026-08-03,False,,,,
HNGE,LONG,0.4295349109526037,4.295349109526037,0.0,2.5772,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,2.1823799842291045e-39,0.000102,8.8e-05,2.9532882900159565e-66,1.3532420162198127e-27,2.056,20.253165,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.705486,0.547938,0.0,0.0,,,,,,,False,,,,
POWL,LONG,0.4146689725340778,4.146689725340778,4.52,4.1493,price_validation_failed,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned,3.6,NEUTRAL,bounce_and_fail,,,220.0,200.0,3.12,6.25,19646.0,10745.0,0.547,9558.0,986.0,19847.0,95.7,1.051,0.0,0.63,1.0,1.0,1.48,0.41,False,default,2.5,False,1,1.0,99.0,0.000167,0.0,1.567798389060597e-58,0.0,12.272727,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.488437,0.0,0.0,0.0,1.0,0.4146689725340778,0.4146689725340778,n/a,2026-08-03,2026-08-03,False,,,,
ON,LONG,0.40299800011567705,4.029980001156771,3.43,4.464,price_validation_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",7.1,NEGATIVE,bounce_and_fail,-2370051.27,,145.0,80.0,79.07,1.2,144774.0,134886.0,0.932,66544.0,81876.0,131240.0,88.9,0.848,0.0,0.46,1.0,1.0,0.54,0.43,False,default,2.5,False,1,1.0,99.0,3.8e-05,0.0,1028139.4294215629,0.0,3.32967,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4e-06,0.0,0.133077,0.0,0.0,0.0,1.0,0.40299800011567705,0.40299800011567705,n/a,2026-08-03,2026-08-03,False,,,,
NBIS,LONG,0.3811368735506123,3.8113687355061234,4.86,4.6237,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm","room_to_target, trend_aligned",6.3,NEGATIVE,retest_and_confirm,-1657294.45,,250.0,150.0,15.08,30.95,655618.0,643403.0,0.981,448143.0,188642.0,662236.0,93.0,1.412,0.0,0.74,0.02,1.4,1.97,0.72,False,default,2.5,False,1,0.7,99.0,5.4e-05,0.0,2146295.980357971,0.0,10.268966,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.002199,0.0,0.0,0.0,1.0,0.3811368735506123,0.3811368735506123,n/a,2026-08-03,2026-08-03,False,,,,
