ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,entry_price,stop_price,target_1,rr_ratio,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,freight_train
MRNA,LONG,0.5328073318219998,5.328073318219998,7.53,5.343,poor_rr (0.3:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,2.1,POSITIVE,trend_continuation,9108727.76,144.98,150.0,50.0,3.36,65.55,394872.0,603584.0,1.529,507234.0,53625.0,437597.0,96.0,0.963,2.51,0.18,1.0,1.4,1.45,1.0,False,sustained_trend,5.0,False,145.13,127.71,150.0,0.28,6,0.7,4.0558659450747205,9.4e-05,2.2e-05,548564.3881753597,676260.5022011565,28.305033,13.398148,3,1,0.610248,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2e-05,1e-06,0.458951,0.077846,0.0,0.0,1.0,0.5328073318219998,0.5328073318219998,n/a,2026-08-21,2026-08-21,False
BR,LONG,0.5143026350579837,5.143026350579837,7.2,5.5115,"wall_proximity (1.5%, 0.5 ATR to call wall)","momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,3.9,NEUTRAL,trend_continuation,,,185.0,160.0,1.55,12.17,5467.0,3877.0,0.709,7601.0,2.0,1741.0,20.5,0.306,2.4,0.47,0.87,1.4,1.95,0.1,False,sustained_trend,5.0,False,,,,,1,0.7,99.0,7.9e-05,0.0,1364695.1233182321,0.0,13.993007,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3e-05,0.0,0.443185,0.0,0.0,0.0,1.0,0.5143026350579837,0.5143026350579837,n/a,2026-08-21,2026-08-21,False
BIRK,LONG,0.5065163738543761,5.065163738543761,3.41,4.7756,price_validation_failed,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned",6.1,NEUTRAL,bounce_and_fail,,,45.0,27.5,26.26,22.84,19888.0,73122.0,3.677,32580.0,46978.0,13452.0,18.2,0.464,0.0,0.45,1.0,1.0,0.44,0.52,False,default,2.5,False,,,,,1,1.0,99.0,0.00016,0.0,8.81207065794934e-06,0.0,1842.235294,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.02616,0.0,0.0,0.0,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-21,2026-08-21,False
SIRI,LONG,0.48904653007000487,4.890465300700049,3.6,4.5252,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",5.0,POSITIVE,bounce_and_fail,22762986.66,28.69,33.0,13.0,15.02,54.69,274571.0,101180.0,0.369,210598.0,6721.0,158432.0,16.7,0.304,0.0,0.74,1.0,1.0,0.82,0.03,False,default,2.5,False,,,,,1,1.0,99.0,6.6e-05,0.0,8.420343591733738e-17,0.0,31.23155,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.295396,0.0,0.0,0.0,1.0,0.48904653007000487,0.48904653007000487,n/a,2026-08-21,2026-08-21,False
SLS,LONG,0.48594600069352223,4.8594600069352225,8.0,5.7497,poor_rr (1.7:1),"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,4.6,POSITIVE,trend_continuation,1417265.81,15.35,30.0,5.0,94.05,67.66,679231.0,342459.0,0.504,268491.0,199278.0,553921.0,77.0,1.69,2.21,0.51,1.0,1.4,1.87,1.0,False,sustained_trend,5.0,False,15.46,13.6,18.61,1.7,1,1.0,99.0,0.00061,0.0,965852.8784445778,0.0,11.36456,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,5e-06,0.0,0.013829,0.0,0.0,0.0,1.0,0.48594600069352223,0.48594600069352223,n/a,2026-08-21,2026-08-21,False
BNO,LONG,0.45603064460772386,4.560306446077239,5.77,5.2912,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",6.4,POSITIVE,trend_continuation,12737753.87,,60.0,50.0,11.52,7.06,330930.0,38112.0,0.115,117240.0,126533.0,125269.0,28.2,0.485,1.84,0.58,0.0,1.4,1.75,0.2,False,sustained_trend,5.0,False,,,,,6,1.0,15.858789716004155,0.014792,0.008102,2.3623086510304828e-12,7.447947457952988e-14,1070.00935,171.947854,0,0,0.0,0.072319,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.52239,0.46446,0.0,0.0,1.0,0.45603064460772386,0.45603064460772386,n/a,2026-08-21,2026-08-21,False
NVTS,LONG,0.4489067175894099,4.4890671758941,4.06,4.2825,price_validation_failed,"not_extended, room_to_target, trend_continuation","confirmation_volume, momentum_aligned, trend_aligned",4.1,POSITIVE,trend_continuation,2502527.95,,15.0,7.0,15.65,46.03,402693.0,177821.0,0.442,274613.0,8689.0,297212.0,4.7,0.879,0.0,0.93,1.0,1.4,0.44,0.29,False,default,2.5,False,,,,,1,1.0,99.0,0.0001,0.0,184600.10219998693,0.0,2904.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.4e-05,0.0,0.472675,0.0,0.0,0.0,1.0,0.4489067175894099,0.4489067175894099,n/a,2026-08-21,2026-08-21,False
TTWO,LONG,0.43924190845881406,4.39241908458814,4.94,5.3582,price_validation_failed,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume,8.4,NEGATIVE,ema_pullback,-5852043.24,239.65,290.0,200.0,21.02,16.53,173504.0,120164.0,0.693,168778.0,11058.0,113832.0,53.7,0.411,1.53,0.89,0.25,1.2,0.96,0.1,False,default,2.5,False,,,,,1,1.0,99.0,0.000157,0.0,3.0645992161135087e-12,0.0,4.954082,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.542599,0.0,0.0,0.0,1.0,0.43924190845881406,0.43924190845881406,n/a,2026-08-21,2026-08-21,False
DASH,LONG,0.439186792872756,4.39186792872756,6.3,5.1459,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",5.3,NEUTRAL,trend_continuation,,,250.0,145.0,11.86,35.12,137704.0,79482.0,0.577,96140.0,1622.0,119424.0,6.7,0.372,2.39,0.65,0.0,1.4,1.65,0.22,False,sustained_trend,5.0,False,,,,,4,1.0,99.0,3.6e-05,3e-06,1158.3967573328543,0.00046445229191747095,56.515568,,0,1,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.263561,0.626534,0.0,0.0,1.0,0.439186792872756,0.439186792872756,n/a,2026-08-21,2026-08-21,False
AXTI,LONG,0.41106634240266354,4.110663424026636,3.38,4.3493,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.4,NEGATIVE,ema_pullback,-769484.16,,100.0,45.0,41.36,36.39,177467.0,119466.0,0.673,171102.0,6748.0,119083.0,0.8,1.154,0.0,0.95,1.0,1.2,0.17,0.07,False,default,2.5,False,,,,,6,1.0,99.0,0.000862,0.000114,405.54920388825974,1.5044405274766462e-08,5.971029,1.199161,2,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.568154,0.206201,0.0,0.0,1.0,0.41106634240266354,0.41106634240266354,n/a,2026-08-21,2026-08-21,False
