ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth,bullish_zscore_tier,bearish_zscore_tier,bullish_flow_intensity_tier,bearish_flow_intensity_tier,bullish_premium_per_trade_tier,bearish_premium_per_trade_tier,bullish_vol_oi_tier,bearish_vol_oi_tier,bullish_repeat_tier,bearish_repeat_tier,bullish_sweep_tier,bearish_sweep_tier,bullish_breadth_tier,bearish_breadth_tier,bullish_dte_tier,bearish_dte_tier,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,freight_train,price_trend,price_extension,price_room,price_pattern,price_momentum,price_confirm_vol,extended,extension_cap,extension_cap_atr,extension_soft_promoted,watchlist_streak_days,watchlist_max_flow_score,watchlist_mean_flow_score_5d,watchlist_flow_trend,watchlist_first_seen,watchlist_last_seen,entry_price,stop_price,target_1,rr_ratio
PWR,LONG,0.6108449790842596,6.108449790842596,0.0,3.6651,weak_bullish_flow,none,none,,,unknown,,,,,,,,,,,,,,,16,1.0,0.58813456585512,5.3e-05,4.1e-05,0.0018044288844296847,0.005113424118640065,21.648377,5.418333,0,1,1.9e-05,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.45148,0.418218,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
NVMI,LONG,0.508123160120685,5.08123160120685,1.7,4.9106,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",9.3,NEGATIVE,unknown,-556382.87,,580.0,350.0,60.62,3.08,6391.0,5239.0,0.82,2049.0,5153.0,4428.0,38.2,0.615,1,0.7,99.0,5.7e-05,0.0,536824.853992197,0.0,87.0,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,3.5e-05,0.0,0.784665,0.0,0.0,0.0,False,0.0,0.31,1.0,0.0,0.33,0.07,False,default,2.5,False,1.0,0.508123160120685,0.508123160120685,n/a,2026-08-24,2026-08-24,,,,
KRE,LONG,0.5065163738543761,5.065163738543761,3.2,4.7526,price_validation_failed,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned",6.3,NEGATIVE,ema_pullback,-47086908.24,74.77,80.0,65.0,6.99,13.07,581922.0,1167729.0,2.007,438450.0,448205.0,862996.0,4.1,0.222,1,1.0,99.0,0.003009,0.0,1.471220662459136e-16,0.0,5.623862,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.451141,0.0,0.0,0.0,False,0.0,0.55,1.0,1.2,0.3,0.15,False,default,2.5,False,1.0,0.5065163738543761,0.5065163738543761,n/a,2026-08-24,2026-08-24,,,,
DKS,LONG,0.4641312761679483,4.641312761679483,2.2,4.2207,price_validation_failed,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned",6.2,NEGATIVE,unknown,-2114614.66,,200.0,160.0,11.4,10.88,17070.0,22168.0,1.299,26245.0,2480.0,10513.0,88.6,0.529,1,1.0,99.0,5.5e-05,0.0,6.952048771331778e-24,0.0,127.290909,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.044698,0.0,0.0,0.0,False,0.0,0.06,1.0,0.0,0.33,0.81,False,default,2.5,False,1.0,0.4641312761679483,0.4641312761679483,n/a,2026-08-24,2026-08-24,,,,
TEAM,LONG,0.4066341566012242,4.066341566012242,6.2,4.6732,price_validation_failed,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target",3.9,POSITIVE,trend_continuation,1184901.83,171.06,200.0,130.0,16.92,24.0,99180.0,72155.0,0.728,70020.0,15864.0,85451.0,9.4,0.599,4,1.0,0.07318766155459552,5.4e-05,2.5e-05,2.604992982289051,106.78000609484488,63.824916,20.307692,2,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.53733,0.393092,0.0,0.0,False,2.99,0.4,0.12,1.4,1.29,0.0,False,sustained_trend,5.0,False,1.0,0.4066341566012242,0.4066341566012242,n/a,2026-08-24,2026-08-24,,,,
CMG,LONG,0.39801276605395475,3.9801276605395475,6.69,5.0171,price_validation_failed,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume,5.1,POSITIVE,trend_continuation,2096853.93,37.81,40.0,29.0,5.79,23.3,420713.0,310654.0,0.738,305988.0,11616.0,413763.0,23.5,0.357,2,1.0,99.0,4.6e-05,0.0,0.17584412613818373,0.0,2.148266,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.265183,0.0,0.0,0.0,False,1.69,0.53,1.0,1.4,1.88,0.18,False,sustained_trend,5.0,False,1.0,0.39801276605395475,0.39801276605395475,n/a,2026-08-24,2026-08-24,,,,
RDDT,LONG,0.3698185957306929,3.6981859573069293,3.3,4.0991,price_validation_failed,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned",6.3,NEGATIVE,bounce_and_fail,-15388549.3,,220.0,115.0,45.13,24.14,272153.0,227552.0,0.836,140625.0,59054.0,300026.0,4.9,0.57,1,1.0,99.0,3.3e-05,0.0,669657.5070440762,0.0,4.672897,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,2.1e-05,0.0,0.707403,0.0,0.0,0.0,False,0.0,0.65,1.0,1.0,0.64,0.0,False,default,2.5,False,1.0,0.3698185957306929,0.3698185957306929,n/a,2026-08-24,2026-08-24,,,,
PBR,LONG,0.36342023815735924,3.6342023815735924,6.2,4.7171,price_validation_failed,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none,5.2,POSITIVE,trend_continuation,14068179.33,18.52,20.0,10.0,7.96,46.02,911444.0,941439.0,1.033,471221.0,199324.0,1182338.0,31.1,0.326,1,1.0,99.0,7e-06,0.0,398510.70978027367,0.0,2.11897,,1,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1e-06,0.0,0.239227,0.0,0.0,0.0,False,1.66,0.95,1.0,1.4,0.71,0.49,False,sustained_trend,5.0,False,1.0,0.36342023815735924,0.36342023815735924,n/a,2026-08-24,2026-08-24,,,,
COST,LONG,0.36038219891520923,3.603821989152092,4.31,3.7349,price_validation_failed,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned",3.2,POSITIVE,support_ema_confluence,11279114.08,969.24,1000.0,900.0,3.17,7.14,154839.0,175456.0,1.133,178060.0,38256.0,113979.0,67.3,0.235,7,1.0,1.1680896739814614e-07,1.2e-05,3e-06,1.1155858403999599e-08,0.2387628846588163,2.845185,3.238201,2,0,0.04091,0.080698,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.415256,0.686156,0.0,0.0,False,0.0,0.63,0.27,1.6,1.64,0.16,False,default,2.5,False,1.0,0.36038219891520923,0.36038219891520923,n/a,2026-08-24,2026-08-24,,,,
MOD,LONG,0.3526560123304918,3.526560123304918,1.95,3.4283,price_validation_failed,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned",5.4,POSITIVE,unknown,375727.46,187.62,250.0,160.0,32.93,14.93,11169.0,8165.0,0.731,8736.0,3181.0,7417.0,28.2,0.705,1,1.0,99.0,5.8e-05,0.0,6.075671303082181e-24,0.0,5.641026,,0,0,0.0,0.0,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,0.0,0.0,0.596226,0.0,0.0,0.0,False,0.0,0.55,1.0,0.0,0.31,0.09,False,default,2.5,False,1.0,0.3526560123304918,0.3526560123304918,n/a,2026-08-24,2026-08-24,,,,
