ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score
ALAB,0.0,574.0317055835983,0,2,574.0317055835983,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,447.0740412144852,0,2,-574.0317055835983,SHORT,0.0,287.01585279179915,0.0,0.78,0.0,1.0,0.05,0.40846845609043425
AMAT,156847.36312855405,0.0,1,0,156847.36312855405,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,156847.36312855405,0.0,1,0,156847.36312855405,LONG,156847.36312855405,0.0,1.0,0.0,inf,1.0,0.5693688757649028,0.05
BMNR,35632.845271726175,0.0,1,0,35632.845271726175,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,35632.845271726175,0.0,1,0,35632.845271726175,LONG,35632.845271726175,0.0,1.0,0.0,inf,1.0,0.5142937123756348,0.05
CIA,0.0,97595.59597699992,0,1,97595.59597699992,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,97595.59597699992,0,1,-97595.59597699992,SHORT,0.0,97595.59597699992,0.0,1.0,0.0,1.0,0.05,0.5545414029546246
CMG,0.0,105481.99895155411,0,3,105481.99895155411,3,54.0,37.62,,37.62,3,0,2,0.0,105113.748945525,0.0,86805.73921650059,0,3,-105481.99895155411,SHORT,0.0,35160.6663171847,0.0,0.82,0.0,1.0,0.05,0.8356247548029991
CRM,2351.4590145309276,493.2104364281165,1,3,2844.669450959044,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2351.4590145309276,209.36422256516187,1,3,1858.248578102811,LONG,2351.4590145309276,164.40347880937216,1.0,0.42,4.7676586723518035,1.0,0.42217207172878357,0.4494685893341524
GLNG,195913.51322261093,0.0,5,0,195913.51322261093,5,83.6,16.44,16.44,,5,1,0,69719.2253708452,0.0,69719.2253708452,0.0,5,0,195913.51322261093,LONG,39182.702644522185,0.0,0.36,0.0,inf,1.0,0.8890142332068007,0.05
HIMS,0.0,38691.64913044172,0,1,38691.64913044172,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,38691.64913044172,0,1,-38691.64913044172,SHORT,0.0,38691.64913044172,0.0,1.0,0.0,0.7,0.0,0.47311474779844653
HOOD,6.22459049540694,45305.26441096278,1,3,45311.48900145818,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.22459049540694,44428.5495936418,1,3,-45299.03982046738,SHORT,6.22459049540694,15101.75480365426,1.0,0.98,0.00013739221206047613,1.0,0.2132206276061917,0.6133181021812532
HPQ,0.0,1.1268430682001855,0,1,1.1268430682001855,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.1268430682001855,0,1,-1.1268430682001855,SHORT,0.0,1.1268430682001855,0.0,1.0,0.0,1.0,0.05,0.17922626677819636
IWM,0.0,144434.2868943099,0,1,144434.2868943099,1,56.0,0.52,,0.52,1,0,1,0.0,144434.2868943099,0.0,144434.2868943099,0,1,-144434.2868943099,SHORT,0.0,144434.2868943099,0.0,1.0,0.0,1.0,0.05,0.6191318282993397
LEU,0.0,67686.35346194862,0,1,67686.35346194862,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,67686.35346194862,0,1,-67686.35346194862,SHORT,0.0,67686.35346194862,0.0,1.0,0.0,1.0,0.05,0.5431554043672423
NEM,250521.1711856007,0.0,2,0,250521.1711856007,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,125351.21077650663,0.0,2,0,250521.1711856007,LONG,125260.58559280034,0.0,0.5,0.0,inf,1.0,0.5819174056147504,0.05
NFLX,193557.62248337583,0.0,1,0,193557.62248337583,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,193557.62248337583,0.0,1,0,193557.62248337583,LONG,193557.62248337583,0.0,1.0,0.0,inf,1.0,0.5735708317761417,0.05
NOW,281.1831029130974,0.0,1,0,281.1831029130974,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,281.1831029130974,0.0,1,0,281.1831029130974,LONG,281.1831029130974,0.0,1.0,0.0,inf,1.0,0.33924629173086135,0.05
ORCL,55794.67042383188,93686.9575297608,1,1,149481.6279535927,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,55794.67042383188,93686.9575297608,1,1,-37892.28710592892,SHORT,55794.67042383188,93686.9575297608,1.0,1.0,0.5955436262951332,1.0,0.5325841000727574,0.5526465469095804
PLTR,0.0,45859.3738516384,0,1,45859.3738516384,1,56.0,0.11,,0.11,1,0,0,0.0,0.0,0.0,45859.3738516384,0,1,-45859.3738516384,SHORT,0.0,45859.3738516384,0.0,1.0,0.0,1.0,0.05,0.5276902922752122
QCOM,0.0,38020.7834174967,0,1,38020.7834174967,1,56.0,0.12,,0.12,1,0,0,0.0,0.0,0.0,38020.7834174967,0,1,-38020.7834174967,SHORT,0.0,38020.7834174967,0.0,1.0,0.0,1.0,0.05,0.5211265878577545
