ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,33921.14909711035,57.69733866375552,5,1,67899.99553288445,6,90.0,11.293747,13.485066,0.337151,6,1,0,15523.72535887207,0.0,15523.72535887207,57.69733866375552,5,1,0.0,33863.451758446594,LONG,6784.229819422069,57.69733866375552,0.457641,1.0,99.0,1.0,394294243.08651024,8.6e-05,0.0,0.39992900455633595,0.22753192077091045
AAOI,22616.19385331986,13259.827523028887,1,5,49135.848899377634,6,84.833333,7.139394,41.0,0.367273,6,0,0,0.0,0.0,22616.19385331986,5214.221571325302,1,5,0.0,9356.366330290972,LONG,22616.19385331986,2651.9655046057774,1.0,0.393234,1.7056174987224673,1.0,1132609116.2982662,2e-05,1.2e-05,0.32350513471616554,0.28894745566822255
AAP,131.87835804446118,230.33077408508765,1,1,592.5399062146365,2,30.5,69.543401,138.631579,0.455223,2,0,0,0.0,0.0,131.87835804446118,230.33077408508765,1,1,0.0,-98.45241604062647,SHORT,131.87835804446118,230.33077408508765,1.0,1.0,0.5725607382179132,1.0,79798906.86510544,2e-06,3e-06,0.2723910022813931,0.24811793609468158
ABVX,1.0272836918727422,251.57072897090845,1,2,505.1960253255624,3,111.0,0.608784,1.15625,0.335052,3,0,0,0.0,0.0,1.0272836918727422,127.4387258374346,1,2,0.0,-250.5434452790357,SHORT,1.0272836918727422,125.78536448545422,1.0,0.506572,0.0040834786148413035,0.7,116274821.00659943,0.0,2e-06,0.13566332914739873,0.17261638824512482
ACHR,27925.066784234972,0.0,2,0,55850.133568469944,2,56.0,580.96875,580.96875,,2,1,0,14351.373332503856,0.0,14351.373332503856,0.0,2,0,0.0,27925.066784234972,LONG,13962.533392117486,0.0,0.513924,0.0,99.0,1.0,178902341.47694007,0.000156,0.0,0.5821486747616249,0.115
AEM,17.50183308036789,50579.24937414296,1,3,58809.033456714125,4,58.5,0.968474,1.378049,0.831949,4,1,1,17.50183308036789,8194.780416410433,17.50183308036789,42325.969802786356,1,3,0.0,-50561.74754106259,SHORT,17.50183308036789,16859.749791380986,1.0,0.836825,0.0003460279323424509,1.0,477319582.55250853,0.0,0.000106,0.23189308429987462,0.40069642208233913
AGNC,0.0,5531.738583772266,0,1,5531.738583772266,1,90.0,0.08687,,0.08687,1,0,0,0.0,0.0,0.0,5531.738583772266,0,1,0.0,-5531.738583772266,SHORT,0.0,5531.738583772266,0.0,1.0,0.0,1.0,216799154.325,0.0,2.6e-05,0.115,0.30729868439620733
AGRO,69.82535616505193,0.0,1,0,69.82535616505193,1,92.0,4.170492,4.170492,,1,0,0,0.0,0.0,69.82535616505193,0.0,1,0,0.0,69.82535616505193,LONG,69.82535616505193,0.0,1.0,0.0,99.0,0.7,26333546.682755426,3e-06,0.0,0.181088927326148,0.065
ALAB,1.219375135883218,443.4370757710482,1,3,756.5654656938416,4,54.25,1.943465,3.0,1.591286,4,0,1,0.0,310.689639651027,1.219375135883218,310.689639651027,1,3,0.0,-442.217700635165,SHORT,1.219375135883218,147.81235859034942,1.0,0.70064,0.0027498267567342425,1.0,562772275.9501362,0.0,1e-06,0.18721090846490507,0.2535075144271772
AMZN,86554.6339601298,75584.87036562614,4,6,200426.47437377716,10,85.6,0.077371,0.133399,0.040019,10,0,0,0.0,0.0,43337.44165012918,28439.226677519233,4,6,0.0,10969.76359450366,LONG,21638.65849003245,12597.478394271022,0.500695,0.376256,1.1451317378919843,1.0,9433033421.53916,9e-06,8e-06,0.3139828332680176,0.3137548429027708
ARCC,0.0,0.05273447434892732,0,1,0.10546894869785464,1,94.0,1.085189,,1.085189,1,0,1,0.0,0.05273447434892732,0.0,0.05273447434892732,0,1,0.0,-0.05273447434892732,SHORT,0.0,0.05273447434892732,0.0,1.0,0.0,0.7,164702217.40215418,0.0,0.0,0.065,0.13538297652420112
ARKK,6568.233818168929,5433.850734474671,1,1,24004.1691052872,2,90.0,0.480355,0.790909,0.169802,2,0,0,0.0,0.0,6568.233818168929,5433.850734474671,1,1,0.0,1134.383083694258,LONG,6568.233818168929,5433.850734474671,1.0,1.0,1.208762282794639,1.0,787183774.7776676,8e-06,7e-06,0.2881451566552198,0.29305197724906756
ASTS,0.0,21492.333932119458,0,2,30134.241617493728,2,73.0,0.191194,,0.191194,2,0,0,0.0,0.0,0.0,12850.426246745188,0,2,0.0,-21492.333932119458,SHORT,0.0,10746.166966059729,0.0,0.597907,0.0,1.0,1142455282.8959007,0.0,1.9e-05,0.115,0.29893400347472
AVGO,133492.23626387934,38620.463922730574,4,4,210733.1641093405,8,80.875,0.120806,0.065681,0.17593,8,0,0,0.0,0.0,67655.37398658645,15062.580358176934,4,4,0.0,94871.77234114877,LONG,33373.059065969836,9655.115980682644,0.506811,0.390016,3.4565156061036015,1.0,9252010792.059778,1.4e-05,4e-06,0.32370966066020557,0.2920078461910073
BA,42107.88987991187,43204.66523422736,10,7,96806.06364587319,17,68.235294,4.834135,2.803661,7.734813,17,5,1,11490.754741625857,608.2551735913714,23881.60019523642,41387.59980608446,10,7,0.0,-1096.7753543154904,SHORT,4210.788987991187,6172.095033461052,0.567153,0.957943,0.9746144230404403,1.0,1440513031.847644,2.9e-05,3e-05,0.4878644991495475,0.3728570434378322
BRKB,0.0,222085.51542500948,0,5,444171.03085001896,5,71.8,1.091648,,1.091648,5,0,2,0.0,203640.66878315012,0.0,196124.75433368288,0,5,0.0,-222085.51542500948,SHORT,0.0,44417.103085001894,0.0,0.883105,0.0,1.0,,0.0,0.0,0.115,0.3647870478608897
CAH,0.0,11763.593994133567,0,1,23527.187988267135,1,35.0,41.916667,,41.916667,1,0,1,0.0,11763.593994133567,0.0,11763.593994133567,0,1,0.0,-11763.593994133567,SHORT,0.0,11763.593994133567,0.0,1.0,0.0,1.0,381146444.2290329,0.0,3.1e-05,0.115,0.3547645267263656
CDE,4775.765797258004,0.0,2,0,4775.765797258004,2,57.5,0.086359,0.086359,,2,0,0,0.0,0.0,4773.62978997002,0.0,2,0,0.0,4775.765797258004,LONG,2387.882898629002,0.0,0.999553,0.0,99.0,1.0,362152239.70116854,1.3e-05,0.0,0.29227780728091135,0.115
