ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score
AA,0.0,22947.96976980357,0,1,45895.93953960714,1,49.0,1.264706,,1.264706,1,0,0,0.0,0.0,0.0,22947.96976980357,0,1,0.0,0.0,33755.0,-22947.96976980357,SHORT,0.0,22947.96976980357,0.0,0.0,0.0,1.0,15197169139.0,0.0,2e-06,0.05,0.1614460559881492
AAPL,0.0,155497.98111178575,0,3,310995.9622235715,3,83.0,0.472803,,0.472803,3,0,0,0.0,0.0,0.0,52238.32298079488,0,3,1.9767031604164187,0.0,156053.0,-155497.98111178575,SHORT,0.0,51832.66037059525,0.0,0.664058,0.0,1.0,3712713494600.0,0.0,0.0,0.13565713695137815,0.2977045478907798
ABVX,22477.741973569377,26000.289001402598,2,3,96938.80309343271,5,59.8,0.481236,0.417877,0.607955,5,0,1,0.0,24304.79136317912,18229.27379309653,24304.79136317912,2,3,27.733365926458383,94410.0,141485.0,-3522.5470278332214,SHORT,11238.870986784688,8666.763000467532,0.189008,0.065211,0.8645189279379473,1.0,8598166386.0,1.1e-05,1.6e-05,0.26716971404358564,0.2986783170739742
ADBE,169738.95730393392,151375.45785939437,6,4,472286.888299384,10,80.3,0.348591,0.426235,0.232125,10,0,1,0.0,1141.2505894845153,93254.89238462939,58105.324699121724,6,4,17.586028743999936,635007.0,237563.5,18363.499444539542,LONG,28289.82621732232,37843.86446484859,0.450598,0.616151,1.1213109423695125,1.0,97363696000.0,7e-06,2e-06,0.3632945976665529,0.355273114092648
ADMA,1112518.6968722544,0.0,3,0,1112518.6968722544,3,60.666667,745.720988,745.720988,,3,2,0,1079607.3204797124,0.0,865902.323916266,0.0,3,0,32.803469159204205,2329138.0,0.0,1112518.6968722544,LONG,370839.5656240848,0.0,0.221674,0.0,99.0,1.0,1974339569.0,0.00118,0.0,0.7903576666666667,0.18
AFRM,0.0,48.63596898470912,0,5,97.27193796941825,5,52.0,0.113258,,0.113258,5,0,0,0.0,0.0,0.0,13.673703304883457,0,5,1.490431600810098,0.0,228002.5,-48.63596898470912,SHORT,0.0,9.727193796941824,0.0,0.718856,0.0,1.0,12822173063.0,0.0,1.8e-05,0.11458536936843758,0.26904777037852184
ALAB,0.0,37670.54371041434,0,1,75341.08742082868,1,112.0,0.516129,,0.516129,1,0,1,0.0,37670.54371041434,0.0,37670.54371041434,0,1,0.0,0.0,60242.5,-37670.54371041434,SHORT,0.0,37670.54371041434,0.0,0.0,0.0,0.7,19337218613.0,0.0,3e-06,0.02857142857142857,0.13132773579192664
AMD,575343.6803636298,83340.39154656138,3,2,742024.4634567526,5,84.2,1.001714,1.64042,0.043656,5,0,0,0.0,0.0,496599.9690532507,56499.261152941464,3,2,4.70604661152515,929366.0,116827.5,492003.28881706845,LONG,191781.2267878766,41670.19577328069,0.136864,0.322066,6.903539444522425,1.0,332228817478.0,3e-06,0.0,0.43319389808421965,0.2954117914244286
AMZN,782132.9607795414,519920.9230056454,5,7,1689521.8847383633,12,61.583333,1.823319,0.330906,2.889328,12,1,1,233143.96004565895,136821.52596921177,331882.4304984597,136821.52596921177,5,7,1.5748040548572446,1171937.0,807982.5,262212.037773896,LONG,156426.5921559083,74274.41757223506,0.57567,0.736842,1.5043306129287066,1.0,2227925477360.0,1e-06,0.0,0.35805871932444616,0.5093095948544133
AON,0.0,58545.04070754345,0,1,58545.04070754345,1,112.0,0.646018,,0.646018,1,0,0,0.0,0.0,0.0,58545.04070754345,0,1,0.0,0.0,65696.0,-58545.04070754345,SHORT,0.0,58545.04070754345,0.0,0.0,0.0,0.7,69369178170.0,0.0,1e-06,0.02857142857142857,0.13737531204971506
APP,68682.31594647505,5272.21731335257,2,2,145022.96890709872,4,105.25,0.157453,0.112971,0.201935,4,0,0,0.0,0.0,50235.89779100877,2886.0976125565103,2,2,17.93661360673624,91225.0,117065.0,63410.09863312248,LONG,34341.157973237525,2636.108656676285,0.268576,0.452584,13.02721641851299,0.7,120128854700.0,1e-06,1e-06,0.26229643118837975,0.19708933333333334
ARKK,36811.13386527442,0.0,1,0,36811.13386527442,1,83.0,0.112291,0.112291,,1,0,0,0.0,0.0,36811.13386527442,0.0,1,0,0.0,59000.0,0.0,36811.13386527442,LONG,36811.13386527442,0.0,0.0,0.0,99.0,1.0,5723514000.0,1e-05,0.0,0.1624103111253285,0.05
ASTS,176651.92914076857,78226.89282396951,1,2,333105.71478870756,3,55.666667,0.604458,0.148219,0.832578,3,0,1,0.0,45188.722331382756,176651.92914076857,45188.722331382756,1,2,2.685717338343196,259050.0,102465.0,98425.03631679906,LONG,176651.92914076857,39113.446411984754,0.0,0.422338,2.2581994856715135,1.0,25711090247.0,1e-05,4e-06,0.34256858183487127,0.3295458262124562
AVGO,13722.91223794711,369990.3743549061,1,6,753703.6609477593,7,63.285714,0.252324,0.177272,0.264833,7,0,2,0.0,177023.78715345246,13722.91223794711,107402.19883824677,1,6,26.29573713114036,181125.0,643969.5,-356267.462116959,SHORT,13722.91223794711,61665.062392484346,0.0,0.709716,0.03708991689817225,1.0,1464977356152.0,0.0,0.0,0.2210512953130364,0.4173719458774646
AXP,0.0,74820.37087057796,0,3,74820.37087057796,3,50.666667,10.307966,,10.307966,3,0,0,0.0,0.0,0.0,74633.66526655447,0,3,13905.328974459168,0.0,599025.0,-74820.37087057796,SHORT,0.0,24940.123623525986,0.0,0.002495,0.0,1.0,205565366957.0,0.0,3e-06,0.18,0.42918555578280154
B,42720.29088838422,64.9849391062552,3,3,42786.837456504174,6,65.5,1.452191,0.310135,2.594246,6,1,1,1.5616290136967914,0.9667870013866062,42717.6534028503,39.7352227299741,3,3,8281.549919051215,243425.0,466363.0,42655.305949277965,LONG,14240.09696279474,21.661646368751732,6.2e-05,0.388547,99.0,1.0,62792507605.0,4e-06,7e-06,0.27243306226032293,0.3865489435430672
BA,1.4067289921834356,90576.1535152261,3,7,180902.64100819276,10,86.0,0.553036,0.25203,0.682038,10,0,4,0.0,90293.25184005401,0.8617750218421389,85540.97065105503,3,7,43739.38836823108,258009.0,1384672.0,-90574.74678623393,SHORT,0.4689096640611452,12939.450502175157,0.387391,0.055591,1.5530897897391508e-05,1.0,152640061579.0,2e-06,9e-06,0.2307998140148066,0.3874768578559097
BE,131881.68482253823,90447.41873502385,4,4,281896.26077582594,8,66.75,0.332479,0.515637,0.149321,8,2,0,86319.01321266123,0.0,55484.23411001049,66359.07033012906,4,4,1.494661244801848,1580489.5,412433.5,41434.26608751438,LONG,32970.42120563456,22611.854683755962,0.579288,0.266324,1.4581033562594068,1.0,37458797667.0,4.2e-05,1.1e-05,0.4163095087350063,0.2625544547757845
BIDU,0.00017108702653972086,0.0,1,0,0.0003421740530794417,1,119.0,4.307692,4.307692,,1,0,0,0.0,0.0,0.00017108702653972086,0.0,1,0,0.0,36510.5,0.0,0.00017108702653972086,LONG,0.00017108702653972086,0.0,0.0,0.0,99.0,0.7,30197686770.0,1e-06,0.0,0.17857142857142858,0.02857142857142857
BKNG,0.0,95.34502563785836,0,1,190.6900512757167,1,51.0,14.0,,14.0,1,0,0,0.0,0.0,0.0,95.34502563785836,0,1,0.0,0.0,37500.0,-95.34502563785836,SHORT,0.0,95.34502563785836,0.0,0.0,0.0,1.0,133463878441.0,0.0,0.0,0.05,0.2
BMNR,33379.18580048294,2521.374290047886,1,1,71801.12018106165,2,66.5,0.209593,0.111763,0.307424,2,0,0,0.0,0.0,33379.18580048294,2521.374290047886,1,1,13.238488998731324,54184.5,52920.0,30857.811510435055,LONG,33379.18580048294,2521.374290047886,0.0,0.0,13.238488998731324,1.0,8856171921.0,6e-06,6e-06,0.2748762470271626,0.19768105974564493
BROS,0.0,55265.38868922918,0,2,55265.905698240334,2,85.0,0.339976,,0.339976,2,0,1,0.0,0.5170090111532303,0.0,55264.87168021803,0,2,53446.719968134865,0.0,104325.0,-55265.38868922918,SHORT,0.0,27632.69434461459,0.0,9e-06,0.0,1.0,6101142060.0,0.0,1.7e-05,0.18,0.3291566153660805
