ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score
AA,4832.288312598405,25.532719474614208,2,2,4900.6728715299405,4,63.25,0.444858,0.834962,0.054754,4,0,0,0.0,0.0,4814.969192616099,13.638823778547962,2,2,94.96848616933289,103083.0,104005.0,4806.755593123791,LONG,2416.1441562992027,12.766359737307104,0.003584,0.46583,99.0,1.0,18576956234.0,6e-06,6e-06,0.0013006135805375461,6.872148255343251e-06,0.23111211307897828,0.23714510736469255
AAL,0.0,142416.0503523223,0,1,142416.0503523223,1,62.0,0.397184,,0.397184,1,0,0,0.0,0.0,0.0,142416.0503523223,0,1,0.0,0.0,145515.0,-142416.0503523223,SHORT,0.0,142416.0503523223,0.0,0.0,0.0,1.0,8101937111.0,0.0,1.8e-05,0.0,0.17578024662640743,0.05,0.16570904403923475
ACMR,0.00018801523703785281,0.00023588970803345612,1,3,0.000659794653104765,4,36.0,0.740043,0.120273,0.946634,4,1,0,0.00018801523703785281,0.0,0.00018801523703785281,0.0002342124097484026,1,3,195.6837559497407,51870.0,123032.5,-4.78744709956033e-05,SHORT,0.00018801523703785281,7.86299026778187e-05,0.0,0.007111,0.7970472243375142,1.0,2907199948.0,1.8e-05,4.2e-05,6.467227586709245e-10,2.7046609825344804e-10,0.24942506767675093,0.3581383424226826
AFRM,11428.05180057652,7.45556399228938,3,1,11442.9629285611,4,54.75,4.554717,1.739623,13.0,4,0,0,0.0,0.0,11377.839842264437,7.45556399228938,3,1,252.7641023593204,331324.0,29000.0,11420.596236584232,LONG,3809.3506001921737,7.45556399228938,0.004394,0.0,99.0,1.0,17626467325.0,1.9e-05,2e-06,0.0021611537524534423,4.229755092056927e-06,0.3410571220858005,0.33360521877671134
ALB,46169.26967817805,2565.2001372393415,3,4,51250.279472198,7,58.857143,2.353362,1.460949,3.022672,7,2,1,11357.20064863525,11.532982888071917,34812.0690295428,2504.2766738925416,3,4,1036.6550074030433,587868.0,267130.0,43604.069540938704,LONG,15389.756559392683,641.3000343098354,0.24599,0.02375,17.99831093407988,1.0,25410217576.0,2.3e-05,1.1e-05,0.006056522937421968,0.00025237880486137377,0.3722559410118424,0.41704702861686005
AMZN,842723.1542041175,416343.8067033687,5,4,1627313.6805473757,9,63.111111,0.400307,0.265389,0.568954,9,0,0,0.0,0.0,340320.41242068214,241707.74620160979,5,4,2.4634687427130064,900450.0,561813.0,426379.34750074876,LONG,168544.6308408235,104085.95167584218,0.596166,0.419452,2.0241039752142393,1.0,2680509741239.0,0.0,0.0,0.0006287782814134369,0.00038830656003410383,0.24552407408899218,0.22370555218423027
ARKK,219906.9119004873,3080.3945654786917,3,4,222987.306465966,7,48.857143,0.715466,0.448058,0.916022,7,0,1,0.0,276.39227382718474,159176.94296513795,1506.6039009048188,3,4,143.50053832081645,315164.0,511003.0,216826.5173350086,LONG,73302.3039668291,770.0986413696729,0.276162,0.510906,71.38920265765171,1.0,5723514000.0,5.5e-05,8.9e-05,0.1280722017397513,0.001345499707644068,0.4192470970628012,0.5161111439387104
AVAV,1.3084713285169554e-06,5.955962273731809e-09,2,5,1.3144272934436944e-06,7,66.428571,0.810193,0.513043,0.869623,7,0,0,0.0,0.0,1.2991900292786617e-06,5.955399987655186e-09,2,5,8574448.808562526,215608.0,629626.5,1.3025153662432237e-06,LONG,6.542356642584777e-07,1.1911924547463618e-09,0.007093,9.4e-05,99.0,1.0,10086167246.0,2.1e-05,6.2e-05,6.486464563810762e-13,1.1810159654240993e-15,0.26022790903158044,0.42840225205819266
B,81859.34591955168,0.0,1,0,81859.34591955168,1,62.0,0.15957,0.15957,,1,1,0,81859.34591955168,0.0,81859.34591955168,0.0,1,0,0.0,82500.0,0.0,81859.34591955168,LONG,81859.34591955168,0.0,0.0,0.0,99.0,1.0,71035280748.0,1e-06,0.0,0.011523759047275452,0.0,0.06492347835549851,0.05
BA,101842.79504236062,34901.50444965203,4,7,209556.46318738576,11,54.090909,2.344847,0.696268,3.286893,11,2,3,101742.85334564644,27017.55553911148,56798.187498209896,26543.949140362594,4,7,146.10633037773934,948890.0,412252.5,66941.2905927086,LONG,25460.698760590156,4985.929207093147,0.442295,0.239461,2.91800587534203,1.0,171896772372.0,6e-06,2e-06,0.001481162118942578,0.00029005368386459,0.2989067826027878,0.46106671877671135
BIDU,0.0,156465.48766818648,0,1,312930.97533637297,1,91.0,1.99661,,1.99661,1,0,0,0.0,0.0,0.0,156465.48766818648,0,1,0.0,0.0,157827.0,-156465.48766818648,SHORT,0.0,156465.48766818648,0.0,0.0,0.0,0.7,34351894977.0,0.0,5e-06,0.0,0.04554784758539421,0.02857142857142857,0.14739542315306334
BMNR,401663.63174424664,0.0,2,0,401663.63174424664,2,62.0,0.237866,0.237866,,2,0,0,0.0,0.0,300244.19900668634,0.0,2,0,0.33778981600008107,419000.0,0.0,401663.63174424664,LONG,200831.81587212332,0.0,0.252498,0.0,99.0,1.0,12064390698.0,3.5e-05,0.0,0.16646660482026385,0.0,0.25084405002383586,0.06463755869333684
