ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier
AAL,8011.545609507672,27342.18333301779,1,2,35353.728942525464,3,71.666667,1.116903,2.115489,0.61761,3,0,0,0.0,0.0,8011.545609507672,19105.213429408286,1,2,117408.0,473902.0,3076.3727274678663,14672.070866877668,0,0,-19330.637723510117,SHORT,8011.545609507672,13671.091666508895,0.0,0.301255,0.29301045611208065,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,8438692443.0,1.4e-05,5.6e-05,0.0,2e-06,0.383992,0.536609,0.0,0.0,0.009493823437247495,0.016200485749245708,0.22314168590977962,0.28716745850505393,0.5139,0.0189,1.0985,0.0,0.0,0.6,0.0,1.8453,0.047,0.08,0.1556,0.0,0.6,0.1438,0.6421748023988,0.7089420484437089,3,3
AAPL,215893.5752222161,153071.20046784842,4,6,461579.19972560584,10,73.6,0.390602,0.149233,0.551515,10,1,2,42293.89917555949,67154.87549756483,60646.49382239435,53614.127315348225,4,6,2217364.0,1966274.0,115003.78019470337,55220.70341232234,3,1,62822.37475436769,LONG,53973.39380555403,25511.866744641404,0.719091,0.649744,1.410412765839405,1.0,0.75,0.16666666666666666,0.4423076923076923,-0.14102564102564105,31-90,0.25,0,0.0,3967284462200.0,1e-06,0.0,0.0,0.0,0.532687,0.346708,0.0,0.0,0.00013604619058655518,6.430561505663793e-05,0.1658874523809524,0.21054822634920634,0.0,0.0,0.0,0.4667,0.15,0.6,0.4422,0.0,0.0,0.035,0.7778,0.3,0.6,0.3927,0.5359694867941658,0.4724043124933975,3,3
AG,24259.924356602038,202.1355119830543,4,1,24476.602447031986,5,92.0,0.151906,0.166912,0.091883,5,0,0,0.0,0.0,23501.50888455891,202.1355119830543,4,1,612876.0,54858.0,3943.7318863714654,68.40670435919552,0,0,24057.788844618983,LONG,6064.981089150509,202.1355119830543,0.031262,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,10558516313.0,5.8e-05,5e-06,0.0,0.0,0.162917,0.33842,0.0,0.0,0.005744160362458409,0.00019144310241219997,0.2712083405861439,0.050772253511635425,1.8994,0.0031,0.0,0.4667,0.0,0.3429,0.0,0.1649,0.0,0.0,0.0,0.0,0.3429,0.0,0.7535817859212651,0.5388570553937357,3,3
AI,30.462776123230178,1.8181162421267855e-15,1,2,30.46277612323018,3,34.666667,26.384663,2.625199,38.264394,3,0,0,0.0,0.0,30.462776123230178,1.8073423271282393e-15,1,2,90758.0,68209.0,6.918756856841611,2.2826866717291574e-16,0,0,30.462776123230174,LONG,30.462776123230178,9.090581210633928e-16,0.0,0.005926,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,1310150965.0,6.9e-05,5.2e-05,0.0,0.0,0.227122,0.125552,0.0,0.0,0.00023251348078982774,6.938575365346486e-21,0.42302402060631944,0.4190639685588233,2.1851,0.0,1.4451,0.0,0.0,0.6,0.0,1.7351,0.0,1.7,0.1556,0.0,0.6,0.0,0.7433387874189258,0.6888896651820066,3,3
ALB,2670.3091671839743,148.36443136081442,2,4,2964.1814143762654,6,56.666667,2.740778,2.17699,3.022672,6,1,1,656.8706244822125,0.6670374070400045,2013.4385427017617,144.8407784244369,2,4,486498.0,267130.0,598.8183838044646,36.05698946986883,0,0,2521.94473582316,LONG,1335.1545835919871,37.091107840203605,0.24599,0.02375,17.998310934040006,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.5,0,0.0,23304287755.0,2.1e-05,1.1e-05,0.0,0.0,0.224251,0.241316,0.0,0.0,0.000572922286932166,1.5916001480133458e-05,0.2917086477083793,0.3317412198622244,0.7669,0.0,1.1404,0.1556,0.15,0.6,0.1043,0.4007,0.0,1.7,0.4667,0.15,0.6,0.0,0.736468636193843,0.6895391665095735,3,3
ALK,0.0,15.712061582977698,0,1,31.424123165955397,1,30.0,0.780612,,0.780612,1,0,0,0.0,0.0,0.0,15.712061582977698,0,1,0.0,69315.0,0.0,7.979131732053549,0,0,-15.712061582977698,SHORT,0.0,15.712061582977698,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,5204721830.0,0.0,1.3e-05,0.0,0.0,0.0,0.507835,0.0,0.0,0.0,3.018809092238787e-05,0.06,0.12673628179154595,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4765,0.0,0.1908,0.0,0.0,0.6,0.0,0.34237864145599123,0.5950378337984844,3,3
AMD,5983.186011500409,23625.611855676187,1,3,40496.65983422988,4,69.25,0.557355,1.221374,0.336016,4,0,0,0.0,0.0,5983.186011500409,9959.929838229302,1,3,61717.5,277512.5,3559.735454831449,6831.920314777342,1,1,-17642.425844175777,SHORT,5983.186011500409,7875.203951892062,0.0,0.578427,0.2532499919176872,1.0,1.0,0.3333333333333333,0.6923076923076923,0.025641025641025605,31-90,0.0,0,0.0,453890074583.0,0.0,1e-06,0.0,0.0,0.594957,0.309094,0.0,0.0,0.00013182015528753982,0.0001735046521809759,0.10905343199999999,0.12528446825396827,0.0,0.0,0.4905,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.3111,0.0,0.6,0.3417,0.540862859412632,0.55956330118481,3,3
ANET,1894.9317424368096,5.774220307873732,4,1,2298.1083217265245,5,38.0,54.147847,66.484809,4.8,5,2,0,409.023481363016,0.0,1474.9382724340542,5.774220307873732,4,1,628380.5,391950.0,595.414135852088,3.0465712110276617,0,0,1889.1575221289359,LONG,473.7329356092024,5.774220307873732,0.22164,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,206361220302.0,3e-06,2e-06,0.0,0.0,0.307546,0.527616,0.0,0.0,2.2956490319058804e-05,2.798113085115232e-07,0.3236785444820719,0.23418205378098517,0.0832,0.0,1.7,0.4667,0.3,0.6,0.0869,0.0418,0.0,1.7,0.0,0.0,0.6,0.0,0.6051926751026276,0.5058689142638241,3,3
APG,0.0,2.1481543134446922e-07,0,3,4.2963086268893845e-07,3,104.0,0.080187,,0.080187,3,0,0,0.0,0.0,0.0,1.0840317046499834e-07,0,3,0.0,285600.0,0.0,1.0010948049053361e-07,0,0,-2.1481543134446922e-07,SHORT,0.0,7.160514378148974e-08,0.0,0.495366,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,20170572067.0,0.0,1.4e-05,0.0,0.0,0.0,0.466026,0.0,0.0,0.0,3.549980810838732e-14,0.03428571428571428,0.14503181201621407,0.0,0.0,0.0,0.0,0.0,0.3429,0.0,0.5139,0.0,0.0,0.3111,0.0,0.3429,0.2824,0.34237864145599123,0.5637293538320874,3,3
APLD,8248.62283447392,3209.520870240198,3,1,18163.49971892034,4,64.5,6.521841,8.557223,0.415695,4,0,0,0.0,0.0,4752.787690507897,3209.520870240198,3,1,181537.0,30350.0,2641.1389709876744,1047.8800572628945,0,1,5039.101964233721,LONG,2749.5409448246396,3209.520870240198,0.423808,0.0,2.57004804391772,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,9010313565.0,2e-05,3e-06,0.0,0.0,0.224904,0.326491,0.0,0.0,0.003051548567083236,0.0035620523604277003,0.3574075344442726,0.06832330638683377,0.7317,0.0,1.7,0.3111,0.0,0.6,0.2313,0.0832,0.0,0.0,0.0,0.0,0.6,0.0,0.7868691721074249,0.5283079753284988,3,3
