ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
AAOI,0.014212322360004925,0.0,1,0,0.02842464472000985,1,31.0,8.568966,8.568966,,1,0,0,0.0,0.0,0.014212322360004925,0.0,1,0,363340.0,0.0,0.0006286520469618007,0.0,0,0,0.014212322360004925,LONG,0.014212322360004925,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,11988195406.0,3e-05,0.0,0.0,0.0,0.044233,0.0,0.0,0.0,1.185526418170642e-08,0.0,0.25778366883639,0.0930952799266999,0.2778,0.0,1.7,0.0,0.0,0.6,0.0,0.331,0.0,0.0,0.0,0.0,0.6,0.0,0.337143410833306,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,726680.0,0.0,0.0,0.0
ALAB,0.00479361992416641,0.0,1,0,0.00958723984833282,1,32.0,23.857143,23.857143,,1,1,0,0.00479361992416641,0.0,0.00479361992416641,0.0,1,0,1616352.5,0.0,0.0030318884561564776,0.0,0,0,0.00479361992416641,LONG,0.00479361992416641,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,29625834247.0,5.5e-05,0.0,0.0,0.0,0.632484,0.0,0.0,0.0,1.6180539876786173e-09,0.0,0.30278474340193173,0.09576646705292514,0.5778,0.0,1.7,0.0,0.15,0.6,0.0,0.3577,0.0,0.0,0.0,0.0,0.6,0.0,0.42680460591398445,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,3232705.0,0.0,0.0,0.0
AMZN,283.0049560030767,34.16144049976291,1,1,317.16639650283963,2,77.0,1.230225,1.240876,1.219573,2,0,0,0.0,0.0,283.0049560030767,34.16144049976291,1,1,1262404.0,3392080.0,80.03982499017668,15.892663306809611,0,0,248.8435155033138,LONG,283.0049560030767,34.16144049976291,0.0,0.0,8.284339063659825,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,2689741773187.0,0.0,1e-06,0.0,0.0,0.282821,0.465222,0.0,0.0,1.0521640360581976e-06,1.270063945926154e-07,0.13279282715133828,0.1394020892010793,0.2241,0.0,0.5038,0.0,0.0,0.6,0.0,0.3047,0.0,0.4893,0.0,0.0,0.6,0.0,0.11037956800000001,0.108930964,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,512469.0,2496549.0,1262404.0,3392080.0,2042237.0,1340000.0
ARM,0.0,3.838682253141581e-07,0,2,3.838682253141581e-07,2,33.5,61.809942,,61.809942,2,0,0,0.0,0.0,0.0,3.8385236457251993e-07,0,2,0.0,1831076.0,0.0,2.085469718283202e-07,0,0,-3.838682253141581e-07,SHORT,0.0,1.9193411265707905e-07,0.0,4.1e-05,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,176152535537.0,0.0,1e-05,0.0,0.0,0.0,0.543278,0.0,0.0,0.0,1.0895904056786296e-14,0.10448483296777653,0.2984772821269406,0.4448,0.0,0.0,0.0,0.0,0.6,0.0,0.5292,0.0,1.7,0.1556,0.0,0.6,0.0,0.06,0.28178867959068515,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1314762.0,0.0,0.0,1831076.0,0.0,756571.0
BE,0.05552377718775771,0.13656591720958322,1,1,0.19208969439734092,2,31.0,48.572188,3.644377,93.5,2,0,0,0.0,0.0,0.05552377718775771,0.13656591720958322,1,1,1240016.0,3601170.0,0.01781442173988425,0.11139090660940079,0,0,-0.08104214002182551,SHORT,0.05552377718775771,0.13656591720958322,0.0,0.0,0.40657126113353154,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,58314751970.0,2.1e-05,6.2e-05,0.0,0.0,0.320843,0.815657,0.0,0.0,9.521394726384482e-09,2.341875984996721e-08,0.25201436305426583,0.25399768911389886,0.2201,0.0,1.7,0.0,0.0,0.6,0.0,0.24,0.0,1.7,0.0,0.0,0.6,0.0,0.3066899150099666,0.4305541849208368,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,732667.0,1240016.0,3601170.0,0.0,1832985.0
BMNR,9.347578812079719e-11,9.27930116786965e-10,1,1,1.949336021694727e-09,2,54.5,2.353044,2.471394,2.234694,2,0,0,0.0,0.0,9.347578812079719e-11,9.27930116786965e-10,1,1,662067.0,346580.0,2.1101578248915545e-11,5.526117242653894e-10,0,0,-8.344543286661679e-10,SHORT,9.347578812079719e-11,9.27930116786965e-10,0.0,0.0,0.10073580588640108,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,12338581396.0,5.4e-05,2.8e-05,0.0,0.0,0.225744,0.595532,0.0,0.0,7.575894271856955e-17,7.52055756659179e-16,0.2201750678609781,0.19429801780201994,0.2612,0.0,1.3405,0.0,0.0,0.6,0.0,0.1634,0.0,1.1796,0.0,0.0,0.6,0.0,0.37311197715606575,0.2785214628626524,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,677552.0,662067.0,693160.0,0.0,0.0
CAR,0.0,285.5475654582565,0,3,571.095130916513,3,62.0,6.931373,,6.931373,3,0,1,0.0,87.96316303369332,0.0,105.6128025508998,0,3,0.0,951765.0,0.0,143.052226199135,0,0,-285.5475654582565,SHORT,0.0,95.18252181941882,0.0,0.630139,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,17412837877.0,0.0,5.5e-05,0.0,0.0,0.0,0.500975,0.0,0.0,0.0,5.466226843192633e-05,0.15707279198315238,0.4193164770791802,0.9707,0.0,0.0,0.0,0.0,0.6,0.0,1.0534,0.0,1.7,0.3111,0.15,0.6,0.3787,0.06,0.49578278845366697,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1903530.0,0.0,0.0
CHTR,0.0,1.2609370103929901e-17,0,1,1.2609370103929901e-17,1,78.0,6.980132,,6.980132,1,0,0,0.0,0.0,0.0,1.2609370103929901e-17,0,1,0.0,1518000.0,0.0,7.317896457237756e-18,0,0,-1.2609370103929901e-17,SHORT,0.0,1.2609370103929901e-17,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,29963557124.0,0.0,5.1e-05,0.0,0.0,0.0,0.580354,0.0,0.0,0.0,4.2082353746411956e-24,0.12136165019602838,0.4206641932077337,0.6136,0.0,0.0,0.0,0.0,0.6,0.0,1.9066,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.4007065874826821,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,1518000.0,0.0,0.0
CIEN,0.14282471461500343,6.530439419244893e-07,2,1,0.2856500822739488,3,32.333333,17.44329,22.028571,8.272727,3,1,0,0.07644359488148303,0.0,0.07644359488148303,6.530439419244893e-07,2,1,2399167.5,752400.0,0.08755470474453667,2.902743668095411e-07,0,0,0.1428240615710615,LONG,0.07141235730750171,6.530439419244893e-07,0.464773,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,71749803813.0,3.3e-05,1e-05,0.0,0.0,0.613022,0.444494,0.0,0.0,9.952968999556045e-09,9.101682614025035e-14,0.3321393414102093,0.286613709281595,0.4553,0.0,1.7,0.1556,0.15,0.6,0.2606,0.5661,0.0,1.7,0.0,0.0,0.6,0.0,0.4034384415944401,0.2662331240351296,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,4798335.0,752400.0,1500000.0,0.0
CIFR,0.0,607922.4966871974,0,1,607922.4966871974,1,59.0,2.148952,,2.148952,1,0,0,0.0,0.0,0.0,607922.4966871974,0,1,0.0,823890.0,0.0,228432.63527136875,0,0,-607922.4966871974,SHORT,0.0,607922.4966871974,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7847162914.0,0.0,0.000105,0.0,2.9e-05,0.0,0.375759,0.0,0.0,0.0,0.7747035499959003,0.09487162596901258,0.37141375165876905,0.3487,0.0,0.0,0.0,0.0,0.6,0.0,0.2929,1.7,1.1213,0.0,0.0,0.6,0.0,0.06,0.6321287360000001,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,823890.0,0.0,0.0
