ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
ALAB,1478.582795414763,0.0,1,0,2957.165590829526,1,52.0,2.082902,2.082902,,1,0,0,0.0,0.0,1478.582795414763,0.0,1,0,312000.0,0.0,199.10919658572428,0.0,0,0,1478.582795414763,LONG,1478.582795414763,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,31202020545.0,1e-05,0.0,,,,,0.0,0.0,0.134662,0.0,0.0,0.0,0.0004738740535351965,0.0,0.23327986110505944,0.12581961831949837,0.6564,0.0,1.0764,0.0,0.0,0.6,0.0,0.6582,0.0,0.0,0.0,0.0,0.6,0.0,0.2038704600351296,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,624000.0,0.0,0.0,0.0
AMAT,0.0,1.323393066112729e-17,0,1,1.323393066112729e-17,1,35.0,6.151515,,6.151515,1,0,0,0.0,0.0,0.0,1.323393066112729e-17,0,1,0.0,989139.0,0.0,5.931359418411741e-18,0,0,-1.323393066112729e-17,SHORT,0.0,1.323393066112729e-17,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,302452656412.0,0.0,3e-06,,,,,0.0,0.0,0.0,0.448193,0.0,0.0,0.0,4.375537916618617e-25,0.07133493607915456,0.24090356052880457,0.1133,0.0,0.0,0.0,0.0,0.6,0.0,0.109,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.23832330638683377,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,1106420.0,0.0,0.0,989139.0,0.0,0.0
AMD,2438.9045113489487,0.0,1,0,4877.8090226978975,1,52.0,2.120944,2.120944,,1,0,0,0.0,0.0,2438.9045113489487,0.0,1,0,551117.5,0.0,1108.4830250868415,0.0,0,0,2438.9045113489487,LONG,2438.9045113489487,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,526965088566.0,1e-06,0.0,,,,,0.0,0.0,0.4545,0.0,0.0,0.0,4.628208897074757e-05,0.0,0.19756664618316022,0.09264178395825423,0.2734,0.0,1.1022,0.0,0.0,0.6,0.0,0.3264,0.0,0.0,0.0,0.0,0.6,0.0,0.17022419200000002,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,1418584.0,14798532.0,1102235.0,0.0,0.0,0.0
AMZN,5563425.194530391,1504326.095556145,5,2,8572077.385642681,7,37.0,11.754986,8.549858,19.767806,7,1,0,778375.277168921,0.0,1389821.7294735645,801436.1496993396,5,2,5656111.0,1519638.0,2924397.2058164417,789915.4862121455,5,2,4059099.098974246,LONG,1112685.0389060783,752163.0477780725,0.750186,0.467246,3.6982840429113266,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,31-90,0.2,0,0.0,2787858949939.0,2e-06,1e-06,,,,,1e-06,0.0,0.525647,0.525096,0.0,0.0,0.0039911812573244585,0.002697995347987495,0.394064681305899,0.31134350378254394,0.404,0.0,1.7,0.6222,0.15,0.6,0.4644,0.3956,0.0,1.7,0.1556,0.0,0.6,0.2623,0.35784613314606456,0.27178741269841267,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,727950.0,0.0,5656111.0,3039276.0,0.0,0.0
ANET,0.0002269745188077131,0.0,4,0,0.0002269745188077131,4,43.75,2.430199,2.430199,,4,1,0,3.983146688183545e-21,0.0,0.00022697451880771252,0.0,4,0,3368262.0,0.0,4.5816704653310335e-05,0.0,0,0,0.0002269745188077131,LONG,5.674362970192828e-05,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.25,0,0.0,207693150483.0,1.6e-05,0.0,,,,,0.0,0.0,0.201858,0.0,0.0,0.0,2.732089602857309e-12,0.0,0.36162900007449716,0.10087706031272305,1.0871,0.0,1.3125,0.4667,0.15,0.6,0.0,0.4088,0.0,0.0,0.0,0.0,0.6,0.0,0.31169711714062515,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,3368262.0,0.0,0.0,0.0
APH,0.0,0.0031978867240923686,0,2,0.0031978867240923686,2,75.5,15.995671,,15.995671,2,0,0,0.0,0.0,0.0,0.0031978867235593856,0,2,0.0,1311000.0,0.0,0.0017001229619360593,0,0,-0.0031978867240923686,SHORT,0.0,0.0015989433620461843,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,176662769740.0,0.0,7e-06,2326635.0,894624.0,0.0,1.465420109453804,0.0,0.0,0.0,0.53164,0.0,0.0,0.0,9.050822447759638e-11,0.12050549687758141,0.37578162222324946,0.6051,0.0,0.0,0.0,0.0,0.6,0.0,1.3023,0.0,1.7,0.1556,0.0,0.6,0.0,0.06,0.2700512951321802,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,1311000.0,830760.0,0.0
ARM,0.02844670721816865,0.06737142942759507,1,1,0.19163627329152744,2,70.5,2.27412,1.643478,2.904762,2,0,1,0.0,0.06737142942759507,0.02844670721816865,0.06737142942759507,1,1,281293.0,1033907.5,0.0035217089386682123,0.050224440670138634,0,0,-0.038924722209426416,SHORT,0.02844670721816865,0.06737142942759507,0.0,0.0,0.42223695503953484,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,209876454054.0,1e-06,5e-06,,,,,0.0,0.0,0.1238,0.745486,0.0,0.0,1.3554025079368586e-09,3.210051824596807e-09,0.1910966231699526,0.30145344795502954,0.5334,0.0,0.7776,0.0,0.0,0.6,0.0,0.6293,0.0,1.6352,0.0,0.15,0.6,0.0,0.137756504,0.25501035522592114,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,562586.0,2067815.0,0.0,2470102.0
BE,0.03269024622118783,0.0,1,0,0.06538049244237566,1,56.0,1.207569,1.207569,,1,1,0,0.03269024622118783,0.0,0.03269024622118783,0.0,1,0,602020.5,0.0,0.0002459206351012884,0.0,0,0,0.03269024622118783,LONG,0.03269024622118783,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,64389558399.0,9e-06,0.0,,,,,0.0,0.0,0.007523,0.0,0.0,0.0,5.076948349081321e-09,0.0,0.15211594325744066,0.06872715766628823,0.29,0.0,0.4811,0.0,0.15,0.6,0.0,0.0873,0.0,0.0,0.0,0.0,0.6,0.0,0.15547130484441535,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,1237012.0,0.0,1204041.0,0.0,0.0,0.0
BIDU,0.0,5.225996723434537e-19,0,1,5.225996723434537e-19,1,99.0,2.751269,,2.751269,1,0,0,0.0,0.0,0.0,5.225996723434537e-19,0,1,0.0,632375.0,0.0,1.495859528853944e-19,0,0,-5.225996723434537e-19,SHORT,0.0,5.225996723434537e-19,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,34552461907.0,0.0,1.8e-05,,,,,0.0,0.0,0.0,0.286234,0.0,0.0,0.0,1.512481726338522e-25,0.07270916260295299,0.2448643420865304,0.3842,0.0,0.0,0.0,0.0,0.3429,0.0,0.5749,0.0,1.5309,0.0,0.0,0.3429,0.0,0.03428571428571428,0.2534050847907454,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,632375.0,826000.0,0.0
BTDR,0.0,3.848894108255995e-12,0,1,3.848894108255995e-12,1,31.0,1538.615385,,1538.615385,1,0,0,0.0,0.0,0.0,3.848894108255995e-12,0,1,0.0,3433092.0,0.0,2.185897648269129e-12,0,0,-3.848894108255995e-12,SHORT,0.0,3.848894108255995e-12,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,2173189513.0,0.0,0.00158,,,,,0.0,0.0,0.0,0.567929,0.0,0.0,0.0,1.771080748012056e-17,0.14772322252640058,0.5114994530821066,0.8772,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.52,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,3433092.0,0.0,0.0
