ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium
AAL,0.0,5.191596612225594e-26,0,1,5.191596612225594e-26,1,42.0,2.564457,,2.564457,1,0,1,0.0,5.191596612225594e-26,0.0,5.191596612225594e-26,0,1,0.0,1148836.0,0.0,3.4550877977346605e-27,0,1,-5.191596612225594e-26,SHORT,0.0,5.191596612225594e-26,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,9484262865.0,0.0,0.000121,,,,,0.0,0.0,0.0,0.066552,0.0,0.0,0.0,5.473906286786152e-32,0.11583879627883559,0.31653348456922226,0.3208,0.0,0.2376,0.0,0.0,0.6,0.0,0.7652,0.0,1.6502,0.0,0.15,0.6,0.0,0.06,0.505383076,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.7091669285516993,1,-1.8063231407949814,1,0.0,0.0,0.0,1148836.0,0.0,0.0
AAPL,0.23297789105577388,0.14177634478897694,6,7,0.5165306293871282,13,45.615385,41.252184,28.046062,52.571717,13,3,2,0.20572212373817306,1.504973502356257e-08,0.11469239751445512,0.031034808739145013,6,7,6710371.5,5557925.5,0.12311498877333962,0.07340695746287669,2,5,0.09120154626679694,LONG,0.03882964850929565,0.02025376354128242,0.507711,0.7811,1.6432775961500725,1.0,0.3333333333333333,0.7142857142857143,0.025641025641025605,0.4065934065934066,31-90,0.5,0,0.0,4498884016360.0,1e-06,1e-06,,,,,0.0,0.0,0.528441,0.517766,0.0,0.0,8.630951224368818e-11,4.501952810437093e-11,0.4012879280103712,0.41672736364317353,0.2437,0.0,1.6502,0.7778,0.45,0.6,0.2912,0.1973,0.0,1.6502,0.9333,0.3,0.6,0.4865,0.38189999206349207,0.40198333333333336,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.1788799325599695,1,679800.0,3845045.0,9365405.0,11115851.0,8824452.0,1042440.0
ADBE,20998.110267985634,60175.46391375945,1,4,129392.50608603071,5,64.4,13.772379,61.0,1.965474,5,0,0,0.0,0.0,20998.110267985634,32954.64227745945,1,4,359765.0,2206415.0,2131.5066403453843,20795.00827415519,1,1,-39177.353645773816,SHORT,20998.110267985634,15043.865978439862,0.0,0.452357,0.3489480413159607,1.0,0.0,0.25,-0.3076923076923077,-0.05769230769230771,31-90,0.0,0,0.0,110762926000.0,3e-06,2e-05,,,,,0.0,0.0,0.101509,0.261929,0.0,0.0,0.0018957706361048673,0.0013582040960564603,0.23979602775703068,0.30933669125060564,0.1478,0.0,1.6502,0.0,0.0,0.6,0.0,0.1248,0.0,1.6502,0.4667,0.0,0.6,0.2517,0.23832330638683377,0.3046545362855424,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.1319106875093676,1,0.0,0.0,719530.0,3529950.0,0.0,0.0
AKAM,3.837243789775344e-09,5.730948753466625e-11,1,1,3.951862764844677e-09,2,75.0,5.618389,8.797753,2.439024,2,0,0,0.0,0.0,3.837243789775344e-09,5.730948753466625e-11,1,1,958130.0,358750.0,2.089582431466178e-09,2.460162580669862e-11,1,0,3.779934302240678e-09,LONG,3.837243789775344e-09,5.730948753466625e-11,0.0,0.0,66.95651897871556,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,22390813309.0,4.3e-05,1.6e-05,,,,,0.0,0.0,0.544553,0.429277,0.0,0.0,1.7137581099981582e-15,2.5595089711024777e-17,0.3399164217768732,0.3178823352815082,1.149,0.0,1.6502,0.0,0.0,0.6,0.0,0.9287,0.0,1.6502,0.0,0.0,0.6,0.0,0.37760020180814297,0.25063055047395844,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.271474575128847,1,-1.7981444738545251,1,0.0,0.0,958130.0,717500.0,1712948.0,0.0
ALAB,0.0,37759.24542849232,0,1,75518.49085698464,1,46.0,2.935673,,2.935673,1,0,1,0.0,37759.24542849232,0.0,37759.24542849232,0,1,0.0,750000.0,0.0,5498.239937976106,0,1,-37759.24542849232,SHORT,0.0,37759.24542849232,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,54865967195.0,0.0,1.4e-05,,,,,0.0,0.0,0.0,0.145613,0.0,0.0,0.0,0.006882088726202819,0.1391358773896782,0.3093233052629413,0.6269,0.0,0.1645,0.0,0.0,0.6,0.0,0.6851,0.0079,1.6502,0.0,0.15,0.6,0.0,0.06,0.2928145376591765,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.9366138262385284,1,0.0,1618458.0,0.0,1500000.0,0.0,0.0
ALNY,0.0,433204.62743979105,0,1,866409.2548795821,1,45.0,,,,1,0,0,0.0,0.0,0.0,433204.62743979105,0,1,0.0,688000.0,0.0,354302.49938712065,0,1,-433204.62743979105,SHORT,0.0,433204.62743979105,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,39470321956.0,0.0,1.7e-05,3364791.0,146652.0,0.0,4.691378228731964,0.0,9e-06,0.0,0.817864,0.0,0.0,0.0,0.10975452085815539,0.18354131572198307,0.4222583236529852,0.8259,0.0,0.4095,0.0,0.0,0.6,0.0,2.767,0.4209,0.4347,0.0,0.0,0.6,0.0,0.06,0.16450955369681353,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,3.5,1,0.0,0.0,0.0,1376000.0,0.0,0.0
AMKR,0.0,4.067203353499618e-25,0,2,4.192091716672008e-25,2,73.5,2.008538,,2.008538,2,0,0,0.0,0.0,0.0,3.942314990327228e-25,0,2,0.0,928020.0,0.0,1.776800647449112e-25,0,1,-4.067203353499618e-25,SHORT,0.0,2.033601676749809e-25,0.0,0.030706,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,18032725685.0,0.0,5.1e-05,12907448.0,463907.0,0.0,2.0004440545195483,0.0,0.0,0.0,0.438892,0.0,0.0,0.0,1.1277283935181255e-31,0.13346488316979238,0.3162098508185846,0.6179,0.0,0.1168,0.0,0.0,0.6,0.0,0.7564,0.0,1.6502,0.1556,0.0,0.6,0.0,0.06,0.3488427270382377,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,0.21397609790720878,1,0.0,0.0,0.0,1299720.0,1212959.0,0.0
ANET,2.9452914565918003e-27,6.096125719144091e-10,1,1,1.2192251438288183e-09,2,64.5,22.571912,43.862573,1.28125,2,0,1,0.0,6.096125719144091e-10,2.9452914565918003e-27,6.096125719144091e-10,1,1,1582529.5,278390.0,1.151130100048161e-28,2.1497302661991912e-10,0,1,-6.096125719144091e-10,SHORT,2.9452914565918003e-27,6.096125719144091e-10,0.0,0.0,4.831415217278894e-18,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,214920698573.0,7e-06,1e-06,,,,,0.0,0.0,0.039084,0.352639,0.0,0.0,1.3704084697972457e-34,2.836453519656452e-17,0.2675239632801648,0.28902802837185293,0.4251,0.0,1.6502,0.0,0.0,0.6,0.0,0.4901,0.0,1.6502,0.0,0.15,0.6,0.0,0.25449573957662464,0.128125,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.261509214029163,1,0.0,1952882.0,3165059.0,556780.0,0.0,0.0
APTV,0.0,3.874456029860911e-18,0,1,7.748912059721822e-18,1,99.0,15.541667,,15.541667,1,0,0,0.0,0.0,0.0,3.874456029860911e-18,0,1,0.0,318915.0,0.0,2.386360113665124e-18,0,1,-3.874456029860911e-18,SHORT,0.0,3.874456029860911e-18,0.0,0.0,0.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,1.0,14517168152.0,0.0,2.2e-05,4568342.0,99772.0,0.0,3.196437878362667,0.0,0.0,0.0,0.615921,0.0,0.0,0.0,2.668878660971586e-24,0.2300007057278837,0.34430263505798364,1.45,0.0,0.5071,0.0,0.0,0.3429,0.0,1.45,0.0,1.6502,0.0,0.0,0.3429,0.0,0.03428571428571428,0.284469270624112,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.7977256868354792,1,1.2322563026701618,1,0.0,0.0,0.0,637830.0,0.0,0.0
ARM,0.0,458306.11312652566,0,1,458306.11312652566,1,45.0,1.506667,,1.506667,1,0,0,0.0,0.0,0.0,458306.11312652566,0,1,0.0,541450.0,0.0,253120.54574158014,0,1,-458306.11312652566,SHORT,0.0,458306.11312652566,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,435038989780.0,0.0,1e-06,,,,,0.0,1e-06,0.0,0.552296,0.0,0.0,0.0,0.0105348284611982,0.15046819380548315,0.2926860756450128,0.6132,0.0,0.2915,0.0,0.0,0.6,0.0,0.6534,0.0233,1.6502,0.0,0.0,0.6,0.0,0.06,0.13078474999576226,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.284258962642109,1,0.0,0.0,0.0,541450.0,1333662.0,0.0
BA,0.013101370712457086,0.0,2,0,0.02620274142491417,2,43.0,1.412089,1.412089,,2,1,0,1.1630780761665012e-17,0.0,0.013101370712457074,0.0,2,0,1351184.5,0.0,0.008059602697935372,0.0,1,0,0.013101370712457086,LONG,0.006550685356228543,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,176816212843.0,8e-06,0.0,,,,,0.0,0.0,0.615172,0.0,0.0,0.0,3.7047990401451913e-10,0.0,0.27491948946978134,0.09117729494830107,0.1935,0.0,1.6502,0.1556,0.15,0.6,0.0,0.2398,0.0,0.072,0.0,0.0,0.6,0.0,0.18102198049199256,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-3.5,1,0.0,618210.0,2702369.0,0.0,0.0,0.0
