ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,77234.98422902288,0,3,77234.98422902288,3,61.0,74.28,,74.28,3,0,1,0.0,44127.15497643463,0.0,44127.15497643463,0,3,-77234.98422902288,SHORT,0.0,25744.994743007628,0.0,0.57,0.0,1.0,0.05,10.0,0.8593993288254329
CMG,0.0,110840.99927138483,0,3,110840.99927138483,3,54.0,37.62,,37.62,3,0,2,0.0,110454.04036791631,0.0,91215.89439793608,0,3,-110840.99927138483,SHORT,0.0,36946.99975712828,0.0,0.82,0.0,1.0,0.05,9.661710837146197,0.8358441377884018
SPY,304058.2530836245,341206.66646405275,2,3,645264.9195476773,5,51.8,0.84,0.77,0.88,5,1,2,121170.58433720058,204714.2706062295,182887.66874642394,136492.39585782323,2,3,-37148.41338042822,SHORT,152029.12654181226,113735.55548801758,0.6,0.4,0.8911263552808047,1.0,0.6457955181147129,8.505011620698985,0.7553027725671544
XLU,0.0,19903.32973769583,0,2,19903.32973769583,2,43.0,0.66,,0.66,2,0,2,0.0,19903.32973769583,0.0,19656.89445781994,0,2,-19903.32973769583,SHORT,0.0,9951.664868847914,0.0,0.99,0.0,1.0,0.05,6.843227589347122,0.6395921775526244
QQQ,0.0,482826.22687856166,0,2,482826.22687856166,2,90.0,0.14,,0.14,2,0,0,0.0,0.0,0.0,318100.122253002,0,2,-482826.22687856166,SHORT,0.0,241413.11343928083,0.0,0.66,0.0,1.0,0.05,6.753967289098892,0.6333769520732364
IWM,0.0,151772.25353652932,0,1,151772.25353652932,1,56.0,0.52,,0.52,1,0,1,0.0,151772.25353652932,0.0,151772.25353652932,0,1,-151772.25353652932,SHORT,0.0,151772.25353652932,0.0,1.0,0.0,1.0,0.05,6.551156998321242,0.619255201606143
HOOD,6.54083006981074,47606.992941722565,1,3,47613.533771792376,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,6.54083006981074,46685.736733139354,1,3,-47600.452111652754,SHORT,6.54083006981074,15868.997647240854,1.0,0.98,0.00013739221206047618,1.0,0.21448044010270795,6.47068830246265,0.6136521385713716
CIA,0.0,102553.92853851143,0,1,102553.92853851143,1,56.0,0.22,,0.22,1,0,0,0.0,0.0,0.0,102553.92853851143,0,1,-102553.92853851143,SHORT,0.0,102553.92853851143,0.0,1.0,0.0,1.0,0.05,5.624301994881572,0.5547179681769874
ORCL,58629.31197042877,98446.7121832211,1,1,157076.02415364987,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,58629.31197042877,98446.7121832211,1,1,-39817.40021279233,SHORT,58629.31197042877,98446.7121832211,1.0,1.0,0.5955436262951332,1.0,0.5328003483735938,5.597168568623526,0.5528286583522038
LEU,0.0,71125.15054065544,0,1,71125.15054065544,1,90.0,0.77,,0.77,1,0,0,0.0,0.0,0.0,71125.15054065544,0,1,-71125.15054065544,SHORT,0.0,71125.15054065544,0.0,1.0,0.0,1.0,0.05,5.461494479554654,0.5433816247557609
WFC,0.0,71322.20541877537,0,1,71322.20541877537,1,90.0,0.24,,0.24,1,0,0,0.0,0.0,0.0,71322.20541877537,0,1,-71322.20541877537,SHORT,0.0,71322.20541877537,0.0,1.0,0.0,1.0,0.05,5.442391746443667,0.542051494863444
PLTR,0.0,48189.253846148546,0,1,48189.253846148546,1,56.0,0.11,,0.11,1,0,0,0.0,0.0,0.0,48189.253846148546,0,1,-48189.253846148546,SHORT,0.0,48189.253846148546,0.0,1.0,0.0,1.0,0.05,5.2401500109323536,0.5279693330955588
QCOM,0.0,39952.424764075266,0,1,39952.424764075266,1,56.0,0.12,,0.12,1,0,0,0.0,0.0,0.0,39952.424764075266,0,1,-39952.424764075266,SHORT,0.0,39952.424764075266,0.0,1.0,0.0,1.0,0.05,5.146250233061384,0.5214310591898075
TLT,0.0,36754.27127864277,0,1,36754.27127864277,1,119.0,0.14,,0.14,1,0,1,0.0,36754.27127864277,0.0,36754.27127864277,0,1,-36754.27127864277,SHORT,0.0,36754.27127864277,0.0,1.0,0.0,0.7,0.0,5.105055630354772,0.5185626648012229
HIMS,0.0,40657.373729195744,0,1,40657.373729195744,1,119.0,0.63,,0.63,1,0,0,0.0,0.0,0.0,40657.373729195744,0,1,-40657.373729195744,SHORT,0.0,40657.373729195744,0.0,1.0,0.0,0.7,0.0,4.456691490988889,0.47341684624917013
CRM,2470.924608055827,518.2679335634907,1,3,2989.1925416193176,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2470.924608055827,220.00094681043436,1,3,1952.6566744923362,LONG,2470.924608055827,172.7559778544969,1.0,0.42,4.767658672351807,1.0,0.4228422793528014,4.126275870172488,0.4504098926586613
ALAB,0.0,603.1953176159063,0,2,603.1953176159063,2,44.0,1.65,,1.65,2,0,0,0.0,0.0,0.0,469.78758431824065,0,2,-603.1953176159063,SHORT,0.0,301.59765880795317,0.0,0.78,0.0,1.0,0.05,3.536899869001393,0.4093714385056789
U,0.0,134.44701502212848,0,1,134.44701502212848,1,30.0,0.7,,0.7,1,0,0,0.0,0.0,0.0,134.44701502212848,0,1,-134.44701502212848,SHORT,0.0,134.44701502212848,0.0,1.0,0.0,1.0,0.05,2.308083765237601,0.323808549557784
HPQ,0.0,1.1840921952825907,0,1,1.1840921952825907,1,32.0,1.0,,1.0,1,0,0,0.0,0.0,0.0,1.1840921952825907,0,1,-1.1840921952825907,SHORT,0.0,1.1840921952825907,0.0,1.0,0.0,1.0,0.05,0.24354745671366398,0.1800541746321388
