ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw
XLI,0.0,68520.53914460912,0,3,68520.53914460912,3,61.0,74.277197,,74.277197,3,0,1,0.0,39148.275617396015,0.0,39148.275617396015,0,3,-68520.53914460912,SHORT,0.0,22840.179714869708,0.0,0.571336,0.0,1.0,2496668852.120533,0.0,2.7e-05,0.05,10.0,0.6012782112162635
CIA,0.0,90982.73981670522,0,1,90982.73981670522,1,56.0,0.217389,,0.217389,1,0,0,0.0,0.0,0.0,90982.73981670522,0,1,-90982.73981670522,SHORT,0.0,90982.73981670522,0.0,1.0,0.0,1.0,713209.6161285877,0.0,0.127568,0.05,9.750187042847497,0.5901232776590702
CMG,0.0,98334.77801823075,0,3,98334.77801823075,3,54.0,37.623958,,37.623958,3,0,2,0.0,97991.47979713127,0.0,80923.97927046724,0,3,-98334.77801823075,SHORT,0.0,32778.25933941025,0.0,0.822944,0.0,1.0,561417946.5549946,0.0,0.000175,0.05,9.29791560822786,0.5699279368708874
SPY,269751.2745115445,302708.2219182516,2,3,572459.4964297961,5,51.8,0.837898,0.770209,0.883025,5,1,2,107498.87308363541,181616.30163527926,162252.4014279091,121091.9202829723,2,3,-32956.9474067071,SHORT,134875.63725577225,100902.7406394172,0.601489,0.400029,0.8911263552808045,1.0,58829483394.85289,5e-06,5e-06,0.3471239599585202,6.907613399043251,0.46319343186765327
XLU,0.0,17657.631421997165,0,2,17657.631421997165,2,43.0,0.662192,,0.662192,2,0,2,0.0,17657.631421997165,0.0,17439.00150435159,0,2,-17657.631421997165,SHORT,0.0,8828.815710998582,0.0,0.987618,0.0,1.0,1352190484.837553,0.0,1.3e-05,0.05,5.766245413722583,0.41222776465133215
HOOD,5.802826365675471,42235.482482232925,1,3,42241.2853085986,4,54.25,0.430927,0.957845,0.255288,4,0,0,0.0,0.0,5.802826365675471,41418.17187185904,1,3,-42229.67965586725,SHORT,5.802826365675471,14078.494160744309,1.0,0.980649,0.00013739221206047613,1.0,1916649833.3274515,0.0,2.2e-05,0.16541818616422768,4.7423295850422695,0.36650670531446694
IWM,0.0,134647.7473042253,0,1,134647.7473042253,1,56.0,0.517895,,0.517895,1,0,1,0.0,134647.7473042253,0.0,134647.7473042253,0,1,-134647.7473042253,SHORT,0.0,134647.7473042253,0.0,1.0,0.0,1.0,12309687908.195473,0.0,1.1e-05,0.05,4.277454121612731,0.3457485550326133
QQQ,0.0,428348.80733288854,0,2,428348.80733288854,2,90.0,0.135121,,0.135121,2,0,0,0.0,0.0,0.0,282208.79561662755,0,2,-428348.80733288854,SHORT,0.0,214174.40366644427,0.0,0.658829,0.0,1.0,41537768904.985,0.0,1e-05,0.05,3.999315597337793,0.3333287958922231
CRM,2192.1294866536045,459.7916162425832,1,3,2651.9211028961877,4,44.0,6.823191,0.934653,8.786037,4,0,0,0.0,0.0,2192.1294866536045,195.1781778458733,1,3,1732.3378704110214,LONG,2192.1294866536045,153.26387208086106,1.0,0.424493,4.767658672351804,1.0,2818850071.0199037,1e-06,0.0,0.23697420890055304,3.397517233162227,0.3064566078210978
ORCL,52014.15014184291,87338.94184280346,1,1,139353.09198464637,2,49.0,0.320032,0.592157,0.047907,2,0,0,0.0,0.0,52014.15014184291,87338.94184280346,1,1,-35324.791700960544,SHORT,52014.15014184291,87338.94184280346,1.0,1.0,0.5955436262951331,1.0,4574635010.135596,1.1e-05,1.9e-05,0.2746151482858831,3.011329812708742,0.2892121259299818
