ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
PL,0.0,149664.24174649207,0,2,220410.80555521054,2,77.0,46.4,,46.4,2,0,0,0.0,0.0,0.0,78917.67793777361,0,2,0.0,-149664.24174649207,SHORT,0.0,74832.12087324604,0.0,0.527298,0.0,1.0,450368303.3952622,0.0,0.000332,0.115,10.0,0.5824210082223427,"bearish_rejection_wick, confirmation_volume, gamma_headwind, pullback_to_resistance, put_wall_clear, room_to_target, short_dated_noise","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned"
GLNG,44543.64779171728,38443.16254160183,4,8,121429.97287492093,12,87.166667,7.421904,20.516249,0.874732,12,1,4,15861.063308461373,22346.938971159063,15861.063308461373,6634.1946409152815,4,8,0.0,6100.485250115453,LONG,11135.91194792932,4805.395317700229,0.356079,0.172572,1.1586884336977668,1.0,156350828.99401626,0.000285,0.000246,0.5665361991788738,8.18718571434123,0.5310941802252356,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
NEXT,0.0,11703.203416359584,0,3,23070.530187506472,3,77.666667,0.563543,,0.563543,3,0,0,0.0,0.0,0.0,11190.304800587792,0,3,0.0,-11703.203416359584,SHORT,0.0,3901.0678054531945,0.0,0.956175,0.0,1.0,38463487.04565468,0.0,0.000304,0.115,8.026712564725724,0.5265506493111045,"bearish_rejection_wick, confirmation_volume, gamma_headwind, pullback_to_resistance, room_to_target, short_dated_noise","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned"
DAL,6344.567382633676,95391.86564192073,2,15,150917.9018995721,17,90.235294,0.46918,1.325973,0.35494,17,1,9,1942.722155248492,60624.369452697196,4401.845227385184,21853.837892466276,2,15,0.0,-89047.29825928705,SHORT,3172.283691316838,6359.4577094613815,0.693798,0.229095,0.06651057026654382,0.7,912619354.7164516,7e-06,0.000105,0.24572788041768467,6.833430640479188,0.4927648519669481,"bounce_and_fail, gamma_tailwind, not_extended, put_wall_clear, room_to_target, short_dated_noise, trend_aligned","bearish_rejection_wick, bearish_strong_close, confirmation_volume, flag_breakdown, healthy_pullback_volume, pullback_to_resistance, structural_breakdown"
SHLS,0.0,5663.590218226369,0,1,11327.180436452738,1,119.0,109.6,,109.6,1,0,1,0.0,5663.590218226369,0.0,5663.590218226369,0,1,0.0,-5663.590218226369,SHORT,0.0,5663.590218226369,0.0,1.0,0.0,0.7,41367499.18826029,0.0,0.000137,0.065,3.9795371574083287,0.4119615942441572,"healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, short_dated_noise, strong_trend, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, pullback_to_resistance, structural_breakdown"
AEM,17.21761615776488,49757.87949027542,1,3,57854.017920137245,4,58.5,0.968474,1.378049,0.831949,4,1,1,17.21761615776488,8061.703197546288,17.21761615776488,41638.627121119986,1,3,0.0,-49740.66187411766,SHORT,17.21761615776488,16585.959830091808,1.0,0.836825,0.0003460279323424515,1.0,477319582.55250853,0.0,0.000104,0.23175428784373342,3.577479012628953,0.4005779851203865,"bounce_and_fail, confirmation_volume, put_wall_clear, room_to_target, swing_dte_dominant","bearish_rejection_wick, bearish_strong_close, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, structural_breakdown, trend_aligned"
CVI,5651.954022055725,54.12182528971977,2,2,5755.693052609722,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,54.12182528971977,5650.442819272317,49.61720526427767,2,2,0.0,5597.832196766005,LONG,2825.9770110278623,27.060912644859886,0.999733,0.916769,99.0,1.0,55581414.24045944,0.000102,1e-06,0.37331294902538464,3.3585349048734012,0.3943789460634621,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
GDX,0.0,138123.13512198077,0,2,152065.45901845684,2,73.0,0.507416,,0.507416,2,0,1,0.0,13942.323896476073,0.0,124180.81122550469,0,2,0.0,-138123.13512198077,SHORT,0.0,69061.56756099038,0.0,0.899059,0.0,1.0,2279809350.173809,0.0,6.1e-05,0.115,2.9283600807664887,0.3821992598262711,"bounce_and_fail, confirmation_volume, gamma_tailwind, put_wall_clear, strong_trend, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown"
LYV,25616.132038364827,32251.796758606826,2,7,90119.72555557848,9,87.111111,5.128924,0.328579,6.500451,9,1,3,11549.768490898341,20748.04611642462,14066.363547466486,7163.353402047459,2,7,0.0,-6635.664720241999,SHORT,12808.066019182414,4607.399536943833,0.549121,0.222107,0.7942544172063474,1.0,496934926.70155334,5.2e-05,6.5e-05,0.3442480158818777,2.873299151852823,0.3806403010018234,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
MRVL,227.20019277915816,26599.287877406434,5,9,26914.15197004605,14,67.428571,0.232834,0.176902,0.263908,14,0,2,0.0,72.72969452286037,156.53008039646292,26064.159625021326,5,9,0.0,-26372.087684627277,SHORT,45.440038555831634,2955.476430822937,0.688952,0.979882,0.008541589302176135,1.0,1927089128.4081802,0.0,1.4e-05,0.25498234379401574,2.6993039222274575,0.37571391483311944,"bearish_rejection_wick, bounce_and_fail, confirmation_volume, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, room_to_target, swing_dte_dominant","bearish_strong_close, flag_breakdown, pullback_to_resistance, structural_breakdown, trend_aligned"
