ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
CVI,1718.9428491847698,16.460205480007335,2,2,1750.493258840667,4,44.0,140.179816,2.583055,277.776578,4,0,2,0.0,16.460205480007335,1718.4832433196,15.090204175889886,2,2,955.7590727809779,124595.0,284664.0,1702.4826437047625,LONG,859.4714245923849,8.230102740003668,0.000267,0.083231,99.0,1.0,55581414.24045944,0.002242,0.005122,0.5082431121387032,6.183333333333334,0.6183333333333334,"confirmation_volume, near_term_oi_dominant, pullback_to_resistance, put_wall_clear, room_to_target","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned"
PL,0.0,45517.75848226403,0,2,67034.08708098093,2,77.0,46.4,,46.4,2,0,0,0.0,0.0,0.0,24001.42988354713,0,2,1.7929205637424328,0.0,1854073.0,-45517.75848226403,SHORT,0.0,22758.879241132014,0.0,0.472702,0.0,1.0,450368303.3952622,0.0,0.004117,0.12769322442883876,6.145946815410613,0.6145946815410613,"bearish_rejection_wick, confirmation_volume, gamma_headwind, gamma_tailwind, near_term_oi_dominant, pullback_to_resistance, put_wall_clear, room_to_target","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned"
RVMD,33.41073497736155,3273.5293267315433,2,7,3309.648847846453,9,59.333333,8.290608,18.651656,5.330308,9,0,0,0.0,0.0,32.306673725695525,3270.1356835099486,2,7,87.2336937139748,4136170.0,558484.0,-3240.1185917541816,SHORT,16.705367488680775,467.64704667593475,0.033045,0.001037,0.010206334400162687,1.0,227620338.6020096,0.018171,0.002454,0.5933333333333333,6.066155877825912,0.6066155877825912,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
CRM,9675.33523189348,9239.640144551902,3,8,37633.12842153286,11,59.272727,2.639979,0.38381,3.486042,11,1,2,7980.292064416868,4128.350013147738,7980.292064416868,3771.7703604533062,3,8,180.89762753110392,1364468.0,1000417.0,435.69508734157716,LONG,3225.111743964493,1154.9550180689878,0.175192,0.591784,1.047154984450177,1.0,2818850071.0199037,0.000484,0.000355,0.30725518412279607,5.4691102908500575,0.5469110290850058,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
LYV,7790.698016878874,9808.819249984543,2,7,27408.336516847958,9,87.111111,5.128924,0.328579,6.500451,9,1,3,3512.659848203829,6310.154924687797,4278.038168675045,2178.6085057631544,2,7,1.4138646611185544,229600.0,380770.0,-2018.1212331056686,SHORT,3895.349008439437,1401.2598928549346,0.450879,0.777893,0.7942544172063474,1.0,496934926.70155334,0.000462,0.000766,0.24191714293520172,5.403184565682556,0.5403184565682556,"bearish_strong_close, confirmation_volume, flag_breakdown, healthy_pullback_volume, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target","bearish_rejection_wick, bounce_and_fail, pullback_to_resistance, structural_breakdown, trend_aligned"
DAL,1929.5890750332733,29011.76560808854,2,15,45899.03726603252,17,90.235294,0.46918,1.325973,0.35494,17,1,9,590.8449261415974,18437.840426583356,1338.7441488916759,6646.462130779115,2,15,1.3060633617905186,707150.0,1312106.0,-27082.176533055266,SHORT,964.7945375166366,1934.1177072059027,0.306202,0.770905,0.06651057026654386,0.7,912619354.7164516,0.000775,0.001438,0.2892160807095798,5.1055481616710665,0.5105548161671066,"ema_rally, gamma_tailwind, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, pullback_to_resistance, structural_breakdown"
CMG,0.10079405893207298,7298.286605122618,1,3,7298.488193240482,4,50.25,143.285276,460.269231,37.623958,4,0,2,0.0,7272.807432249027,0.10079405893207298,6006.078478494926,1,3,283.20061989864473,239300.0,477176.0,-7298.185811063686,SHORT,0.10079405893207298,2432.7622017075396,0.0,0.177056,1.38106468525539e-05,1.0,561417946.5549946,0.000426,0.00085,0.4046433970269144,5.074469337506415,0.5074469337506415,"confirmation_volume, ema_rally, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, pullback_to_resistance, room_to_target, structural_breakdown"
BA,12598.411222307257,12926.559390538083,10,7,28963.754823662803,17,68.235294,4.834135,2.803661,7.734813,17,5,1,3437.960294437401,181.9860559827234,7145.221970618286,12382.905041035685,10,7,28.25189330901616,2807267.0,717032.0,-328.14816823082583,SHORT,1259.8411222307257,1846.6513415054403,0.432847,0.042057,0.9746144230404401,1.0,1440513031.847644,0.001949,0.000498,0.7041039543501222,5.070463206350906,0.5070463206350906,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
GLNG,13547.17050941758,11691.814741072345,4,8,36930.79999156227,12,87.166667,7.421904,20.516249,0.874732,12,1,4,4823.864675500328,6796.430189584369,4823.864675500328,2017.674134219772,4,8,1.048558981276121,462206.0,352372.5,1855.3557683452345,LONG,3386.792627354395,1461.4768426340431,0.643921,0.827428,1.158688433697767,1.0,156350828.99401626,0.002956,0.002254,0.5472564443294652,5.015757964129484,0.5015757964129484,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
GPRE,13.80535463160462,0.5317794889663852,2,1,14.86891360953739,3,30.666667,81.911476,54.567214,136.6,3,0,1,0.0,0.5317794889663852,7.272023549739244,0.5317794889663852,2,1,1.2758549081967028,1129500.0,85452.5,13.273575142638235,LONG,6.90267731580231,0.5317794889663852,0.473246,0.0,25.960675276208864,1.0,23663661.675,0.047731,0.003611,0.545280807926619,4.932446931495503,0.4932446931495503,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned"
