ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bearish_score_raw,checks_passed,checks_failed
KORU,1359308.2984069854,277858.80995124293,33,3,3274334.2167164567,36,41.555556,151.930482,165.210758,25.767857,36,30,1,421840.4700173653,171823.3332640623,823101.9119361925,171823.3332640623,33,3,205896275.69623592,5266815.0,470549.0,1081449.4884557424,LONG,41191.160557787436,92619.60331708098,0.39447,0.381616,4.89208277630466,1.0,1502861134.0,0.003505,0.000313,0.27408494122243654,0.6162884994607957,0.9098927383569324,7.892820952380952,0.7892820952380952,none,none
BE,884617.784153499,4133354.712377229,7,8,5108898.24613348,15,33.266667,42.337971,0.294536,79.125976,15,0,0,0.0,0.0,185316.5174826506,3193690.6702695545,7,8,4.786958432849752,1016427.0,4631611.0,-3248736.92822373,SHORT,126373.96916478557,516669.3390471536,0.790512,0.227337,0.21401932466732962,1.0,49564453144.0,2.1e-05,9.3e-05,0.025496895688050924,0.10424191255496557,0.3829964015829025,7.046640988509758,0.7046640988509758,none,not_extended
FAS,0.023255136650791295,34278.35437357806,3,5,58516.74364722442,8,40.5,23.99323,1.150871,41.125,8,1,3,3.89030850025607e-14,10039.988355068344,0.019045917681332302,24238.366018509714,3,5,7.520826869279053e+17,326293.0,390617.0,-34278.33111844141,SHORT,0.007751712216930432,6855.670874715613,0.181002,0.292896,6.78420451499751e-07,1.0,2176924157.0,0.00015,0.000179,3.560855435410758e-08,0.03149246542499373,0.5140047838095239,6.943571864693244,0.6943571864693243,none,none
USO,441209.7350330103,99739.85456250423,3,2,621465.234376428,5,48.8,17.325133,27.597468,1.916629,5,2,2,366644.3403186551,99739.85456250423,332879.0246589144,52989.525441331505,3,2,3.242367773381912,480558.5,114199.0,341469.8804705061,LONG,147069.9116776701,49869.927281252116,0.245531,0.468723,4.423605157319698,1.0,1228364647.0,0.000391,9.3e-05,1.1972821917079328,0.40598634455206783,0.7920617380952382,6.923881776533455,0.6923881776533455,none,none
DJT,0.0,1.4912613893999676e-05,0,9,2.982522778799918e-05,9,72.777778,2.655302,,2.655302,9,0,1,0.0,7.218611855639689e-30,0.0,1.4912315754530861e-05,0,9,9.014155930929443e+21,0.0,612858.5,-1.4912613893999676e-05,SHORT,0.0,1.6569570993332974e-06,0.0,2e-05,0.0,1.0,2656620624.0,0.0,0.000231,0.0,6.237085884090077e-12,0.18,6.7848478666666665,0.6784847866666667,"confirmation_volume, ema_rally, not_extended, room_to_target, trend_aligned",momentum_aligned
TTWO,7.381779016135223e-05,8896457.38161073,1,5,8896457.385596951,6,71.666667,0.401209,0.492126,0.383026,6,0,1,0.0,2.825033516782658e-11,7.381779016135223e-05,8896457.367741346,1,5,8008478948.4651375,337500.0,10735916.5,-8896457.381536912,SHORT,7.381779016135223e-05,1779291.4763221461,0.0,0.0,8.297436495782695e-12,1.0,37286929820.0,9e-06,0.000288,1.9797229355622027e-11,0.47718905388873506,0.20789363176242706,6.400936432267149,0.6400936432267149,"ema_rally, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
SPXS,1.1580933343603927,0.00037231608512780387,4,2,1.1589048914479787,6,38.0,5.519705,8.397471,2.641939,6,4,2,1.1580933343603927,0.00037231608512780387,1.1579985991650978,0.00019523487304706741,4,2,7167.774490057704,535964.0,105101.0,1.1577210182752649,LONG,0.2895233335900982,0.00018615804256390194,8.2e-05,0.475621,99.0,1.0,403659331.0,0.001328,0.00026,7.172467260272455e-06,4.611761162630027e-09,0.67,6.236797447619047,0.6236797447619047,none,none
URA,6.460801421674626,0.057021994471853146,6,4,12.978624837821105,10,70.6,5.659064,3.722177,8.564394,10,0,0,0.0,0.0,3.6187237726451067,0.04906601594067331,6,4,876.6098765402668,434570.5,1128116.0,6.403779427202773,LONG,1.076800236945771,0.014255498617963287,0.439896,0.139525,99.0,1.0,2922340149.0,0.000149,0.000386,3.6847190335260693e-06,4.8781106548604194e-08,0.6709449523809524,6.228232142857143,0.6228232142857143,"bounce_and_fail, confirmation_volume, not_extended, room_to_target","momentum_aligned, trend_aligned"
JETS,0.006193012667834027,87188.1714913071,5,2,87188.18387733244,7,48.571429,0.563953,0.313437,1.190246,7,1,0,2.2083557564101686e-10,0.0,0.002185037382866838,87188.17149130709,5,2,92962494227722.98,242183.0,147590.0,-87188.16529829444,SHORT,0.0012386025335668054,43594.08574565355,0.647177,0.0,7.103042261244677e-08,1.0,1000450000.0,0.000242,0.000148,1.2380454131308966e-08,0.4357447723089965,0.5349174047619047,6.183496510391335,0.6183496510391335,none,none
SMH,892410.2077088011,394445.0639689553,7,7,1493392.1655563018,14,52.642857,2.406872,1.007868,3.805877,14,2,0,40828.309599247674,0.0,419068.7198627472,94371.00629926349,7,7,2.31682265332727,2162866.5,3002476.0,497965.14373984584,LONG,127487.17252982873,56349.2948527079,0.530408,0.76075,2.262444860456,1.0,50647992419.0,4.3e-05,5.9e-05,0.025171219320038324,0.011125671948957472,0.45129586130234234,5.959197075701485,0.5959197075701484,none,none
