ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier,bearish_score_raw,checks_passed,checks_failed
CAR,31754.44198262313,136936.15474350782,1,6,298812.1581160481,7,62.0,7.627851,5.352941,8.007003,7,0,2,0.0,34966.62320052754,31754.44198262313,33800.68050182234,1,6,330750.0,1446430.0,16000.49542458864,68465.66809443076,1,5,-105181.7127608847,SHORT,31754.44198262313,22822.692457251305,0.0,0.753165,0.23189231537939484,1.0,1.0,0.8333333333333334,0.6923076923076923,0.5256410256410257,31-90,0.3333,0,0.0,17412837877.0,1.9e-05,8.3e-05,1e-06,4e-06,0.503882,0.499009,0.0,0.0,0.018236224449414102,0.013106819588205658,0.3051694050391181,6.401362211404827,0.6962,0.0555,1.7,0.0,0.0,0.6,0.0,2.5229,0.0341,1.7,0.7778,0.3,0.6,0.4665,0.4582307816572665,0.7314210097110624,2,3,0.6401362211404826,none,not_extended
SPXS,1.584770531512576e-05,1845.0631806813249,1,4,3688.9681953190175,5,36.8,7.959772,9.609756,7.409777,5,1,4,1.584770531512576e-05,1845.0631806813249,1.584770531512576e-05,1843.9049987848919,1,4,69628.0,226838.5,5.803265490276357e-06,328.71914617505865,0,0,-1845.0631648336196,SHORT,1.584770531512576e-05,461.2657951703312,0.0,0.000628,8.58924804367604e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,435516020.0,0.00016,0.000521,0.0,1e-06,0.36619,0.177979,0.0,0.0,3.638834069783647e-10,0.010591247485461757,0.5349999999999999,6.290217598189638,2.9,0.0,1.7,0.0,0.15,0.6,0.0,2.9,0.0236,1.7,0.4667,0.6,0.6,0.0,0.6937649667124247,0.7701703143180746,3,3,0.6290217598189638,"confirmation_volume, momentum_aligned, pullback_to_resistance, room_to_target, trend_aligned",not_extended
DAVE,10538.222629592045,195.08686170194247,1,4,10733.309491293987,5,42.4,13.994156,1.987013,16.995941,5,0,0,0.0,0.0,10538.222629592045,110.20171000005153,1,4,208160.0,1198580.0,1414.5109841553128,65.73266207106339,0,0,10343.135767890102,LONG,10538.222629592045,48.77171542548562,0.0,0.435115,54.01810525658333,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,3070073316.0,6.8e-05,0.00039,0.0,0.0,0.134227,0.33694,0.0,0.0,0.03432563833140734,0.00015886172871281884,0.38931754785100464,5.906034523809524,2.1599,0.1221,1.0112,0.0,0.0,0.6,0.0,2.9,0.0,1.7,0.4667,0.0,0.6,0.2394,0.6361509625275424,0.7701703143180746,3,3,0.5906034523809524,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
FAS,3.1825647541354384e-07,137.79918809236355,2,5,275.46097497509476,7,43.285714,2.569189,1.292096,3.207735,7,0,2,0.0,5.211264482430489,2.606515164072881e-07,125.61517815968759,2,5,276793.0,204081.0,1.4015078342701046e-07,30.000071812480332,0,0,-137.79918777410708,SHORT,1.5912823770677192e-07,27.55983761847271,0.181002,0.088419,2.3095671303971982e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,0,0.0,2267262870.0,0.000122,9e-05,0.0,0.0,0.440371,0.217407,0.0,0.0,7.018517341430811e-13,0.00012155554604249621,0.42520394069841266,5.904494997941638,2.9,0.0,0.5386,0.1556,0.0,0.6,0.0579,2.6823,0.0,1.7,0.6222,0.3,0.6,0.0,0.6948335436793714,0.3474208559304385,3,3,0.5904494997941638,none,none
BTDR,27.056156166768247,7520.269048120668,1,3,15008.478375370049,4,46.25,384.737569,0.026152,512.974709,4,0,0,0.0,0.0,27.056156166768247,5156.62724257826,1,3,78739.0,3563113.0,11.946001573635746,1036.8771785614206,0,0,-7493.2128919539,SHORT,27.056156166768247,2506.756349373556,0.0,0.314303,0.003597764387635791,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.25,2478974586.0,3.2e-05,0.001437,0.0,0.0,0.441526,0.136181,0.0,0.0,0.0001091425314304059,0.010112069577197175,0.1736240714508556,5.685722376778096,1.1362,0.0,0.0,0.0,0.0,0.6,0.0,2.9,0.0215,1.7,0.3111,0.0,0.6,0.1531,0.32484528073439733,0.5881629792755713,3,3,0.5685722376778096,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
UVXY,33.6495191155504,1.1179453604104568,3,2,35.88540983637131,5,40.6,31.394871,2.127191,75.296392,5,0,1,0.0,1.0762430852742497,33.64951910405683,1.0762430852742497,3,2,312310.0,84766.0,0.22438784099471107,0.061206954406138686,0,0,32.53157375513994,LONG,11.216506371850132,0.5589726802052284,0.0,0.037303,30.0994308909658,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.0,0,0.0,272736161.0,0.001145,0.000311,0.0,0.0,0.006668,0.05475,0.0,0.0,0.00041125849724965997,2.0494997002074412e-05,0.49176009911111107,5.505555555555555,2.9,0.0,1.1065,0.3111,0.0,0.6,0.0,2.9,0.0,1.7,0.1556,0.15,0.6,0.0,0.6500080797195371,0.5,3,3,0.5505555555555555,none,none
RELY,4114.291938532905,5351.801788680846,3,3,13564.410676097239,6,48.0,4.571997,2.37037,5.672811,6,0,1,0.0,5351.8017855777025,2393.3101090119703,5351.8017855777025,3,3,157740.5,366900.0,2044.9090234803537,2640.795297127911,0,0,-1237.5098501479406,SHORT,1371.430646177635,1783.933929560282,0.418294,0.0,0.7687676227536498,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,4215194264.0,3.7e-05,8.7e-05,0.0,1e-06,0.497528,0.49344,0.0,0.0,0.003253540786697263,0.004232151160377177,0.370437186614433,5.3758267539091475,1.2941,0.0,1.2719,0.3111,0.0,0.6,0.2274,2.6147,0.0,1.7,0.3111,0.15,0.6,0.0,0.6915804147427161,0.7562314760362708,3,3,0.5375826753909148,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
AXSM,3.9096559972466414e-23,0.7048926693359084,2,2,1.4097853386718169,4,45.5,38.159722,22.083333,54.236111,4,0,0,0.0,0.0,2.409333954721634e-23,0.7048926693359084,2,2,138329.0,1116400.0,2.058693807544285e-23,0.13418909252212993,0,0,-0.7048926693359084,SHORT,1.9548279986233207e-23,0.3524463346679542,0.383748,0.0,5.546455747553731e-23,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,9667460088.0,1.4e-05,0.000115,0.0,0.0,0.526566,0.190368,0.0,0.0,2.0220698930526793e-29,3.645697333733375e-07,0.3172178278892299,5.355555555555556,0.5139,0.0,1.7,0.1556,0.0,0.6,0.2027,2.9,0.0,1.7,0.1556,0.0,0.6,0.0,0.6586137626619829,0.7392677809963274,3,3,0.5355555555555556,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
WSM,4.816096601574153e-19,1.8497083730729986e-14,1,3,1.84980469500503e-14,4,78.75,2.559968,0.062687,3.392395,4,0,1,0.0,1.8121048269865895e-18,4.816096601574153e-19,1.2808828719346909e-14,1,3,30510.0,1840246.0,3.0306872221235737e-19,8.611838550849424e-15,0,0,-1.8496602121069828e-14,SHORT,4.816096601574153e-19,6.165694576909996e-15,0.0,0.307522,2.603705898553602e-05,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,23647298776.0,1e-06,7.8e-05,0.0,0.0,0.629283,0.465578,0.0,0.0,2.0366371005816876e-25,2.6073568213074938e-21,0.06,5.314684165185053,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.4053,0.0,1.7,0.3111,0.15,0.6,0.1482,0.4078299369103664,0.734441802144114,3,3,0.5314684165185053,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned"
AVTX,1.1529937477272336e-06,1.0302930473074922e-06,10,7,3.3362805427619596e-06,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,1.6362631516764292e-07,9.369768970077258e-07,2.6317153685518067e-07,10,7,1385065.0,905564.0,1.1570182644284566e-07,4.4376509723000625e-07,0,0,1.2270070041974136e-07,LONG,1.1529937477272335e-07,1.4718472104392747e-07,0.187353,0.744566,1.119093010226945,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,3.506273559411517e-12,4.475912352195779e-12,0.6662394999999999,5.2554154990476185,2.9,0.0,1.7,1.4,0.0,0.6,0.0624,2.9,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.7733203466642585,0.6929889797552201,3,3,0.5255415499047619,none,none
