ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bearish_score_raw,checks_passed,checks_failed
IVZ,1401.5254261484156,1.2240012210890799e-10,5,4,1401.5254261486605,9,98.777778,225.40083,211.828862,242.365789,9,0,2,0.0,5.3659285807701594e-11,718.330580532785,5.585769330033972e-11,5,4,4317320.0,268423.5,666.8620776564696,6.93234651844867e-11,0,0,1401.5254261482933,LONG,280.30508522968313,3.0600030527226997e-11,0.487465,0.543647,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.2222,11007546407.0,0.000392,2.4e-05,0.0,0.0,0.475812,0.566368,0.0,0.0,0.0002546481067310599,2.779913833274198e-17,0.5756834610186145,5.94140905463059,2.815,0.0,1.7,0.6222,0.0,0.3429,0.2768,2.815,0.0,1.7,0.4667,0.3,0.3429,0.3169,0.5841840079365078,0.39972719372626303,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.594140905463059,none,none
SYY,5.000657400851066,17.845378195409747,5,10,40.69141379167056,15,65.866667,13.743729,11.482153,14.874516,15,2,1,5.000656509272635,1.1228242286156644e-07,5.00065528588588,17.845377475702282,5,10,1227903.0,416602.5,2.442667335739811,10.364768899298241,0,1,-12.844720794558683,SHORT,1.000131480170213,1.7845378195409747,0.0,0.0,0.28022143022653073,1.0,0.0,0.1,-0.3076923076923077,-0.2076923076923077,31-90,0.1,0,0.0,36528040599.0,3.4e-05,1.1e-05,0.0,0.0,0.488469,0.58081,0.0,0.0,2.7379828311885767e-07,4.885391579393472e-07,0.6037216753043289,5.914132915799475,2.815,0.0,1.7,0.6222,0.3,0.6,0.0,2.0641,0.0,1.7,1.4,0.15,0.6,0.0,0.44222949704643716,0.4250745531955577,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5914132915799475,none,none
NVT,0.020873260138904608,199.00600931139118,6,5,397.93368645635513,11,63.363636,5.703975,5.692527,5.717713,11,0,0,0.0,0.0,0.014571058647402142,198.90680388236157,6,5,818953.0,1104298.0,0.00871009769034715,15.699726298952672,0,0,-198.98513605125228,SHORT,0.0034788766898174346,39.80120186227823,0.301927,0.000499,0.00010488758711925899,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,21783342584.0,3.8e-05,5.1e-05,0.0,0.0,0.417285,0.078871,0.0,0.0,1.5970352926335059e-09,1.8271393248670872e-05,0.5756079633040083,5.737216753043288,2.5341,0.0,1.7,0.7778,0.0,0.6,0.1442,2.815,0.0,1.7,0.6222,0.0,0.6,0.0,0.4546938694092,0.46292880970490435,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5737216753043288,none,none
WSM,3.1965614942163768e-21,1.2276968362640756e-16,1,3,1.22776076749396e-16,4,78.75,2.559968,0.062687,3.392395,4,0,1,0.0,1.202738439992185e-20,3.1965614942163768e-21,8.501533930381396e-17,1,3,30510.0,1840246.0,2.0115414778198876e-21,5.71588856773672e-17,0,0,-1.2276648706491334e-16,SHORT,3.1965614942163768e-21,4.092322787546919e-17,0.0,0.307522,2.603705898553608e-05,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,23647298776.0,1e-06,7.8e-05,0.0,0.0,0.629283,0.465578,0.0,0.0,1.3517660196608229e-27,1.730566702908274e-23,0.14394668514076825,5.724335641932177,0.8395,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.3111,0.15,0.6,0.1482,0.06,0.5314684165185053,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5724335641932177,"confirmation_volume, momentum_aligned, not_extended, room_to_target","continuation_pattern, trend_aligned"
BTDR,0.1795783476517634,49.913871033052864,1,3,99.61495383171072,4,46.25,384.737569,0.026152,512.974709,4,0,0,0.0,0.0,0.1795783476517634,34.22580036759453,1,3,78739.0,3563113.0,0.07928854381295189,6.882008268143547,0,0,-49.7342926854011,SHORT,0.1795783476517634,16.637957011017622,0.0,0.314303,0.003597764387635793,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.25,2478974586.0,3.2e-05,0.001437,0.0,0.0,0.441526,0.136181,0.0,0.0,7.244057630357787e-07,6.711628713331884e-05,0.14796693689126827,5.5791792133607485,0.8797,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.3111,0.0,0.6,0.1531,0.1736240714508556,0.5664184682539682,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5579179213360749,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
RELY,27.307565181272427,35.521221722969315,3,3,90.03032215918932,6,48.0,4.571997,2.37037,5.672811,6,0,1,0.0,35.52122170237299,15.884986475740318,35.52122170237299,3,3,157740.5,366900.0,13.572562978691819,17.52760639840078,0,0,-8.213656541696889,SHORT,9.102521727090808,11.840407240989771,0.418294,0.0,0.7687676227536498,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.3333,0,0.0,4215194264.0,3.7e-05,8.7e-05,0.0,0.0,0.497528,0.49344,0.0,0.0,2.1594548571180177e-05,2.8089825757529478e-05,0.5225310099075033,5.576105641932177,2.815,0.0,1.2719,0.3111,0.0,0.6,0.2274,2.815,0.0,1.7,0.3111,0.15,0.6,0.0,0.370437186614433,0.5375826753909148,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5576105641932176,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
DAVE,69.9447695135996,1.2948393724912288,1,4,71.23960888609082,5,42.4,13.994156,1.987013,16.995941,5,0,0,0.0,0.0,69.9447695135996,0.7314357911089729,1,4,208160.0,1198580.0,9.388456501514275,0.4362838079701717,0,0,68.64993014110837,LONG,69.9447695135996,0.3237098431228072,0.0,0.435115,54.0181052565834,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,3070073316.0,6.8e-05,0.00039,0.0,0.0,0.134227,0.33694,0.0,0.0,0.00022782768459982794,1.054404275740779e-06,0.24207442710161414,5.32394837625736,0.8096,0.0,1.0112,0.0,0.0,0.6,0.0,2.3179,0.0,1.7,0.4667,0.0,0.6,0.2394,0.3771082255969547,0.5906034523809524,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.532394837625736,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
WCC,0.0,17.68117423161495,0,2,35.3623484632299,2,49.5,26.248208,,26.248208,2,0,0,0.0,0.0,0.0,17.68117422671779,0,2,0.0,649240.0,0.0,6.005760347015957,0,1,-17.68117423161495,SHORT,0.0,8.840587115807475,0.0,0.0,0.0,1.0,0.0,0.5,-0.3076923076923077,0.1923076923076923,31-90,0.0,0,0.0,15526070600.0,0.0,4.2e-05,0.0,0.0,0.0,0.33967,0.0,0.0,0.0,5.694027383726746e-06,0.14205699215470613,5.2705500863766215,0.8206,0.0,0.0,0.0,0.0,0.6,0.0,2.815,0.0,1.7,0.1556,0.0,0.6,0.0,0.06,0.390176973032534,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5270550086376622,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned"
AXSM,2.594934622437985e-25,0.004678545616419045,2,2,0.00935709123283809,4,45.5,38.159722,22.083333,54.236111,4,0,0,0.0,0.0,1.5991340671725526e-25,0.004678545616419045,2,2,138329.0,1116400.0,1.3664055973102368e-25,0.0008906459350501277,0,0,-0.004678545616419045,SHORT,1.2974673112189926e-25,0.0023392728082095226,0.383748,0.0,5.546455747553757e-23,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,9667460088.0,1.4e-05,0.000115,0.0,0.0,0.526566,0.190368,0.0,0.0,1.3420974065664978e-31,2.4197387803164653e-09,0.4048672903740531,5.2705500863766215,1.3904,0.0,1.7,0.1556,0.0,0.6,0.2027,2.815,0.0,1.7,0.1556,0.0,0.6,0.0,0.3172178278892299,0.5355555555555556,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5270550086376622,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
AVTX,7.652702430952983e-09,6.838307773364656e-09,10,7,2.214371263527062e-08,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,1.0860280051991505e-09,6.2189455854483315e-09,1.746734068436357e-09,10,7,1385065.0,905564.0,7.679414135854734e-10,2.9453778435818086e-09,0,0,8.143946575883266e-10,LONG,7.652702430952983e-10,9.769011104806651e-10,0.187353,0.744566,1.1190930102269467,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,2.3271998000497836e-14,2.970772860295191e-14,0.6577389530821065,5.170410029868685,2.815,0.0,1.7,1.4,0.0,0.6,0.0624,2.815,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.6662394999999999,0.5255415499047619,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5170410029868685,none,none
