ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
HTZ,0.0,174419.8889156499,0,2,174419.8889156499,2,58.0,7.349799,,7.349799,2,0,0,0.0,0.0,0.0,103173.26957843461,0,2,0.0,3020000.0,0.0,2713.4574010870783,0,0,-174419.8889156499,SHORT,0.0,87209.94445782495,0.0,0.408478,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,2,1.0,2239626061.0,0.0,0.001348,0.0,1e-06,0.0,0.015557,0.0,0.0,0.0,0.389395113659668,0.12813383760219066,6.8657440546022785,0.6813,0.0,0.0,0.0,0.0,0.6,0.0,2.815,1.3749,1.7,0.1556,0.0,0.6,0.2203,0.06,0.6950749523781212,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,3020000.0,0.0,0.0,0.6865744054602279,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned
INFQ,0.0,366350.13405344915,0,1,366350.13405344915,1,57.0,1.723404,,1.723404,1,0,0,0.0,0.0,0.0,366350.13405344915,0,1,0.0,570000.0,0.0,190824.169537282,0,0,-366350.13405344915,SHORT,0.0,366350.13405344915,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,3249243624.0,0.0,0.000175,0.0,5.9e-05,0.0,0.520879,0.0,0.0,0.0,1.1274935844990648,0.13529107787241829,5.238203903520084,0.7529,0.0,0.0,0.0,0.0,0.6,0.0,2.1063,1.7,0.8319,0.0,0.0,0.6,0.0,0.06,0.603191472,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,570000.0,0.0,0.0,0.5238203903520084,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned
MOH,0.0,1.991290379256181e-26,0,1,1.991290379256181e-26,1,49.0,93.75,,93.75,1,0,0,0.0,0.0,0.0,1.991290379256181e-26,0,1,0.0,712500.0,0.0,6.786685760356102e-27,0,0,-1.991290379256181e-26,SHORT,0.0,1.991290379256181e-26,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,7776500000.0,0.0,9.2e-05,0.0,0.0,0.0,0.340818,0.0,0.0,0.0,2.560651166020936e-32,0.10177068932831926,4.822724118067784,0.4177,0.0,0.0,0.0,0.0,0.6,0.0,2.5227,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.5026720828470521,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,712500.0,0.0,0.0,0.48227241180677843,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned
TLN,0.0,441834.71540955995,0,1,441834.71540955995,1,86.0,7.388889,,7.388889,1,0,0,0.0,0.0,0.0,441834.71540955995,0,1,0.0,528900.0,0.0,235985.96132011982,0,1,-441834.71540955995,SHORT,0.0,441834.71540955995,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,15067471608.0,0.0,3.5e-05,0.0,1.6e-05,0.0,0.534105,0.0,0.0,0.0,0.29323746339430296,0.12350972169499366,4.194893320757272,0.6351,0.0,0.0,0.0,0.0,0.6,0.0,0.8245,1.0704,1.7,0.0,0.0,0.6,0.0,0.06,0.46020394748455135,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,528900.0,0.0,0.0,0.4194893320757272,"ema_rally, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
EQNR,0.0,30272.80819001797,0,1,30272.80819001797,1,87.0,17.020833,,17.020833,1,0,0,0.0,0.0,0.0,30272.80819001797,0,1,0.0,643200.0,0.0,13090.391158608043,0,0,-30272.80819001797,SHORT,0.0,30272.80819001797,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,94135204280.0,0.0,7e-06,0.0,0.0,0.0,0.432414,0.0,0.0,0.0,0.0032158859612152284,0.10991320793060677,4.006233995651167,0.4991,0.0,0.0,0.0,0.0,0.6,0.0,1.7062,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.25449573957662464,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,643200.0,0.0,0.0,0.40062339956511667,"ema_rally, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
CAR,1185886.1212114727,451451.5612867148,1,1,3274675.364996375,2,57.0,8.893985,14.314286,3.473684,2,0,0,0.0,0.0,1185886.1212114727,451451.5612867148,1,1,1742500.0,625000.0,69431.50621000477,5631.397662044515,0,1,734434.5599247578,LONG,1185886.1212114727,451451.5612867148,0.0,0.0,2.6268291504663153,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,1,0.5,25173619768.0,6.9e-05,2.5e-05,3e-06,0.0,0.058548,0.012474,0.0,0.0,0.47108287649555186,0.17933517922622608,0.4959730120782147,3.983641795107194,1.0424,1.6174,1.7,0.0,0.0,0.6,0.0,1.0046,0.679,1.7,0.0,0.0,0.6,0.0,0.6102471649951258,0.38839854227782095,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,996670.0,3485000.0,1250000.0,0.0,0.0,0.3983641795107194,none,none
APLD,0.00022488254091869488,79765.12191606687,1,4,79765.1221409494,5,58.6,4.353322,2.480984,4.821407,5,1,0,0.00022488254091869488,0.0,0.00022488254091869488,33167.45912271287,1,4,2052975.0,2751746.0,9.221237551461515e-05,30685.61449104074,0,0,-79765.12169118432,SHORT,0.00022488254091869488,19941.280479016717,0.0,0.584186,2.8193091857281723e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,8950301961.0,0.000229,0.000307,0.0,3e-06,0.410047,0.3847,0.0,0.0,2.512569317757065e-10,0.02228000861413252,0.2666022635917441,3.810144627824648,0.569,0.0,1.3471,0.0,0.15,0.6,0.0,0.6253,0.0724,1.7,0.4667,0.0,0.6,0.3458,0.499706912,0.6084880957739871,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,2052975.0,2751746.0,0.0,0.0,0.3810144627824648,none,none
SOXX,0.0,896891.7249481177,0,1,896891.7249481177,1,57.0,2.243182,,2.243182,1,0,0,0.0,0.0,0.0,896891.7249481177,0,1,0.0,1208880.0,0.0,245442.74635337642,0,1,-896891.7249481177,SHORT,0.0,896891.7249481177,0.0,0.0,0.0,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.0,0,0.0,28011654772.0,0.0,4.3e-05,0.0,9e-06,0.0,0.273659,0.0,0.0,0.0,0.32018519871401396,0.11510501594691283,3.643797164388722,0.5511,0.0,0.0,0.0,0.0,0.6,0.0,0.7005,1.158,1.1854,0.0,0.0,0.6,0.0,0.06,0.4419317351632957,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,1539720.0,0.0,1208880.0,0.0,0.0,0.3643797164388722,none,not_extended
APH,0.0,472268.6541006187,0,1,472268.6541006187,1,86.0,13.848485,,13.848485,1,0,0,0.0,0.0,0.0,472268.6541006187,0,1,0.0,717320.0,0.0,251076.68041342907,0,0,-472268.6541006187,SHORT,0.0,472268.6541006187,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,186754624315.0,0.0,4e-06,0.0,1e-06,0.0,0.53164,0.0,0.0,0.0,0.025288190631576578,0.12216033217528378,3.3053646822588867,0.6216,0.0,0.0,0.0,0.0,0.6,0.0,0.9205,0.0848,1.7,0.0,0.0,0.6,0.0,0.06,0.25090854916350175,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,717320.0,0.0,0.0,0.33053646822588867,"bounce_and_fail, confirmation_volume, momentum_aligned, not_extended, room_to_target",trend_aligned
UUUU,0.0,2381.4414800253257,0,1,2381.4414800253257,1,88.0,31.903226,,31.903226,1,0,0,0.0,0.0,0.0,2381.4414800253257,0,1,0.0,779305.0,0.0,1365.2647440429932,0,0,-2381.4414800253257,SHORT,0.0,2381.4414800253257,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,4957755120.0,0.0,0.000157,0.0,0.0,0.0,0.573293,0.0,0.0,0.0,0.004803467340325848,0.10713129138795154,3.1445359917064932,0.4713,0.0,0.0,0.0,0.0,0.6,0.0,0.8445,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.52,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,779305.0,0.0,0.0,0.3144535991706493,"confirmation_volume, not_extended, room_to_target","continuation_pattern, momentum_aligned, trend_aligned"
