ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bearish_score_raw,checks_passed,checks_failed
APH,0.0,3181.963795448514,0,2,3181.963795448514,2,75.5,15.995671,,15.995671,2,0,0,0.0,0.0,0.0,3181.9637949181847,0,2,0.0,1311000.0,0.0,1691.6577038001976,0,0,-3181.963795448514,SHORT,0.0,1590.981897724257,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,184603498187.0,0.0,7e-06,,,,,0.0,0.0,0.0,0.53164,0.0,0.0,0.0,8.618373505103467e-05,0.1304443017457822,3.7407272168377528,0.7044,0.0,0.0,0.0,0.0,0.6,0.0,1.2852,0.0,1.7,0.1556,0.0,0.6,0.0,0.06,0.2700512951321802,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,1311000.0,830760.0,0.0,0.37407272168377526,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
DPZ,0.0,4.222080599667927e-25,0,1,8.444161199335854e-25,1,46.0,27.272727,,27.272727,1,0,0,0.0,0.0,0.0,4.222080599667927e-25,0,1,0.0,361500.0,0.0,2.6222045735428974e-25,0,0,-4.222080599667927e-25,SHORT,0.0,4.222080599667927e-25,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,12523064954.0,0.0,2.9e-05,,,,,0.0,0.0,0.0,0.621069,0.0,0.0,0.0,3.3714435045865907e-31,0.11607062748691362,3.736854613614979,0.5607,0.0,0.0,0.0,0.0,0.6,0.0,1.4369,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.33386559512295094,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,723000.0,0.0,0.0,0.3736854613614979,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
APLD,1.5151717080931562e-06,537.4265851234846,1,4,537.4265866386563,5,58.6,4.353322,2.480984,4.821407,5,1,0,1.5151717080931562e-06,0.0,1.5151717080931562e-06,223.46952985665644,1,4,2052975.0,2751746.0,6.212913725762337e-07,206.7478192497309,0,0,-537.426583608313,SHORT,1.5151717080931562e-06,134.35664628087116,0.0,0.584186,2.8193091857281582e-09,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,10387722743.0,0.000198,0.000265,,,,,0.0,0.0,0.410047,0.3847,0.0,0.0,1.458617779449484e-12,0.0001293417716326809,0.26479697628882004,3.6492324354867662,0.5509,0.0,1.3471,0.0,0.15,0.6,0.0,0.5367,0.0,1.7,0.4667,0.0,0.6,0.3458,0.499706912,0.601251380952381,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,2052975.0,2751746.0,0.0,0.0,0.3649232435486766,none,none
SPY,0.0,2310.4572061329072,0,2,3511.426161243042,2,69.0,2.022669,,2.022669,2,0,0,0.0,0.0,0.0,1200.9689551101349,0,2,0.0,2905389.0,0.0,841.4990017732011,0,0,-2310.4572061329072,SHORT,0.0,1155.2286030664536,0.0,0.480203,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,708.470327,0.0,0.0,,,,,0.0,0.0,0.0,0.377635,0.0,0.0,0.0,0.0,0.1578720852059578,3.5125440469841274,0.9787,0.0,0.0,0.0,0.0,0.6,0.0,1.45,0.0,1.0354,0.1556,0.0,0.6,0.2716,0.06,0.2062544046984127,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4519935.0,9543643.0,0.0,3206287.0,3746584.0,0.0,0.35125440469841274,room_to_target,"confirmation_volume, continuation_pattern, momentum_aligned, not_extended, trend_aligned"
ON,0.0,159.04370028990266,0,1,159.04370028990266,1,87.0,14.234694,,14.234694,1,0,0,0.0,0.0,0.0,159.04370028990266,0,1,0.0,619857.0,0.0,29.941725259790395,0,0,-159.04370028990266,SHORT,0.0,159.04370028990266,0.0,0.0,0.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,38527327423.0,0.0,1.6e-05,,,,,0.0,0.0,0.0,0.188261,0.0,0.0,0.0,4.128075081453922e-05,0.1110663625024921,3.252122965844513,0.5107,0.0,0.0,0.0,0.0,0.6,0.0,0.9521,0.0,1.7,0.0,0.0,0.6,0.0,0.06,0.2887769184739585,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,619857.0,500000.0,0.0,0.32521229658445133,none,not_extended
LITE,1920.2142557622174,2.411018922072919e-05,4,3,1920.2143039825753,7,50.428571,20.31125,34.375,6.2475,7,1,0,3.0418823289961147e-05,0.0,1920.2139126991876,1.7414143714057486e-05,4,3,6319359.0,3124415.0,2.7493606238972026,1.963775258472868e-05,0,0,1920.214231652028,LONG,480.05356394055434,8.036729740243063e-06,0.0,0.277727,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,8-30,0.25,0,0.0,60467946000.0,0.000105,5.2e-05,,,,,0.0,0.0,0.001432,0.8145,0.0,0.0,7.938975865668636e-05,1.3290892566853625e-12,0.3323058817829109,3.2174487240204397,0.4064,0.0,1.7,0.4667,0.15,0.6,0.0,0.4794,0.0,1.7,0.3111,0.0,0.6,0.1269,0.5816666666666666,0.44731430982866455,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,1746274.0,6319359.0,5074790.0,4966013.0,0.0,0.32174487240204397,none,none
MRVL,285265.3343203362,1100.4781432976067,10,1,553724.303889288,11,80.454545,100.74297,105.727082,50.90184,11,7,0,274513.4490056368,0.0,171827.8596029091,1100.4781432976067,10,1,11508453.5,327550.0,183288.7649061117,217.7102015673008,0,0,284164.8561770386,LONG,28526.53343203362,1100.4781432976067,0.397656,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.7,0,0.0,144749108000.0,8e-05,2e-06,,,,,1e-06,0.0,0.657598,0.197832,0.0,0.0,0.0019707571138907203,7.602659239168553e-05,0.5957599624249655,3.0564611836006566,0.995,0.0,1.7,1.4,1.05,0.6,0.2126,0.7565,0.0,1.7,0.0,0.0,0.6,0.0,0.7415382353175614,0.23418205378098517,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,562587.0,17438935.0,655100.0,0.0,0.0,0.30564611836006567,none,none
TER,0.0,649482.8934835366,0,1,649482.8934835366,1,119.0,25.5,,25.5,1,0,0,0.0,0.0,0.0,649482.8934835366,0,1,0.0,737458.0,0.0,185920.33456341684,0,1,-649482.8934835366,SHORT,0.0,649482.8934835366,0.0,0.0,0.0,0.7,0.0,1.0,-0.3076923076923077,0.6923076923076923,91+,0.0,0,0.0,62777370391.0,0.0,1.2e-05,,,,,0.0,3e-06,0.0,0.286259,0.0,0.0,0.0,0.10345812343497728,0.08477869675676095,3.04649889328601,0.5049,0.0,0.0,0.0,0.0,0.3429,0.0,0.6069,0.3967,1.7,0.0,0.0,0.3429,0.0,0.03428571428571428,0.2878409953927975,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,737458.0,0.0,0.0,0.30464988932860104,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
XPEV,5.11326080390034e-13,1.679457009255867e-22,1,1,5.113260805579798e-13,2,103.0,11.916078,6.849105,16.983051,2,0,0,0.0,0.0,5.11326080390034e-13,1.679457009255867e-22,1,1,697653.0,505000.0,3.35992195916933e-13,2.8781295402222206e-23,0,0,5.113260802220883e-13,LONG,5.11326080390034e-13,1.679457009255867e-22,0.0,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,1,0.5,12410326830.0,5.6e-05,4.1e-05,,,,,0.0,0.0,0.6571,0.171373,0.0,0.0,4.120166111612663e-19,1.353273795494286e-28,0.32144607637868416,2.981588700467622,1.1716,0.0,1.7,0.0,0.0,0.3429,0.0,0.9387,0.0,1.7,0.0,0.0,0.3429,0.0,0.38882007253474626,0.3459072957775351,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,697653.0,505000.0,0.0,0.0,0.2981588700467622,none,none
ARM,28305.06527513949,67035.97337302977,1,1,190682.0772963385,2,70.5,2.27412,1.643478,2.904762,2,0,1,0.0,67035.97337302977,28305.06527513949,67035.97337302977,1,1,281293.0,1033907.5,3504.1736333328536,49974.36296133686,0,0,-38730.908097890286,SHORT,28305.06527513949,67035.97337302977,0.0,0.0,0.42223695503953573,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,216173275932.0,1e-06,5e-06,,,,,0.0,0.0,0.1238,0.745486,0.0,0.0,0.001309369308167546,0.0031010296293107376,0.1870353818219228,2.9279226879874387,0.4928,0.0,0.7776,0.0,0.0,0.6,0.0,0.5427,0.0,1.6352,0.0,0.15,0.6,0.0,0.137756504,0.25501035522592114,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,3056790.0,562586.0,2067815.0,1439402.0,0.0,0.29279226879874387,none,not_extended
