ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_concentration,bearish_concentration,flow_imbalance_ratio,dte_score,bullish_score,bearish_score,bullish_score_raw
GLNG,231203.3203701013,0.0,5,0,231203.3203701013,5,83.6,16.44,16.44,,5,1,0,82277.71598917172,0.0,82277.71598917172,0.0,5,0,231203.3203701013,LONG,46240.664074020264,0.0,0.36,0.0,inf,1.0,10.0,0.05,0.8893993189113311
SPY,341479.3051514725,383199.6474213449,2,3,724678.9525728174,5,51.8,0.84,0.77,0.88,5,1,2,136083.2883983098,229908.8617797845,205396.0167531627,153290.78564156036,2,3,-41720.34226987237,SHORT,170739.65257573625,127733.21580711496,0.6,0.4,0.8911263552808047,1.0,6.375271699220537,0.7554572278601136,0.6458291150126347
NEM,295647.42956399894,0.0,2,0,295647.42956399894,2,90.0,0.47,0.47,,2,0,0,0.0,0.0,147930.6642365694,0.0,2,0,295647.42956399894,LONG,147823.71478199947,0.0,0.5,0.0,inf,1.0,5.42589566647923,0.05,0.5820340675820149
NFLX,228423.06416224386,0.0,1,0,228423.06416224386,1,90.0,0.26,0.26,,1,0,0,0.0,0.0,228423.06416224386,0.0,1,0,228423.06416224386,LONG,228423.06416224386,0.0,1.0,0.0,inf,1.0,5.301804207985413,0.05,0.5736955165681565
SLV,257731.737280444,0.0,2,0,257731.737280444,2,90.0,0.07,0.07,,2,0,0,0.0,0.0,131216.5244015056,0.0,2,0,257731.737280444,LONG,128865.868640222,0.0,0.51,0.0,inf,1.0,5.2879981388880015,0.05,0.5727677926710654
AMAT,185100.2034015457,0.0,1,0,185100.2034015457,1,90.0,0.54,0.54,,1,0,0,0.0,0.0,185100.2034015457,0.0,1,0,185100.2034015457,LONG,185100.2034015457,0.0,1.0,0.0,inf,1.0,5.240760197118528,0.05,0.5695935533477838
TQQQ,184045.85395781696,0.0,1,0,184045.85395781696,1,90.0,0.28,0.28,,1,0,0,0.0,0.0,184045.85395781696,0.0,1,0,184045.85395781696,LONG,184045.85395781696,0.0,1.0,0.0,inf,1.0,5.1906542113704806,0.05,0.5662265905984455
SOXS,25303.95126728983,0.0,1,0,25303.95126728983,1,56.0,1.33,1.33,,1,1,0,25303.95126728983,0.0,25303.95126728983,0.0,1,0,25303.95126728983,LONG,25303.95126728983,0.0,1.0,0.0,inf,1.0,5.070604452498858,0.05,0.5581596289340188
TSM,90274.06314227058,0.0,1,0,90274.06314227058,1,90.0,0.13,0.13,,1,0,0,0.0,0.0,90274.06314227058,0.0,1,0,90274.06314227058,LONG,90274.06314227058,0.0,1.0,0.0,inf,1.0,4.785027943181936,0.05,0.538969796529741
ORCL,65844.9376398432,110562.74424337888,1,1,176407.68188322207,2,49.0,0.32,0.59,0.05,2,0,0,0.0,0.0,65844.9376398432,110562.74424337888,1,1,-44717.806603535675,SHORT,65844.9376398432,110562.74424337888,1.0,1.0,0.595543626295133,1.0,4.7006548002286035,0.5532497689139404,0.5333001898923835
BMNR,42051.372595702785,0.0,1,0,42051.372595702785,1,90.0,0.42,0.42,,1,0,0,0.0,0.0,42051.372595702785,0.0,1,0,42051.372595702785,LONG,42051.372595702785,0.0,1.0,0.0,inf,1.0,4.43163572067661,0.05,0.5152229640641667
USAR,261.47644335157236,0.0,3,0,261.47644335157236,3,31.33,1.26,1.26,,3,2,0,1.1120310497801607,0.0,260.3644123017922,0.0,3,0,261.47644335157236,LONG,87.15881445052412,0.0,1.0,0.0,inf,1.0,4.070181471312085,0.05,0.4909343890559832
CRM,2775.0261987084377,582.0521957247335,1,3,3357.078394433171,4,44.0,6.82,0.93,8.79,4,0,0,0.0,0.0,2775.0261987084377,247.0768995335623,1,3,2192.9740029837044,LONG,2775.0261987084377,194.01739857491114,1.0,0.42,4.767658672351809,1.0,3.0799131031737996,0.4525873852979269,0.42439150685154214
NOW,331.83248034354034,0.0,1,0,331.83248034354034,1,58.0,0.42,0.42,,1,0,0,0.0,0.0,331.83248034354034,0.0,1,0,331.83248034354034,LONG,331.83248034354034,0.0,1.0,0.0,inf,1.0,1.8605935385536538,0.05,0.3424571133389763
HOOD,7.345822995103971,53466.07995415733,1,3,53473.425777152435,4,54.25,0.43,0.96,0.26,4,0,0,0.0,0.0,7.345822995103971,52431.442917395325,1,3,-53458.73413116222,SHORT,7.345822995103971,17822.026651385775,1.0,0.98,0.00013739221206047643,1.0,0.0,0.6144244782823269,0.21743115002452396
