ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,addv,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
DELL,3665231.827318624,92333.57590827231,18,3,4005306.0867705382,21,69.190476,10.088875,11.686727,0.501765,21,5,1,1602263.841002184,31106.440077676623,963133.9192342309,34760.375880338936,18,3,1.361914035419686,6024152.5,923700.5,3572898.2514103516,LONG,203623.99040659022,30777.85863609077,0.737224,0.623535,39.69554727263899,1.0,1705454384.703827,0.003532,0.000542,8.608289110575264,0.34960682384883623,0.8608289110575265,none,not_extended
ETSY,373517.7023786052,76481.98924618999,7,1,617601.2741820238,8,58.25,26.455372,30.160531,0.519264,8,3,0,249625.84502317043,0.0,199180.23468112375,76481.98924618999,7,1,9.779833038164,754402.5,100620.0,297035.7131324152,LONG,53359.67176837217,76481.98924618999,0.466745,0.0,4.883734145254496,1.0,148782122.40758896,0.005071,0.000676,8.199676330819468,0.39672613693663594,0.8199676330819468,none,trend_aligned
GFS,547586.8355545164,0.0,5,0,547586.8355545164,5,52.0,128.15,128.15,,5,1,0,87245.2416212606,0.0,257209.2551672756,0.0,5,0,5.549877728719524,947401.0,0.0,547586.8355545164,LONG,109517.36711090329,0.0,0.530286,0.0,99.0,1.0,196036538.7172699,0.004833,0.0,7.995084492630681,0.18,0.7995084492630682,"momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",confirmation_volume
PDD,808465.7439456716,5.5726421694076995,5,16,824281.1055226956,21,77.952381,1.252397,3.683762,0.492595,21,2,4,765907.4190816757,1.7782960856161796,764878.4756988889,1.0119465339895517,5,16,1033712.5752943776,1753379.0,1187126.5,808460.1713035022,LONG,161693.1487891343,0.3482901355879812,0.053914,0.818408,99.0,1.0,605567943.75,0.002895,0.00196,7.585983272051761,0.5800228032576866,0.7585983272051762,none,none
XOP,492726.1257804836,0.0,7,0,792752.3490887444,7,73.428571,12.877517,12.877517,,7,2,0,285799.9601706502,0.0,150411.6590146064,0.0,7,0,8.034655439000815,949477.5,0.0,492726.1257804836,LONG,70389.44654006908,0.0,0.694736,0.0,99.0,1.0,1171694543.5333252,0.00081,0.0,7.019718843918619,0.18,0.7019718843918619,none,not_extended
IEF,931258.6819802272,0.0,9,0,1206908.8243843585,9,79.111111,0.524569,0.524569,,9,6,0,655608.5395760961,0.0,274402.90235032234,0.0,9,0,11.503968532315723,1623928.5,0.0,931258.6819802272,LONG,103473.18688669191,0.0,0.705342,0.0,99.0,1.0,1241015855.579071,0.001309,0.0,6.802846434562423,0.18,0.6802846434562423,none,trend_aligned
GLNG,37938.30902825002,3.3252400180903354,5,8,37944.9595082862,13,84.461538,6.953245,16.678867,0.874732,13,2,4,37935.82805448407,1.9329558453549727,37934.45611110179,0.5738416937966299,5,8,7399.69962413958,538884.0,352372.5,37934.983788231926,LONG,7587.661805650004,0.41565500226129193,0.000102,0.827428,99.0,1.0,166032237.60089874,0.003246,0.002122,6.427568201592864,0.581683621299131,0.6427568201592864,none,not_extended
MDB,0.7661233473025891,0.0,9,0,1.4802352662059801,9,36.666667,5.173328,5.173328,,9,1,0,0.009089881499113493,0.0,0.7141119189033909,0.0,9,0,65.15751292909643,1698190.0,0.0,0.7661233473025891,LONG,0.08512481636695435,0.0,0.067889,0.0,99.0,1.0,722601427.5,0.00235,0.0,6.425731729004296,0.18,0.6425731729004296,none,trend_aligned
AA,2.8864492790174565,0.0,5,0,5.772898558034913,5,102.0,13.485066,13.485066,,5,1,0,1.3209589610747698,0.0,1.3209589610747698,0.0,5,0,7.8961882230083456,824919.5,0.0,2.8864492790174565,LONG,0.5772898558034913,0.0,0.542359,0.0,99.0,0.7,397921821.79244995,0.002073,0.0,5.901468981292961,0.15857142857142859,0.5901468981292961,none,trend_aligned
KWEB,400800.1041506357,84470.5216198563,7,3,569741.1473903484,10,65.9,1.329813,0.806285,2.551377,10,1,1,126942.60826007981,55436.576074608216,126942.60826007981,55436.576074608216,7,3,4.852630046019747,977738.0,277070.5,316329.5825307794,LONG,57257.1577358051,28156.8405399521,0.683277,0.343717,4.744851771537072,1.0,764551681.1570549,0.001279,0.000362,5.807200273610979,0.494563034473043,0.580720027361098,none,trend_aligned
