ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
ADMA,1112518.6968722544,0.0,3,0,1112518.6968722544,3,60.666667,745.720988,745.720988,,3,2,0,1079607.3204797124,0.0,865902.323916266,0.0,3,0,32.803469159204205,2329138.0,0.0,1112518.6968722544,LONG,370839.5656240848,0.0,0.221674,0.0,99.0,1.0,1974339569.0,0.00118,0.0,7.903576666666668,0.18,0.7903576666666667,none,trend_aligned
BTDR,113576.18309503674,2420.6325565558614,5,1,118417.44820814846,6,49.666667,4.957609,3.524955,12.120879,6,2,0,92448.26655469579,0.0,48563.50306336433,2420.6325565558614,5,1,4.604785875694179,648323.0,38713.0,111155.55053848088,LONG,22715.236619007348,2420.6325565558614,0.572415,0.0,46.92004277453653,1.0,1675086784.0,0.000387,2.3e-05,7.536212374014787,0.40211092916182806,0.7536212374014787,none,trend_aligned
IGV,987826.5018138936,208896.56914752076,7,8,1614649.110343785,15,58.066667,0.942219,0.78628,1.078666,15,1,0,66354.09088446484,0.0,258452.10115897233,27351.09435240958,7,8,2.9468933811973907,1112859.0,250404.5,778929.9326663727,LONG,141118.0716876991,26112.071143440095,0.738363,0.869069,4.728782793537887,1.0,9788215199.0,0.000114,2.6e-05,7.187922720040384,0.5038917506388028,0.7187922720040384,none,trend_aligned
ROP,595579.3178600594,174322.4907639004,5,2,944224.2993878602,7,49.0,58.457143,46.88,87.4,7,1,0,280672.9265570714,0.0,280672.9265570714,129433.58176715733,5,2,4.040327869719038,749230.0,219185.0,421256.82709615905,LONG,119115.86357201189,87161.2453819502,0.52874,0.257505,3.4165374487833735,1.0,36134762691.0,2.1e-05,6e-06,6.214963576484491,0.4884904696749635,0.6214963576484491,none,trend_aligned
MARA,229204.41406820176,0.0,1,0,229204.41406820176,1,35.0,11.617363,11.617363,,1,0,0,0.0,0.0,229204.41406820176,0.0,1,0,0.0,326872.0,0.0,229204.41406820176,LONG,229204.41406820176,0.0,0.0,0.0,99.0,1.0,3262413168.0,0.0001,0.0,6.000000000000001,0.05,0.6000000000000001,none,trend_aligned
RIG,951896.9894914527,0.0,2,0,951896.9901985886,2,69.5,0.478871,0.478871,,2,0,0,0.0,0.0,951896.9887843168,0.0,2,0,673065125.4927897,1356832.0,0.0,951896.9894914527,LONG,475948.49474572635,0.0,0.0,0.0,99.0,1.0,7598627874.0,0.000179,0.0,5.933333333333333,0.18,0.5933333333333333,"confirmation_volume, momentum_aligned, not_extended, room_to_target, structural_breakout, trend_aligned",none
VRT,579681.0529279561,19.330125857933396,7,3,602959.9949638,10,55.8,259.784278,368.965777,5.027447,10,0,0,0.0,0.0,479300.9618285281,12.616252683390325,7,3,8823.570945216996,1911477.0,752360.0,579661.7228020981,LONG,82811.57898970801,6.443375285977798,0.173164,0.347327,99.0,1.0,96567852314.0,2e-05,8e-06,5.92445271888658,0.39885389210448186,0.592445271888658,"ema_pullback, not_extended, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
GLBE,421183.3481860896,0.0,1,0,842366.6963721792,1,112.0,925.0,925.0,,1,0,0,0.0,0.0,421183.3481860896,0.0,1,0,0.0,592013.0,0.0,421183.3481860896,LONG,421183.3481860896,0.0,0.0,0.0,99.0,0.7,5223633134.0,0.000113,0.0,5.7857142857142865,0.02857142857142857,0.5785714285714286,none,trend_aligned
METC,35.75146485792337,0.0,2,0,35.75146485792337,2,86.0,4.620907,4.620907,,2,0,0,0.0,0.0,23.64573701770784,0.0,2,0,1.9532685130386058,182614.0,0.0,35.75146485792337,LONG,17.875732428961683,0.0,0.338608,0.0,99.0,1.0,781810374.0,0.000234,0.0,5.650183974697681,0.13464163556500625,0.5650183974697681,none,trend_aligned
MKC,51166.42712524935,0.0,1,0,51166.42712524935,1,49.0,3.990654,3.990654,,1,1,0,51166.42712524935,0.0,51166.42712524935,0.0,1,0,0.0,70948.0,0.0,51166.42712524935,LONG,51166.42712524935,0.0,0.0,0.0,99.0,1.0,766052182.0,9.3e-05,0.0,5.4402788387769005,0.05,0.5440278838776901,none,trend_aligned
RKLB,434595.73472269863,247970.86594946592,3,4,933457.448771634,7,90.714286,2.07347,3.71333,0.843575,7,1,1,112420.09870255801,29872.876452127497,319255.653870137,136892.38519408493,3,4,1.6254912229324685,644477.5,353171.0,186624.8687732327,LONG,144865.2449075662,61992.71648736648,0.265396,0.44795,1.75260804554058,0.7,37417352907.0,1.7e-05,9e-06,4.90685927800146,0.32724071645702474,0.490685927800146,none,trend_aligned
FIG,89387.40089167465,0.0,4,0,89387.40089167465,4,49.75,1.992437,1.992437,,4,0,0,0.0,0.0,77656.40506756962,0.0,4,0,14.099938313772855,372439.0,0.0,89387.40089167465,LONG,22346.850222918663,0.0,0.131238,0.0,99.0,1.0,9770926104.0,3.8e-05,0.0,4.868744923639571,0.18,0.486874492363957,none,trend_aligned
MSFT,1682124.2342677177,545704.3702118173,7,6,2498682.0619190983,13,68.076923,0.402801,0.443859,0.354899,13,4,2,1109495.4850764682,187310.3694462771,381923.80894475855,206351.77369968238,7,6,1.8073979104138245,2230868.0,826582.5,1136419.8640559004,LONG,240303.46203824537,90950.72836863622,0.772951,0.621862,3.082482615293688,1.0,2717557472944.0,1e-06,0.0,4.563885046893609,0.37521942160060207,0.4563885046893609,none,trend_aligned
ENPH,100673.0683045877,527.627288574879,3,1,201873.76389775026,4,59.25,0.162745,0.152629,0.193093,4,0,0,0.0,0.0,100438.75079009736,527.627288574879,3,1,429.7696851787771,297792.5,194755.0,100145.44101601282,LONG,33557.689434862565,527.627288574879,0.002328,0.0,99.0,1.0,5267550547.0,5.7e-05,3.7e-05,4.454982752534067,0.2915565774043415,0.44549827525340674,none,trend_aligned
PYPL,37006.39441113103,16739.813189480676,3,4,92836.3735629025,7,59.857143,36.754201,48.929273,27.622897,7,2,2,36868.98389752566,7712.566756869959,28942.217028278887,5491.3846921048125,3,4,9.129825274172743,210532.5,353566.0,20266.58122165035,LONG,12335.464803710342,4184.953297370169,0.217913,0.671957,2.21068144502269,1.0,41614037298.0,5e-06,8e-06,4.410187778963917,0.46037508258067233,0.4410187778963917,none,none
OKLO,923.5887800745368,38.75864704066816,1,1,962.3474271152049,2,30.5,12.886364,19.375,6.397727,2,0,0,0.0,0.0,923.5887800745368,38.75864704066816,1,1,23.829231683589104,325063.0,186370.0,884.8301330338686,LONG,923.5887800745368,38.75864704066816,0.0,0.0,23.829231683589104,1.0,8992598906.0,3.6e-05,2.1e-05,4.388757833933558,0.39611199569824707,0.4388757833933558,none,trend_aligned
NVDA,2214435.878299609,2706083.562657932,9,13,6516799.420952973,22,67.181818,0.349224,0.336999,0.357687,22,3,2,700174.8376986461,522849.19539205806,398084.5944619596,580128.0237754098,9,13,0.9588138986100002,2437325.0,2980744.5,-491647.684358323,SHORT,246048.43092217876,208160.27405061014,0.820232,0.785621,0.8183176265719512,1.0,4161132000000.0,1e-06,1e-06,4.357152689397667,0.43552153084452866,0.4357152689397667,none,none
