ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,flow_velocity,bullish_premium_raw,bearish_premium_raw,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_score_raw,checks_passed,checks_failed
KORU,1267146.4000200045,158405.01796282356,33,3,2851102.835965656,36,40.111111,113.073339,122.263389,25.767857,36,30,1,732703.7159039787,97955.0664486831,469243.61753498454,97955.0664486831,33,3,147865033.42919785,5720245.0,470549.0,1108741.3820571809,LONG,38398.37575818195,52801.672654274524,0.629685,0.381616,7.999408202569656,1.0,1502861134.0,0.003806,0.000313,0.25550182175502284,0.35134099525042695,9.21190551284402,0.7501908873003666,0.9211905512844019,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
CIEN,4482398.4331960175,11.207307823288682,23,3,6433308.034364987,26,50.230769,3.045509,2.985113,3.508543,26,2,0,1042504.3409751545,0.0,1019145.965808374,8.706381482186922,23,3,5.4369309808957516,7776437.5,969890.0,4482387.2258881945,LONG,194886.88839982686,3.7357692744295607,0.772634,0.223151,99.0,1.0,67857105117.0,0.000115,1.4e-05,0.028720189000665537,5.505347255808076e-07,7.808896162559995,0.40976882015628746,0.7808896162559995,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
EWY,906207.4679215549,439341.08530763944,8,2,1684462.139015519,10,37.3,3.387396,3.802086,0.069876,10,6,0,615807.6788288201,0.0,372020.26976889465,287121.06151928473,8,2,4.771915059742792,1424041.5,554219.0,466866.3826139155,LONG,113275.93349019437,219670.54265381972,0.589476,0.346473,2.0626513163161193,1.0,18268683242.0,7.8e-05,3e-05,0.06200552715795693,0.12024432179588815,7.613177373679802,0.3439647350818762,0.7613177373679803,none,not_extended
SOXS,400409.8573906773,156700.25662731394,2,1,713810.3706453051,3,44.0,88.751852,99.905556,66.444444,3,0,1,0.0,156700.25662731394,400408.3776297527,156700.25662731394,2,1,482381.22726202256,543125.0,175870.5,243709.60076336339,LONG,200204.92869533866,156700.25662731394,4e-06,0.0,2.555259742445649,1.0,1574910836.0,0.000345,0.000112,1.2712143704835026,0.9949785920916346,7.433333333333334,0.7425,0.7433333333333334,none,not_extended
CSIQ,73183.08992051073,7.757154858840116e-13,2,3,73183.08992051073,5,68.0,57.775702,142.99026,0.965997,5,0,0,0.0,0.0,73183.08992051073,7.757154561119565e-13,2,3,4.305682339252717e+31,172689.0,165780.0,73183.08992051073,LONG,36591.54496025536,2.5857182862800384e-13,0.0,0.0,99.0,1.0,862544930.0,0.0002,0.000192,0.4242276974517184,2.9977780824472974e-18,7.239182353371145,0.4846264866666667,0.7239182353371145,none,none
DAVE,0.1488257519196701,163942.3387466231,13,8,163942.48759231044,21,36.761905,5.241959,2.856607,7.925481,21,2,1,0.004857587725240656,6.246107409778702e-06,0.13091056696059988,163942.3387266877,13,8,2342873376.9959645,2456520.0,673630.0,-163942.1899208712,SHORT,0.011448134763051546,20492.79234332789,0.120377,0.0,9.077932708382545e-07,1.0,2389467537.0,0.001028,0.000282,4.7910819401316465e-08,0.08576300797564629,7.178519200000001,0.7147845547998206,0.7178519200000001,"confirmation_volume, momentum_aligned, not_extended, retest_and_confirm, room_to_target",trend_aligned
QBTS,419790.6317849915,108929.94614231492,9,3,637650.5240696213,12,48.0,3.859124,4.070963,3.223608,12,0,0,0.0,0.0,63467.653862704436,45638.51898003551,9,3,1.3588119866740502,658530.0,169107.5,310860.68564267654,LONG,46643.40353166572,36309.98204743831,0.848811,0.581029,3.853767000275048,1.0,5372705855.0,0.000123,3.1e-05,0.08681547955627979,0.06758230029222083,6.948626333935453,0.43770316086535754,0.6948626333935453,"confirmation_volume, flag_breakout, momentum_aligned, not_extended, room_to_target",trend_aligned
URA,3.683249652707387,0.032507769180235464,6,4,7.3990070745950085,10,70.6,5.659064,3.722177,8.564394,10,0,0,0.0,0.0,2.0630046040610677,0.027972131377840333,6,4,876.6098765402651,434570.5,1128116.0,3.6507418835271515,LONG,0.6138749421178978,0.008126942295058866,0.439896,0.139525,99.0,1.0,2922340149.0,0.000149,0.000386,2.100627958480332e-06,2.7809706881109775e-08,6.709449523809524,0.6228232142857143,0.6709449523809524,none,none
SPXS,0.6602194670889667,48246.20779149365,4,3,48246.86826136842,7,38.0,5.519705,8.397471,2.641939,7,4,3,0.6602194670889667,48246.20779149365,0.6601654593347586,48246.20757923932,4,3,523505786.70740527,535964.0,187271.0,-48245.54757202656,SHORT,0.16505486677224168,16082.069263831218,8.2e-05,0.0,1.3684380541207444e-05,1.0,403659331.0,0.001328,0.000464,4.088964483078967e-06,0.3984069741182626,6.7,0.7464150952385711,0.67,none,not_extended
FSLY,288105.88918989635,458308.5299204327,9,6,1020597.0872286118,15,48.266667,1.298901,1.528023,0.955218,15,1,1,58256.44598386163,359548.8745221444,139103.63071600694,359548.8745221444,9,6,58.76059421967771,1291106.0,815174.5,-170202.64073053637,SHORT,32011.76546554404,76384.75498673879,0.517179,0.215487,0.6286286865311336,1.0,3699366000.0,0.000349,0.00022,0.08653311260779291,0.20648066448883073,6.698633349380958,0.6131671228465758,0.6698633349380958,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned"
