ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_z_shadow,bearish_score_z_shadow,bullish_zscore_tier,bearish_zscore_tier,bullish_score_raw,checks_passed,checks_failed
KWEB,67694.60947564368,27916.814099188392,6,4,105515.40499509126,10,61.1,796.197759,1326.879084,0.175773,10,3,0,52243.56659979371,0.0,30404.76651879414,18012.832678929204,6,4,842009.0,402291.5,21388.41002664491,12307.67024642052,2,0,39777.79537645529,LONG,11282.43491260728,6979.203524797098,0.550854,0.354768,2.424868727324144,1.0,0.3333333333333333,0.0,0.025641025641025605,-0.3076923076923077,31-90,0.5,0,0.0,4223436000.0,0.000199,9.5e-05,5e-06,3e-06,0.315954,0.450941,0.0,0.0,0.0267138768353712,0.016524942072750952,6.8405549510316614,0.408957823482218,2.9,0.0907,1.7,0.7778,0.45,0.6,0.322,2.7925,0.0484,0.0,0.4667,0.0,0.6,0.182,0.5719851231761638,0.4455100062747496,2,2,0.6840554951031661,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_continuation",trend_aligned
AVTX,1.1529937477272336e-06,1.0302930473074922e-06,10,7,3.3362805427619596e-06,17,53.352941,3.113927,4.725771,0.811291,17,0,1,0.0,1.6362631516764292e-07,9.369768970077258e-07,2.6317153685518067e-07,10,7,1385065.0,905564.0,1.1570182644284566e-07,4.4376509723000625e-07,0,0,1.2270070041974136e-07,LONG,1.1529937477272335e-07,1.4718472104392747e-07,0.187353,0.744566,1.119093010226945,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,328837362.0,0.004212,0.002754,0.0,0.0,0.100349,0.430717,0.0,0.0,3.506273559411517e-12,4.475912352195779e-12,6.662394999999998,0.5255415499047619,2.9,0.0,1.7,1.4,0.0,0.6,0.0624,2.9,0.0,0.2117,0.9333,0.15,0.6,0.4604,0.7733203466642585,0.6929889797552201,3,3,0.6662394999999999,"momentum_aligned, not_extended, pullback_to_support, room_to_target","confirmation_volume, trend_aligned"
UVIX,5252.44813290914,0.0,3,0,6686.340459926382,3,84.333333,7.331695,7.331695,,3,2,0,5252.4481328454385,0.0,3818.5558058281968,0.0,3,0,166596.5,0.0,338.0095459510123,0.0,0,0,5252.44813290914,LONG,1750.8160443030467,0.0,0.272995,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.6667,0,0.0,101607448.0,0.00164,0.0,3e-06,0.0,0.101104,0.0,0.0,0.0,0.1723117821346174,0.0,6.588356626620387,0.06,2.9,0.6537,1.7,0.3111,0.3,0.6,0.1236,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.808791261284787,0.3394548642462508,3,3,0.6588356626620386,"not_extended, pullback_to_support, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
YPF,6.556653479467884,0.0,5,0,6.556653479467884,5,63.6,2.911707,2.911707,,5,2,0,6.556653436987828,0.0,6.55665318565232,0.0,5,0,1600618.0,0.0,3.57297969187893,0.0,0,0,6.556653479467884,LONG,1.3113306958935769,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.4,1,0.2,15964566268.0,0.0001,0.0,0.0,0.0,0.54494,0.0,0.0,0.0,8.214007658460846e-07,0.0,6.062182982222222,0.06,2.9,0.0,1.64,0.6222,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7348751095071014,0.3978400915792585,3,3,0.6062182982222222,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
IVZ,211160.70671895158,1.8441403776763176e-08,5,4,211160.70671898845,9,98.777778,225.40083,211.828862,242.365789,9,0,2,0.0,8.084571640149924e-09,108227.21458574169,8.415794514270295e-09,5,4,4317320.0,268423.5,100472.71706585278,1.0444613866757437e-08,0,0,211160.70671893313,LONG,42232.14134379032,4.610350944190794e-09,0.487465,0.543647,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,2,0.2222,11007546407.0,0.000392,2.4e-05,9e-06,0.0,0.475812,0.566368,0.0,0.0,0.038366534904575776,4.188354764744799e-15,5.980485062698272,0.39972719372626303,2.9,0.1386,1.7,0.6222,0.0,0.3429,0.2768,0.8709,0.0,1.7,0.4667,0.3,0.3429,0.3169,0.7701703143180746,0.7690527067201586,3,3,0.5980485062698272,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
TSEM,8.536538544903632,1.1031447913837957e-05,4,3,14.146516781189746,7,52.714286,106.8094,186.585831,0.440824,7,0,0,0.0,0.0,5.6099672048382,5.7573668196054415e-06,4,3,6034802.0,678417.0,2.8425006252427565,3.5016555606036503e-06,0,0,8.536527513455718,LONG,2.134134636225908,3.6771493046126526e-06,0.342829,0.478095,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.1429,25260669828.0,0.000239,2.7e-05,0.0,0.0,0.357831,0.317425,0.0,0.0,8.448448322064455e-07,1.4556816306338575e-12,5.840115952380952,0.21535093473758446,2.9,0.0,1.7,0.4667,0.0,0.6,0.1734,0.9723,0.0,0.0,0.3111,0.0,0.6,0.2701,0.5816127683945531,0.5486986117487496,3,3,0.5840115952380952,"momentum_aligned, trend_aligned, trend_continuation","confirmation_volume, not_extended, room_to_target"
FLR,1.719908515448742e-16,2.5822075922691284e-23,3,1,1.719908773669501e-16,4,54.75,58.323055,76.351229,4.238532,4,0,0,0.0,0.0,8.393446972674314e-17,2.5822075922691284e-23,3,1,711121.0,119860.0,9.536692486852973e-17,6.497293742675854e-24,0,0,1.7199082572279828e-16,LONG,5.73302838482914e-17,2.5822075922691284e-23,0.511983,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,7117180521.0,0.0001,1.7e-05,0.0,0.0,0.554488,0.251618,0.0,0.0,8.055195969686632e-23,3.62813277624482e-29,5.805384682539683,0.29242050329372443,2.9,0.0,1.7,0.3111,0.0,0.6,0.2943,0.6242,0.0,1.7,0.0,0.0,0.6,0.0,0.7392677809963274,0.6841620536493945,3,3,0.5805384682539683,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
USO,12933.921126968042,0.0,2,0,15623.212779692116,2,48.5,4.697599,4.697599,,2,1,0,10244.629474243968,0.0,10244.629474243968,0.0,2,0,153274.0,0.0,9487.481254116656,0.0,2,0,12933.921126968042,LONG,6466.960563484021,0.0,0.207925,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,0.5,0,0.0,1228364647.0,0.000125,0.0,8e-06,0.0,0.613292,0.0,0.0,0.0,0.0526469121305151,0.0,5.779271442528914,0.06,2.9,0.1966,1.7,0.1556,0.15,0.6,0.0771,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.48600376011132895,0.24924794299835032,2,2,0.5779271442528914,"not_extended, retest_and_confirm, room_to_target, trend_aligned","confirmation_volume, momentum_aligned"
SEZL,2.898666428220768,0.0,4,0,5.797332856441536,4,96.0,29.139961,29.139961,,4,0,0,0.0,0.0,1.4497110223607435,0.0,4,0,334385.0,0.0,0.12267939912427529,0.0,0,0,2.898666428220768,LONG,0.724666607055192,0.0,0.49987,0.0,99.0,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,2728133189.0,0.000123,0.0,0.0,0.0,0.042323,0.0,0.0,0.0,2.656272831462526e-06,0.0,5.695145238095237,0.03428571428571428,2.9,0.0,1.7,0.4667,0.0,0.3429,0.2856,0.0,0.0,0.0,0.0,0.0,0.3429,0.0,0.7576716267833937,0.3978400915792585,3,3,0.5695145238095237,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",none
USAR,5916.547184974161,0.658130580925854,4,1,5917.8634461360125,5,44.4,2.210168,2.717762,0.179794,5,2,0,11.424447130991744,0.0,5880.3691039518535,0.658130580925854,4,1,415405.0,44416.0,29.87929247849984,0.447684422061788,0,0,5915.889054393235,LONG,1479.1367962435402,0.658130580925854,0.006115,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,4348624691.0,9.6e-05,1e-05,0.0,0.0,0.00505,0.680236,0.0,0.0,0.003401389867708729,1.5134223523311498e-06,5.688989379688314,0.09623312403512961,2.8142,0.0,1.5081,0.4667,0.3,0.6,0.0,0.3623,0.0,0.0,0.0,0.0,0.6,0.0,0.46676728033100956,0.42360934818285967,3,3,0.5688989379688314,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
