ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_score_raw,checks_passed,checks_failed
GFS,219326.7666939491,0.01953308165805463,6,1,219326.80576011242,7,54.0,91.653546,106.874101,0.330214,7,1,0,4.549940502694444e-28,0.0,219326.7666939491,0.01953308165805463,6,1,1210400.0,25516.0,71844.1064543823,0.007473110108715276,1,0,219326.74716086744,LONG,36554.46111565818,0.01953308165805463,0.0,0.0,99.0,1.0,0.16666666666666666,0.0,-0.14102564102564105,-0.3076923076923077,31-90,0.1667,0,0.0,30434892911.0,4e-05,1e-06,2e-06,0.0,0.327567,0.382587,0.0,0.0,0.012010707979999629,6.417989284593422e-09,6.072281420984065,0.13240228896468567,2.815,0.0295,1.7,0.7778,0.15,0.6,0.0,0.724,0.0,0.0,0.0,0.0,0.6,0.0,0.4643290831975285,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.6072281420984065,none,not_extended
CIEN,0.45528167560703775,172.33305022185425,21,11,180.89353540325118,32,56.78125,2.228587,3.150589,0.292384,32,2,2,0.08826155482910998,0.11945471733116882,0.08628396449258124,109.8393672836911,21,11,7562290.0,1727593.0,0.21839005788452964,82.09569186008545,0,0,-171.8777685462472,SHORT,0.02168007979081132,15.666640929259477,0.810482,0.362633,0.0026418709296964654,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.1818,0,0.0,71749803813.0,0.000105,2.4e-05,0.0,0.0,0.514122,0.473182,0.0,0.0,3.0216221701895738e-09,2.1835099326670096e-06,5.415384608422907,0.31224456150879804,0.9154,0.0,1.7,1.4,0.3,0.6,0.5,0.6349,0.0,0.0,1.4,0.3,0.6,0.1876,0.74,0.33584524134531063,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5415384608422907,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
DAVE,37.166141999841884,328775.79117209424,9,5,328812.95731409406,14,38.714286,7.291656,2.978641,16.995941,14,1,0,4.0105377209497906e-10,0.0,37.16614198725953,328775.1031408904,9,5,1483160.0,1537880.0,4.988689078572006,222318.74975948196,0,1,-328738.6250300944,SHORT,4.129571333315765,65755.15823441885,0.0,2e-06,0.00011304403486443944,1.0,0.0,0.2,-0.3076923076923077,-0.1076923076923077,31-90,0.0,0,0.0,3070073316.0,0.000483,0.000501,0.0,7.2e-05,0.134227,0.676202,0.0,0.0,1.3451051190843172e-05,0.214181068223124,5.338261215083833,0.6256665929384371,1.6583,0.0,1.6855,1.2444,0.15,0.6,0.0,2.5318,0.8026,1.7,0.6222,0.0,0.6,0.0,0.6579920324444444,0.6624863668312067,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5338261215083833,none,none
DOCS,6.1729341482206325e-09,3.502415698535104e-10,2,1,6.5231757180741426e-09,3,36.666667,6.178888,9.040708,0.455247,3,0,0,0.0,0.0,5.386824524608302e-09,3.502415698535104e-10,2,1,280197.0,71020.0,2.2346108768745876e-09,1.9994953423908166e-10,0,0,5.8226925783671225e-09,LONG,3.0864670741103163e-09,3.502415698535104e-10,0.127348,0.0,17.62479008646084,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,3306483326.0,8.5e-05,2.1e-05,0.0,0.0,0.362001,0.57089,0.0,0.0,9.334591376403984e-15,1.059257027245358e-15,5.290084372090908,0.20307722335308578,2.815,0.0,1.7,0.1556,0.0,0.6,0.0195,1.4308,0.0,0.0,0.0,0.0,0.6,0.0,0.5044162568465232,0.1366899150099666,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5290084372090907,"momentum_aligned, not_extended, room_to_target, support_ema_confluence","confirmation_volume, trend_aligned"
DFTX,0.12481388337373246,0.15476925183372175,4,3,0.43435238704117596,7,92.571429,3.896724,6.146532,0.896981,7,0,0,0.0,0.0,0.12310735678416788,0.15476922920156708,4,3,466575.0,256417.5,0.08804030373212281,0.11135289974499071,0,0,-0.029955368459989293,SHORT,0.031203470843433116,0.05158975061124058,0.013673,0.0,0.8064514229727477,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,2261153566.0,0.000206,0.000113,0.0,0.0,0.705373,0.719477,0.0,0.0,1.379980170857317e-07,2.2815677531581054e-07,5.261444414343728,0.3484939890715415,2.7519,0.0,1.7,0.4667,0.0,0.3429,0.0,2.561,0.0,0.2699,0.3111,0.0,0.3429,0.0,0.5409523809523809,0.3823915333968253,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5261444414343728,"confirmation_volume, momentum_aligned, not_extended, trend_aligned, trend_continuation",room_to_target
WRBY,0.01172881868837852,0.006062197427525025,2,1,0.017791016115903543,3,53.666667,1.79878,2.673645,0.049048,3,0,0,0.0,0.0,0.007715483146696859,0.006062197427525025,2,1,184374.0,79626.0,0.004269018214238708,0.0007247439061318114,0,0,0.005666621260853494,LONG,0.00586440934418926,0.006062197427525025,0.342177,0.0,1.9347470663236004,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,2654270404.0,6.9e-05,3e-05,0.0,0.0,0.363977,0.119551,0.0,0.0,2.2094242302334994e-08,2.2839411607759555e-08,5.221612257805193,0.25868287336265733,2.815,0.0,1.4781,0.1556,0.0,0.6,0.173,1.9868,0.0,0.0,0.0,0.0,0.6,0.0,0.4591722613047321,0.16714341083330603,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5221612257805193,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence, trend_aligned",none
POET,106332.17342322081,110873.66438003792,4,3,328066.7299237345,7,77.0,6.380883,8.281961,3.846112,7,1,0,58175.60369671733,0.0,58175.60369671733,75821.71013657488,4,3,281457.5,254121.5,12686.186861829345,64385.96153588525,1,1,-4541.490956817113,SHORT,26583.043355805203,36957.88812667931,0.452888,0.316143,0.9590390469890993,1.0,0.25,0.3333333333333333,-0.05769230769230771,0.025641025641025605,31-90,0.0,0,0.0,960430765.0,0.000293,0.000265,1.3e-05,6.7e-05,0.119373,0.580743,0.0,0.0,0.2767825055646276,0.38480533395532485,5.053253601093694,0.47405522398757843,0.8685,1.016,1.7,0.4667,0.15,0.6,0.2521,0.6142,1.3608,1.7,0.3111,0.0,0.6,0.1544,0.7084778189936768,0.7026305428360551,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5053253601093693,none,none
USO,342905.31911929225,42486.108282142304,3,1,522500.43295261,4,47.75,6.125008,6.515884,4.952381,4,2,0,164229.89872655616,0.0,178675.4203927361,42486.108282142304,3,1,474720.0,44002.5,172736.00502987637,22147.695149952386,0,1,300419.21083714993,LONG,114301.77303976408,42486.108282142304,0.478937,0.0,8.070998568334904,1.0,0.0,1.0,-0.3076923076923077,0.6923076923076923,31-90,0.6667,0,0.0,1228364647.0,0.000386,3.6e-05,0.000141,1.8e-05,0.515684,0.521293,0.0,0.0,0.9305198852712023,0.3458753749214854,5.051218690650315,0.3796041482772205,0.1694,1.7,1.7,0.3111,0.3,0.6,0.2707,0.2563,1.2398,1.7,0.0,0.0,0.6,0.0,0.7781780396825396,0.48027215733909495,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.5051218690650315,"ema_pullback, momentum_aligned, not_extended, room_to_target, trend_aligned",confirmation_volume
ADI,42.224028666340566,172475.50207132092,7,3,172517.72609998725,10,54.6,7.210205,7.287326,7.030254,10,0,0,0.0,0.0,42.224028666332416,172475.5020713209,7,3,1814302.0,380099.0,21.803260833998763,95142.18499268097,0,0,-172433.2780426546,SHORT,6.0320040951915095,57491.83402377364,0.0,0.0,0.0002448117452000828,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,181343434118.0,1e-05,2e-06,0.0,1e-06,0.516371,0.551627,0.0,0.0,3.32628756289378e-07,0.0031703289564023454,4.764539001238209,0.3096589064254251,1.5312,0.0,1.7,0.9333,0.0,0.6,0.0,0.4855,0.0,1.7,0.3111,0.0,0.6,0.0,0.35956645736846293,0.2652931648920963,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.47645390012382083,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended
MRVL,568702.504979848,0.0,7,0,707979.1334107193,7,68.571429,3.191135,3.191135,,7,3,0,319268.21081722545,0.0,215384.88453017353,0.0,7,0,734735.0,0.0,277210.5994716529,0.0,1,0,568702.504979848,LONG,81243.21499712115,0.0,0.62127,0.0,99.0,1.0,0.14285714285714285,0.0,-0.16483516483516486,-0.3076923076923077,31-90,0.4286,0,0.0,122130967000.0,6e-06,0.0,2e-06,0.0,0.457277,0.0,0.0,0.0,0.006652138846744835,0.0,4.7200357044745695,0.12018566021387508,0.6574,0.007,1.7,0.9333,0.45,0.6,0.3723,0.6019,0.0,0.0,0.0,0.0,0.6,0.0,0.42677419363223507,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.47200357044745694,none,not_extended
