ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
FCEL,744454.5387413111,0.0,1,0,744454.5387413111,1,87.0,27.572549,27.572549,,1,1,0,744454.5387413111,0.0,744454.5387413111,0.0,1,0,849286.0,0.0,54742.43929307869,0.0,1,0,744454.5387413111,LONG,744454.5387413111,0.0,0.0,0.0,99.0,1.0,1.0,0.0,0.6923076923076923,-0.3076923076923077,31-90,1.0,0,0.0,458258541.0,0.001853,0.0,0.000119,0.0,0.073534,0.0,0.0,0.0,16.24529544210527,0.0,6.964994530821067,0.12577201290582182,2.815,1.7,1.7,0.0,0.15,0.6,0.0,0.6577,0.0,0.0,0.0,0.0,0.6,0.0,0.7050000000000001,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,849286.0,0.0,0.0,0.0,0.6964994530821067,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, volume_capitulation_reversal",none
LCID,42242.797063642305,0.0,1,0,42242.797063642305,1,59.0,82.306931,82.306931,,1,0,0,0.0,0.0,42242.797063642305,0.0,1,0,563385.0,0.0,7007.646627145675,0.0,0,0,42242.797063642305,LONG,42242.797063642305,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,2211868640.0,0.000255,0.0,3e-06,0.0,0.16589,0.0,0.0,0.0,0.19098239515544788,0.0,4.248667084886436,0.13796988990336767,1.2279,0.7208,1.7,0.0,0.0,0.6,0.0,0.7797,0.0,0.0,0.0,0.0,0.6,0.0,0.5920751093927943,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,563385.0,0.0,0.0,0.0,0.42486670848864355,"confirmation_volume, momentum_aligned, not_extended, room_to_target, volume_capitulation_reversal",trend_aligned
PTON,1.0396311929874108e-28,0.0,1,0,1.0396311929874108e-28,1,52.0,3.887723,3.887723,,1,0,0,0.0,0.0,1.0396311929874108e-28,0.0,1,0,560000.0,0.0,6.086911400439827e-29,0.0,0,0,1.0396311929874108e-28,LONG,1.0396311929874108e-28,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,2121999256.0,0.000264,0.0,0.0,0.0,0.585488,0.0,0.0,0.0,4.899300459450353e-34,0.0,3.976898605190404,0.13838652602430057,1.6769,0.0,1.7,0.0,0.0,0.6,0.0,0.7839,0.0,0.0,0.0,0.0,0.6,0.0,0.52,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,560000.0,0.0,0.0,0.0,0.3976898605190404,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
IWM,1244586.7978809227,849243.9302003284,4,1,3338417.525962174,5,87.0,20.652361,23.641631,8.695279,5,0,1,0.0,849243.9302003284,498950.274256227,849243.9302003284,4,1,1337632.5,992000.0,554816.5814989286,367319.75991280493,4,1,395342.8676805943,LONG,311146.69947023067,849243.9302003284,0.599104,0.0,1.4655233362543278,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,31-90,0.0,0,0.0,78181469862.0,1.7e-05,1.3e-05,7e-06,5e-06,0.445784,0.432526,0.0,0.0,0.03979801096339621,0.10862470758088194,3.5200540080877145,0.3100587197066239,0.2524,0.1445,1.7,0.4667,0.0,0.6,0.3565,0.234,0.4166,1.7,0.0,0.15,0.6,0.0,0.38918675075737585,0.3343113301732135,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,2675265.0,992000.0,0.0,0.0,0.35200540080877146,none,none
APLD,0.006126107102895964,603155.1233764638,2,2,603155.1295025708,4,53.5,6.93527,7.89487,5.97567,4,2,0,0.006126107102895964,0.0,0.006126106930600052,551752.9680856862,2,2,2677048.0,1529456.0,0.0025119908096949447,358826.26264208596,0,1,-603155.1172503567,SHORT,0.003063053551447982,301577.5616882319,0.0,0.085222,1.0156768740688138e-08,1.0,0.0,0.5,-0.3076923076923077,0.1923076923076923,31-90,0.0,0,0.0,9198921460.0,0.000291,0.000166,0.0,3.9e-05,0.410047,0.594915,0.0,0.0,3.329796394900389e-09,0.3278401310410056,3.3990917495324053,0.4073413458954183,0.6435,0.0,1.7,0.1556,0.3,0.6,0.0,0.4354,1.1825,1.7,0.1556,0.0,0.6,0.0,0.5655555555555556,0.6538049762157925,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,2677048.0,1529456.0,0.0,0.0,0.3399091749532405,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
STX,0.005198099162521803,11.373610395113289,3,2,22.752418889389098,5,70.2,49.959847,4.099745,118.75,5,1,0,0.005197925297492708,0.0,0.005197925297492708,5.812601999281277,3,2,4093984.0,906025.0,0.000488630980700463,6.266973057843189,0,0,-11.368412295950767,SHORT,0.0017326997208406008,5.6868051975566445,3.3e-05,0.48894,0.0004570315829312374,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,117704937913.0,3.5e-05,8e-06,0.0,0.0,0.094002,0.55101,0.0,0.0,1.47207054484095e-10,4.831407499454245e-07,3.3603746406122474,0.30554208996315335,0.5993,0.0,1.7,0.3111,0.15,0.6,0.0,0.3221,0.0,1.7,0.1556,0.0,0.6,0.2778,0.3992743486162219,0.30178135706342113,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,4093984.0,1812050.0,0.0,0.0,0.33603746406122476,"confirmation_volume, momentum_aligned, trend_aligned, trend_continuation","not_extended, room_to_target"
INTC,0.003679574349423638,23.79452965381097,2,2,47.59641845632079,4,77.0,34.153205,45.522396,22.784014,4,1,0,0.00045661739606787244,0.0,0.0032229569533557658,14.352143916735969,2,2,2593611.0,1395990.0,0.0021610857018646455,1.8153131050849056,0,0,-23.790850079461546,SHORT,0.001839787174711819,11.897264826905484,0.124095,0.39683,0.00015463950760776277,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,328171500000.0,8e-06,4e-06,0.0,0.0,0.587319,0.076291,0.0,0.0,5.6061759619949295e-11,3.6253193305651115e-07,3.2519617133390777,0.31530135708259655,0.6292,0.0,1.7,0.1556,0.15,0.6,0.0172,0.4854,0.0,1.7,0.1556,0.0,0.6,0.212,0.290720999920564,0.2791822446773306,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,671585.0,5187222.0,2791980.0,0.0,1827800.0,0.32519617133390777,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended
HPE,1.0374216969684267e-17,0.0,1,0,1.0374216969684267e-17,1,77.0,1.872422,1.872422,,1,0,0,0.0,0.0,1.0374216969684267e-17,0.0,1,0,821500.0,0.0,5.104519119503163e-18,0.0,0,0,1.0374216969684267e-17,LONG,1.0374216969684267e-17,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,36899812215.0,2.2e-05,0.0,0.0,0.0,0.492039,0.0,0.0,0.0,2.811455220757759e-24,0.0,3.0009575487787723,0.1177951197831862,1.4677,0.0,0.9332,0.0,0.0,0.6,0.0,0.578,0.0,0.0,0.0,0.0,0.6,0.0,0.23350825233839767,0.06,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,821500.0,0.0,578594.0,0.0,0.3000957548778772,"confirmation_volume, momentum_aligned, room_to_target, trend_aligned, trend_continuation",not_extended
CRCL,0.002242382125637944,0.00015921016504492487,1,1,0.004643974416320812,2,63.0,5.785767,6.093117,5.478417,2,0,0,0.0,0.0,0.002242382125637944,0.00015921016504492487,1,1,723947.0,540000.0,0.0019115509555965406,8.699634088820673e-05,0,0,0.002083171960593019,LONG,0.002242382125637944,0.00015921016504492487,0.0,0.0,14.084415558549313,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,24260817574.0,3e-05,2.2e-05,0.0,0.0,0.852464,0.546425,0.0,0.0,9.24281351524227e-10,6.562440221122157e-11,2.932272847719503,0.28818786046235195,0.6323,0.0,1.7,0.0,0.0,0.6,0.0,0.5819,0.0,1.7,0.0,0.0,0.6,0.0,0.337143410833306,0.31018355633839767,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,0.0,0.0,1447894.0,540000.0,0.0,0.0,0.29322728477195026,none,none
NOW,2.95007341461773e-08,0.013134361627190854,1,1,0.02626878225585,2,49.5,7.014485,12.770667,1.258303,2,0,1,0.0,0.013134361627190854,2.95007341461773e-08,0.013134361627190854,1,1,561750.0,255190.0,1.3928716769150268e-09,0.010172835594605825,0,0,-0.013134332126456708,SHORT,2.95007341461773e-08,0.013134361627190854,0.0,0.0,2.24607293323679e-06,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,104307120000.0,5e-06,2e-06,0.0,0.0,0.047215,0.774521,0.0,0.0,2.8282569920612613e-15,1.259200870198588e-09,2.8017671472660037,0.17525557752053061,0.5018,0.0,1.7,0.0,0.0,0.6,0.0,0.4869,0.0,0.5156,0.0,0.15,0.6,0.0,0.24648653922592115,0.13074665778098515,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,551200.0,0.0,1123500.0,510380.0,756801.0,741000.0,0.2801767147266004,"confirmation_volume, momentum_aligned, not_extended, room_to_target, support_ema_confluence",trend_aligned
