ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
WBD,1949697.2245301302,0.0,1,0,1949697.2245301302,1,115.0,23.255814,23.255814,,1,0,0,0.0,0.0,1949697.2245301302,0.0,1,0,3250000.0,0.0,741760.5351290338,0.0,1,0,1949697.2245301302,LONG,1949697.2245301302,0.0,0.0,0.0,99.0,0.7,1.0,0.0,0.6923076923076923,-0.3076923076923077,91+,0.0,0,0.0,66511709592.0,4.9e-05,0.0,4389521.0,5587359.0,0.7403996928138629,0.0,1.1e-05,0.0,0.380449,0.0,0.0,0.0,0.29313593598632126,0.0,5.927925506100024,0.09817877385587435,2.815,1.0701,1.7,0.0,0.0,0.3429,0.0,0.6389,0.0,0.0,0.0,0.0,0.3429,0.0,0.4763399341586757,0.03428571428571428,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,3250000.0,0.0,0.0,0.0,0.5927925506100025,"bounce_and_fail, momentum_aligned, not_extended, room_to_target","confirmation_volume, trend_aligned"
MRVL,1.7803217410294352,11.051005242948126,9,2,25.563919226837676,11,71.181818,99.42981,115.837181,25.596639,11,7,1,1.73372527443654,7.327842988544147,1.085201122658948,7.327842988544147,9,2,10500453.5,1420586.5,1.1534453370690416,2.130841562421298,0,0,-9.27068350191869,SHORT,0.19781352678104835,5.525502621474063,0.390447,0.336907,0.16110043402300395,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,138323003000.0,7.6e-05,1e-05,,,,,0.0,0.0,0.660451,0.192819,0.0,0.0,1.4300840965768243e-08,3.9946375524207367e-07,5.761450704924203,0.35032192603999956,0.9595,0.0,1.7,1.2444,1.05,0.6,0.2075,0.7284,0.0,1.7,0.1556,0.15,0.6,0.1692,0.7159285851363218,0.3137106081621137,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,566212.0,562587.0,16430935.0,2841173.0,0.0,0.0,0.5761450704924204,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
SPOT,1056138.8452217595,0.0,2,0,1056138.8452217595,2,51.0,17.133242,17.133242,,2,2,0,1056138.8452217595,0.0,822592.6007814443,0.0,2,0,2931383.0,0.0,619581.4599669586,0.0,0,0,1056138.8452217595,LONG,528069.4226108798,0.0,0.221132,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,102055883537.0,2.9e-05,0.0,42942697.0,64639638.0,0.06826266640867945,0.0,6e-06,0.0,0.586648,0.0,0.0,0.0,0.05174316308960571,0.0,3.9007588110452485,0.09059138778362957,0.8657,0.193,1.7,0.1556,0.3,0.6,0.0865,0.3059,0.0,0.0,0.0,0.0,0.6,0.0,0.40737149174132414,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,2931383.0,0.0,843260.0,0.0,0.39007588110452485,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
CRCL,0.0892949578187034,0.0,3,0,0.1785899156374068,3,86.0,9.779189,9.779189,,3,2,0,0.025122104344821383,0.0,0.06417285347388202,0.0,3,0,3637842.0,0.0,0.06383296827880389,0.0,0,0,0.0892949578187034,LONG,0.029764985939567803,0.0,0.281338,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.6667,0,0.0,21769955145.0,0.000167,0.0,,,,,0.0,0.0,0.714855,0.0,0.0,0.0,1.3672506783462093e-08,0.0,3.780667251231481,0.11256957206444898,0.74,0.0,1.7,0.3111,0.3,0.6,0.1295,0.5257,0.0,0.0,0.0,0.0,0.6,0.0,0.5940638253968255,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,7275684.0,0.0,0.0,0.0,0.3780667251231481,"ema_pullback, not_extended, room_to_target","confirmation_volume, momentum_aligned, trend_aligned"
IWM,0.6213596611112179,0.3635556400275266,6,1,1.6062749622499624,7,66.142857,18.086652,20.034491,8.347458,7,0,0,0.0,0.0,0.3627395529292047,0.3635556400275266,6,1,2513011.5,689940.0,0.34672120933691614,0.20274874969442816,0,0,0.25780402108369127,LONG,0.10355994351853631,0.3635556400275266,0.416216,0.0,1.7091184751367676,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,76018908942.0,3.3e-05,9e-06,,,,,0.0,0.0,0.558004,0.557683,0.0,0.0,1.3622918950014034e-08,4.7824369632154017e-08,3.600385947579139,0.2643154932132604,0.2967,0.0,1.7,0.7778,0.0,0.6,0.2259,0.3432,0.0,1.7,0.0,0.0,0.6,0.0,0.44719230667380516,0.26235661284441536,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,1428979.0,1853512.0,5026023.0,689940.0,0.0,0.0,0.3600385947579139,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
SPY,537557.9704976435,2313015.5799622145,1,2,2850573.550459858,3,72.333333,299.681513,2.544538,448.25,3,1,0,537557.9704976435,0.0,537557.9704976435,1842055.2154352344,1,2,866712.0,3225291.0,211523.4251380979,745148.6684004263,1,2,-1775457.6094645709,SHORT,537557.9704976435,1156507.7899811072,0.0,0.203613,0.2324056850954826,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,31-90,0.0,0,0.0,715.022776,0.0,0.0,,,,,0.0,0.0,0.39349,0.322155,0.0,0.0,0.0,0.0,3.59028584,0.3508285693329419,1.45,0.0,1.3903,0.0,0.15,0.6,0.0,0.9787,0.0,1.7,0.1556,0.0,0.6,0.074,0.21402858400000002,0.2529564841269841,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,0.0,8978729.0,866712.0,3225291.0,887360.0,0.0,0.359028584,none,none
ANET,0.001426349374521579,0.0,4,0,0.001426349374521579,4,43.75,2.430199,2.430199,,4,1,0,2.5030822037479455e-20,0.0,0.0014263493745215754,0.0,4,0,3368262.0,0.0,0.0002879205488271239,0.0,0,0,0.001426349374521579,LONG,0.00035658734363039476,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.25,0,0.0,216715092648.0,1.6e-05,0.0,,,,,0.0,0.0,0.201858,0.0,0.0,0.0,1.6454199810143477e-11,0.0,3.5844609018859037,0.10087706031272306,1.0553,0.0,1.3125,0.4667,0.15,0.6,0.0,0.4088,0.0,0.0,0.0,0.0,0.6,0.0,0.31169711714062515,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,3368262.0,0.0,0.0,0.0,0.35844609018859036,"not_extended, room_to_target, trend_aligned, trend_continuation","confirmation_volume, momentum_aligned"
INTC,1211018.6630488592,86495.75154163086,3,2,1324200.403868996,5,94.6,17.421669,22.715086,9.481544,5,0,0,0.0,0.0,594826.4559883428,51905.88803227789,3,2,3374693.5,3717410.0,117484.22829113164,41273.43422762926,0,0,1124522.9115072284,LONG,403672.8876829531,43247.87577081543,0.508821,0.399902,14.000903413920735,0.7,0.0,0.0,-0.3076923076923077,-0.3076923076923077,91+,0.0,0,0.0,427159740000.0,8e-06,9e-06,,,,,0.0,0.0,0.105424,0.477173,0.0,0.0,0.009450162313586788,0.0010124520576498017,3.4048000892349037,0.3142289037428771,0.7401,0.0188,1.7,0.3111,0.0,0.3429,0.292,0.7297,0.0,1.7,0.1556,0.0,0.3429,0.2142,0.29491821425065484,0.27361945411425664,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,527450.0,705222.0,4519779.0,3717410.0,0.0,0.0,0.3404800089234904,none,none
HCA,131471.9149245432,0.0,1,0,262943.8298490864,1,51.0,2.99637,2.99637,,1,1,0,131471.9149245432,0.0,131471.9149245432,0.0,1,0,323295.0,0.0,46973.00706752216,0.0,0,0,131471.9149245432,LONG,131471.9149245432,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,1,1.0,99684068094.0,3e-06,0.0,1426126.0,3739219.0,0.2266945557405166,0.0,0.0,0.0,0.357285,0.0,0.0,0.0,0.013188859307042718,0.0,3.3747395389459585,0.13562222123190154,0.8928,0.0344,1.6975,0.0,0.15,0.6,0.0,0.7562,0.0,0.0,0.0,0.0,0.6,0.0,0.25652127193611635,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,646590.0,0.0,0.0,0.0,0.33747395389459584,"confirmation_volume, room_to_target","continuation_pattern, momentum_aligned, not_extended, trend_aligned"
CIEN,1.870220784993973e-11,8.55129560030139e-17,2,1,3.740450121283546e-11,3,32.333333,17.44329,22.028571,8.272727,3,1,0,1.0009920230709888e-11,0.0,1.0009920230709888e-11,8.55129560030139e-17,2,1,2399167.5,752400.0,1.1464866502876365e-11,3.8010028980036346e-17,0,0,1.8702122336983728e-11,LONG,9.351103924969865e-12,8.55129560030139e-17,0.464773,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.5,0,0.0,71595679527.0,3.4e-05,1.1e-05,,,,,0.0,0.0,0.613022,0.444494,0.0,0.0,1.306098913614389e-18,1.1943870994445336e-23,3.2509938248381856,0.2721544408598768,0.3849,0.0,1.7,0.1556,0.15,0.6,0.2606,0.4215,0.0,1.7,0.0,0.0,0.6,0.0,0.40661804466548473,0.2700745531955577,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,0.0,0.0,4798335.0,752400.0,1500000.0,0.0,0.32509938248381853,"confirmation_volume, ema_pullback, not_extended, room_to_target, trend_aligned",momentum_aligned
