ticker,bullish_premium,bearish_premium,bullish_count,bearish_count,total_premium,total_count,avg_dte,avg_volume_oi_ratio,bullish_vol_oi,bearish_vol_oi,repeat_flow_count,bullish_sweep_count,bearish_sweep_count,bullish_sweep_premium,bearish_sweep_premium,bullish_max_trade_premium,bearish_max_trade_premium,bullish_repeat_count,bearish_repeat_count,bullish_premium_raw,bearish_premium_raw,bullish_delta_premium_raw,bearish_delta_premium_raw,bullish_repeat_2h,bearish_repeat_2h,net_premium_bias,dominant_direction,bullish_premium_per_trade,bearish_premium_per_trade,bullish_breadth,bearish_breadth,flow_imbalance_ratio,dte_score,bullish_accel_ratio,bearish_accel_ratio,bullish_accel_score,bearish_accel_score,dominant_dte_bucket,sweep_share,multileg_count,multileg_share,marketcap,bullish_flow_intensity,bearish_flow_intensity,total_call_premium,total_put_premium,bullish_unusual_premium_share,bearish_unusual_premium_share,bullish_delta_intensity,bearish_delta_intensity,bullish_avg_delta,bearish_avg_delta,bullish_delta_source_mix,bearish_delta_source_mix,bullish_ppt_bps,bearish_ppt_bps,bullish_score,bearish_score,bullish_flow_intensity_contrib,bullish_premium_per_trade_contrib,bullish_vol_oi_contrib,bullish_repeat_contrib,bullish_sweep_contrib,bullish_dte_contrib,bullish_breadth_contrib,bearish_flow_intensity_contrib,bearish_premium_per_trade_contrib,bearish_vol_oi_contrib,bearish_repeat_contrib,bearish_sweep_contrib,bearish_dte_contrib,bearish_breadth_contrib,bullish_score_abs,bearish_score_abs,bullish_flow_intensity_tier,bullish_premium_per_trade_tier,bullish_vol_oi_tier,bullish_repeat_tier,bullish_sweep_tier,bullish_dte_tier,bullish_breadth_tier,bearish_flow_intensity_tier,bearish_premium_per_trade_tier,bearish_vol_oi_tier,bearish_repeat_tier,bearish_sweep_tier,bearish_dte_tier,bearish_breadth_tier,bullish_zscore_tier,bearish_zscore_tier,bullish_unusual_premium_share_z,bullish_unusual_premium_share_tier,bearish_unusual_premium_share_z,bearish_unusual_premium_share_tier,lottery_bullish_premium,lottery_bearish_premium,swing_bullish_premium,swing_bearish_premium,leap_bullish_premium,leap_bearish_premium,bullish_score_raw,checks_passed,checks_failed
MRNA,459345.3491044464,17.801252864220274,6,1,459409.09152465645,7,74.714286,12.461587,12.305493,13.398148,7,2,1,202126.31320916972,17.801252864220274,202112.8797010428,17.801252864220274,6,1,11930327.5,1173000.0,144926.40471617554,1.3857491886727804,3,0,459327.5478515822,LONG,76557.5581840744,17.801252864220274,0.559998,0.0,99.0,1.0,0.5,0.0,0.1923076923076923,-0.3076923076923077,31-90,0.3333,0,0.0,55449872623.0,0.000215,2.1e-05,,,,,3e-06,0.0,0.315522,0.077846,0.0,0.0,0.013806624715729132,3.2103325079301462e-06,6.221625253416384,0.31182036190777973,2.5281,0.037,1.6502,0.7778,0.3,0.6,0.3286,0.718,0.0,1.6502,0.0,0.15,0.6,0.0,0.6643383280746918,0.32168991500996663,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.4987084001474082,1,0.0,0.0,13853042.0,2346000.0,0.0,0.0,0.6221625253416384,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
PURR,278718.3280135453,0.0,1,0,557436.6560270906,1,52.0,1019.0,1019.0,,1,1,0,278718.3280135453,0.0,278718.3280135453,0.0,1,0,285946.5,0.0,226054.95636412673,0.0,1,0,278718.3280135453,LONG,278718.3280135453,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,1432373515.0,0.0002,0.0,,,,,0.000158,0.0,0.811052,0.0,0.0,0.0,1.9458494945261906,0.0,5.488746337931211,0.1866704721790834,1.3886,1.7,1.6502,0.0,0.15,0.6,0.0,0.8527,0.0,0.414,0.0,0.0,0.6,0.0,0.7050000000000001,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.8188167231515795,1,-1.3823529143423074,1,0.0,0.0,571893.0,0.0,0.0,0.0,0.5488746337931211,"confirmation_volume, momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",none
PVH,3.752747313143864e-68,0.0,1,0,7.505494626287729e-68,1,57.0,34.333333,34.333333,,1,1,0,3.752747313143864e-68,0.0,3.752747313143864e-68,0.0,1,0,1035552.0,0.0,1.723733954516539e-68,0.0,1,0,3.752747313143864e-68,LONG,3.752747313143864e-68,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,1.0,0,0.0,3551706327.0,0.000292,0.0,,,,,0.0,0.0,0.459326,0.0,0.0,0.0,1.0566040566517436e-73,0.0,5.21516373854376,0.19024820698607192,2.815,0.0,1.6502,0.0,0.15,0.6,0.0,0.8421,0.0,0.4603,0.0,0.0,0.6,0.0,0.5349999999999999,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.463573936454341,1,-1.2264401380687378,1,0.0,0.0,2071104.0,0.0,0.0,0.0,0.521516373854376,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
GFS,1.0356247743155031e-29,0.0,2,0,1.0356247743155031e-29,2,42.0,16.062134,16.062134,,2,0,0,0.0,0.0,1.0356246221671799e-29,0.0,2,0,2314598.0,0.0,3.44951044451957e-30,0.0,1,0,1.0356247743155031e-29,LONG,5.1781238715775154e-30,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,25543074507.0,9.1e-05,0.0,,,,,0.0,0.0,0.333085,0.0,0.0,0.0,2.0272124525019364e-36,0.0,5.111705170482155,0.1452991020161185,2.706,0.0,1.6502,0.1556,0.0,0.6,0.0,0.4219,0.0,0.4311,0.0,0.0,0.6,0.0,0.5160110535995837,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.833350373215802,1,-1.329776173935704,1,0.0,0.0,2314598.0,0.0,0.0,0.0,0.5111705170482155,"not_extended, room_to_target","confirmation_volume, continuation_pattern, momentum_aligned, trend_aligned"
NAMS,2.9394348364311418e-09,0.0,1,0,5.8788696728622835e-09,1,36.0,2.792287,2.792287,,1,0,0,0.0,0.0,2.9394348364311418e-09,0.0,1,0,550290.0,0.0,2.3555277276438708e-09,0.0,1,0,2.9394348364311418e-09,LONG,2.9394348364311418e-09,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,3209572988.0,0.000171,0.0,,,,,0.0,0.0,0.801354,0.0,0.0,0.0,9.158336163162967e-15,0.0,5.065163738543761,0.1977675057836154,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.8478,0.0,0.5299,0.0,0.0,0.6,0.0,0.5058755159999999,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-1.4873116343680763,1,-1.7309452182688005,1,0.0,0.0,1100580.0,0.0,0.0,0.0,0.5065163738543761,"confirmation_volume, ema_pullback, momentum_aligned, not_extended, room_to_target",trend_aligned
KRE,1.1324242428063525e-17,0.0,1,0,1.1324242428063525e-17,1,72.0,5.623862,5.623862,,1,0,0,0.0,0.0,1.1324242428063525e-17,0.0,1,0,11857796.0,0.0,5.108826018783646e-18,0.0,1,0,1.1324242428063525e-17,LONG,1.1324242428063525e-17,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,1.0,4044895855.0,0.002932,0.0,,,,,0.0,0.0,0.451141,0.0,0.0,0.0,2.7996375763458377e-23,0.0,5.065163738543761,0.13669845103736714,2.815,0.0,1.6502,0.0,0.0,0.6,0.0,0.3647,0.0,0.4023,0.0,0.0,0.6,0.0,0.52,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.076208108038061,1,-2.064055012010004,1,0.0,0.0,11857796.0,0.0,0.0,0.0,0.5065163738543761,"confirmation_volume, ema_pullback, not_extended, room_to_target","momentum_aligned, trend_aligned"
HL,648729.3026135807,0.0,1,0,648729.3026135807,1,52.0,7.484009,7.484009,,1,0,0,0.0,0.0,648729.3026135807,0.0,1,0,673920.0,0.0,303331.5955736071,0.0,1,0,648729.3026135807,LONG,648729.3026135807,0.0,0.0,0.0,99.0,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,13704075992.0,4.9e-05,0.0,,,,,2.2e-05,0.0,0.467578,0.0,0.0,0.0,0.4733841982431271,0.0,4.923524359846207,0.13131735580604653,1.0494,1.624,1.6502,0.0,0.0,0.6,0.0,0.443,0.0,0.2702,0.0,0.0,0.6,0.0,0.5574470596548824,0.06,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-2.8388626074485517,1,-1.8984098809432202,1,0.0,0.0,673920.0,0.0,0.0,0.0,0.4923524359846207,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
ABVX,8.757639299128466e-62,6.14243387526424,3,2,12.28486775052848,5,52.8,8.49329,10.020761,6.202083,5,1,0,1.7631227974045306e-62,0.0,4.892200356209329e-62,6.14243387526424,3,2,2775788.0,2036716.5,4.893221349392077e-62,2.3770006241220263,0,1,-6.14243387526424,SHORT,2.919213099709489e-62,3.07121693763212,0.441379,0.0,1.4257604521223637e-62,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,1,0.2,9122004254.0,0.000304,0.000223,,,,,0.0,0.0,0.558737,0.38698,0.0,0.0,3.20018826830673e-68,3.3668225228960963e-06,4.5402648711025675,0.3586210174030685,1.5851,0.0,1.6502,0.3111,0.15,0.6,0.2438,1.1805,0.0,1.6502,0.1556,0.0,0.6,0.0,0.5904953253968253,0.5355555555555556,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-1.42700789362444,1,0.0,0.0,2775788.0,4073433.0,5098600.0,0.0,0.4540264871102567,none,none
DASH,0.0914776784711932,1.222581041607284e-08,3,1,0.09147770292281418,4,87.25,56.515568,56.515568,,4,0,1,0.0,1.222581041607284e-08,0.09147767847025493,1.222581041607284e-08,3,1,3283607.5,270000.0,0.024109915094226442,7.659884363078783e-09,1,0,0.09147766624538278,LONG,0.030492559490397735,1.222581041607284e-08,0.0,0.0,99.0,1.0,0.3333333333333333,0.0,0.025641025641025605,-0.3076923076923077,91+,0.0,0,0.0,93683917568.0,3.5e-05,3e-06,,,,,0.0,0.0,0.263561,0.626534,0.0,0.0,3.254833943965341e-09,1.3050063162867626e-15,4.391972835642633,0.13921353712256151,1.8307,0.0,1.6502,0.3111,0.0,0.6,0.0,0.3609,0.0,0.2812,0.0,0.15,0.6,0.0,0.3842743486162219,0.08332330638683377,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.024829060065737,1,-2.0499065799356435,1,0.0,3436750.0,3908832.0,540000.0,0.0,0.0,0.4391972835642633,"momentum_aligned, not_extended, trend_aligned, trend_continuation","confirmation_volume, room_to_target"
TEAM,0.601532580548527,8.219043589742311,3,1,8.82057617558521,4,69.0,52.94561,63.824916,20.307692,4,2,0,5.294371567059806e-09,0.0,0.6015325752541554,8.219043589742311,3,1,1473606.0,670507.0,0.3232214982440159,3.230837037894182,0,1,-7.617511009193784,SHORT,0.20051086018284234,8.219043589742311,0.0,0.0,0.07318766155459538,1.0,0.0,0.0,-0.3076923076923077,-0.3076923076923077,31-90,0.0,0,0.0,27242360573.0,5.4e-05,2.5e-05,,,,,0.0,0.0,0.53733,0.393092,0.0,0.0,7.360260123036818e-08,3.017008591351013e-06,4.068048731497627,0.31516450477372027,1.2068,0.0,1.6502,0.3111,0.3,0.6,0.0,0.9015,0.0,1.6502,0.0,0.0,0.6,0.0,0.47016829626717677,0.32049519762896644,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,-3.5,1,-2.50589571884626,1,0.0,0.0,2444750.0,670507.0,0.0,1136412.0,0.4068048731497627,"momentum_aligned, not_extended, room_to_target, trend_aligned, trend_continuation",confirmation_volume
