ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction
SPX,2026-03-20 20:40:05.434806+00:00,PUT,6225.0,2026-04-17,515410,70,1029,2939,6490.0,REPEATEDHITS,False,False,0,515410,28,BID,
SPX,2026-03-20 20:40:05.434806+00:00,PUT,6100.0,2026-04-17,374710,70,3495,16626,6490.0,REPEATEDHITS,False,False,374710,0,28,ASK,SHORT
QQQ,2026-03-20 20:15:33.961685+00:00,CALL,588.0,2026-03-23,142319,1029,32586,530,582.0,REPEATEDHITSDESCENDINGFILL,False,False,106130,36189,3,ASK,LONG
TLT,2026-03-20 20:15:33.961685+00:00,PUT,87.0,2026-07-17,52500,150,463,3245,85.0,REPEATEDHITS,True,False,52500,0,119,ASK,SHORT
SPY,2026-03-20 20:15:01.142400+00:00,CALL,655.0,2026-03-27,130000,200,42239,2646,649.0,REPEATEDHITS,False,False,0,130000,7,BID,
SLV,2026-03-20 20:15:01.142400+00:00,PUT,61.0,2026-03-27,19006,86,3394,989,61.0,REPEATEDHITS,False,False,0,0,7,MIXED,
TLT,2026-03-20 20:14:35.527989+00:00,CALL,86.0,2026-03-27,56316,722,25745,793,85.0,REPEATEDHITS,False,False,156,56082,7,BID,
TLT,2026-03-20 20:14:31.122653+00:00,CALL,90.0,2026-04-17,12216,509,41792,103626,85.0,REPEATEDHITS,False,False,0,12216,28,BID,
SPY,2026-03-20 20:14:21.713412+00:00,PUT,645.0,2026-03-23,158000,632,53691,2572,649.0,REPEATEDHITS,False,False,0,158000,3,BID,
SLV,2026-03-20 20:14:21.713412+00:00,PUT,60.5,2026-03-23,28000,280,3087,1728,61.0,REPEATEDHITS,False,False,0,0,3,MIXED,
SPY,2026-03-20 20:14:14.706158+00:00,CALL,655.0,2026-03-27,174850,269,41822,2646,649.0,REPEATEDHITS,True,False,174850,0,7,ASK,LONG
SPY,2026-03-20 20:14:14.706158+00:00,PUT,645.0,2026-03-23,615264,2488,52797,2572,649.0,REPEATEDHITSASCENDINGFILL,True,False,535731,246,3,ASK,SHORT
TLT,2026-03-20 20:14:08.700639+00:00,CALL,86.0,2026-03-27,16037,203,24800,793,85.0,REPEATEDHITS,False,False,16037,0,7,ASK,LONG
TLT,2026-03-20 20:13:59.890368+00:00,CALL,86.0,2026-03-27,31837,403,23871,793,85.0,REPEATEDHITS,False,False,31837,0,7,ASK,LONG
TLT,2026-03-20 20:13:59.890368+00:00,CALL,86.0,2026-03-27,24174,306,24180,793,85.0,REPEATEDHITS,False,False,24174,0,7,ASK,LONG
TLT,2026-03-20 20:13:47.275679+00:00,CALL,86.0,2026-03-23,63000,1500,5777,581,85.0,REPEATEDHITS,False,False,63000,0,3,ASK,LONG
IBIT,2026-03-20 20:13:44.270791+00:00,CALL,38.0,2026-03-20,91866,502,2800,11479,39.0,REPEATEDHITS,True,False,91866,0,0,ASK,LONG
SLV,2026-03-20 20:13:44.270791+00:00,CALL,63.0,2026-03-23,14497,195,4197,223,61.0,REPEATEDHITS,False,False,0,9472,3,BID,
SPY,2026-03-20 20:13:29.661491+00:00,PUT,645.0,2026-03-23,211500,846,50238,2572,649.0,REPEATEDHITS,True,False,180000,31500,3,ASK,SHORT
SPY,2026-03-20 20:13:29.661491+00:00,PUT,645.0,2026-03-24,152800,400,6179,5401,649.0,REPEATEDHITS,False,False,152800,0,4,ASK,SHORT
QQQ,2026-03-20 20:13:23.455130+00:00,PUT,600.0,2026-05-15,270411,90,794,16800,582.0,REPEATEDHITSASCENDINGFILL,False,False,78137,192274,56,BID,
SPY,2026-03-20 20:13:23.455130+00:00,PUT,645.0,2026-03-23,105000,420,49382,2572,649.0,REPEATEDHITS,True,False,74000,31000,3,ASK,SHORT
SPY,2026-03-20 20:13:19.050273+00:00,PUT,645.0,2026-03-23,160500,642,48959,2572,649.0,REPEATEDHITS,True,False,160500,0,3,ASK,SHORT
TLT,2026-03-20 20:13:11.844398+00:00,CALL,88.0,2026-04-17,12200,200,5309,33808,85.0,REPEATEDHITS,True,False,12139,0,28,ASK,LONG
QQQ,2026-03-20 20:12:55.633429+00:00,PUT,585.0,2026-03-23,567152,1003,34294,1861,582.0,REPEATEDHITSASCENDINGFILL,True,False,294930,272222,3,ASK,SHORT
TLT,2026-03-20 20:12:52.427884+00:00,CALL,88.0,2026-04-17,12200,200,5099,33808,85.0,REPEATEDHITS,False,False,12200,0,28,ASK,LONG
