ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
ORCL,2026-03-25 16:04:59.219101+00:00,CALL,146.0,2026-03-27,165039,609,1642,1073,146.13,REPEATEDHITS,False,False,165039,0,2,ASK,LONG,1.0
CORN,2026-03-25 16:04:43.809817+00:00,CALL,22.0,2026-08-21,15000,200,477,12136,18.605,REPEATEDHITS,False,False,15000,0,149,ASK,LONG,1.0
FCX,2026-03-25 16:04:39.401749+00:00,CALL,60.0,2026-05-15,80585,227,587,4925,57.28,REPEATEDHITS,False,False,80585,0,51,ASK,LONG,1.0
TLT,2026-03-25 16:04:39.401749+00:00,CALL,88.0,2026-06-18,16700,100,246,31595,86.86,REPEATEDHITS,False,False,15531,0,85,ASK,LONG,1.0
MSTR,2026-03-25 16:04:39.401749+00:00,CALL,142.0,2026-03-27,127224,684,4105,39932,138.8,REPEATEDHITS,False,False,0,127224,2,BID,SHORT,0.5
WRD,2026-03-25 16:04:39.401749+00:00,PUT,7.5,2027-01-15,45000,200,600,1321,7.15,REPEATEDHITS,True,False,45000,0,296,ASK,SHORT,1.0
MU,2026-03-25 16:04:33.996518+00:00,PUT,380.0,2026-04-17,64530,27,1053,4800,379.07,REPEATEDHITS,False,False,64530,0,23,ASK,SHORT,1.0
CHWY,2026-03-25 16:04:29.790438+00:00,PUT,25.0,2026-06-18,52500,250,370,1243,26.17,REPEATEDHITS,False,False,0,840,85,BID,LONG,0.5
SLV,2026-03-25 16:04:29.790438+00:00,CALL,70.0,2026-06-18,65000,100,564,57339,65.715,REPEATEDHITS,False,False,0,65000,85,BID,SHORT,0.5
QQQ,2026-03-25 16:04:20.581918+00:00,PUT,587.0,2026-03-26,160866,486,26536,1604,587.32,REPEATEDHITS,True,False,0,160866,1,BID,LONG,0.5
TEAM,2026-03-25 16:04:20.581918+00:00,CALL,70.0,2026-04-17,46580,137,1207,1024,66.51,REPEATEDHITS,False,False,2380,2380,23,MIXED,,0.0
WDAY,2026-03-25 16:04:20.581918+00:00,CALL,125.0,2026-04-17,44520,53,493,65,127.83,REPEATEDHITS,False,False,39480,0,23,ASK,LONG,1.0
AAOI,2026-03-25 16:04:20.581918+00:00,PUT,110.0,2026-05-15,22500,10,10,18,113.43,REPEATEDHITS,False,False,0,22500,51,BID,LONG,0.5
TSLA,2026-03-25 16:04:08.172004+00:00,PUT,340.0,2027-12-17,1528800,240,528,2155,388.75,REPEATEDHITS,False,False,0,1528800,632,BID,LONG,0.5
SIMO,2026-03-25 16:04:08.172004+00:00,CALL,105.0,2026-05-15,98610,57,127,0,113.38,REPEATEDHITS,False,False,84770,13840,51,ASK,LONG,1.0
ARM,2026-03-25 16:04:05.369080+00:00,PUT,120.0,2026-06-18,162265,391,882,4462,161.185,REPEATEDHITS,False,False,0,162265,85,BID,LONG,0.5
TERN,2026-03-25 16:04:00.564608+00:00,PUT,50.0,2028-01-21,14001,400,4965,0,52.76,REPEATEDHITS,False,False,0,14001,667,BID,LONG,0.5
SEDG,2026-03-25 16:03:57.760084+00:00,PUT,45.0,2026-05-15,1598184,3624,6418,87,51.02,FLOORTRADEMIDCAP,False,True,1598184,0,51,ASK,SHORT,1.0
SPY,2026-03-25 16:03:57.760084+00:00,PUT,655.0,2026-03-25,402381,3967,248618,19891,656.57,REPEATEDHITSASCENDINGFILL,True,False,1836,400545,0,BID,LONG,0.5
MSTR,2026-03-25 16:03:52.751835+00:00,PUT,143.0,2026-03-27,274821,478,6884,322,138.78,REPEATEDHITSDESCENDINGFILL,False,False,274821,0,2,ASK,SHORT,1.0
