ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
KRE,2026-04-17 15:55:02.977906+00:00,CALL,75.0,2026-07-17,41600,200,8228,105,71.13,REPEATEDHITS,False,False,31200,10400,68.794992,91,ASK,LONG,1.0
CORZ,2026-04-17 15:55:02.977906+00:00,CALL,17.0,2026-06-18,12720,30,514,10212,19.885,REPEATEDHITS,False,False,12720,0,6130066813.0,62,ASK,LONG,1.0
SLV,2026-04-17 15:54:56.971803+00:00,CALL,75.0,2026-04-17,18000,1000,30018,27413,74.57,REPEATEDHITS,False,False,18000,0,39109453513.0,0,ASK,LONG,1.0
MSTR,2026-04-17 15:54:56.971803+00:00,CALL,170.0,2026-04-17,17400,100,64175,6266,168.67,REPEATEDHITS,False,False,17400,0,46783909495.0,0,ASK,LONG,1.0
SNAP,2026-04-17 15:54:53.767002+00:00,CALL,5.5,2026-04-24,14300,220,10495,31010,6.115,REPEATEDHITS,True,False,14300,0,8637506577.0,7,ASK,LONG,1.0
MSCI,2026-04-17 15:54:49.760716+00:00,CALL,560.0,2026-04-17,50443,52,137,406,569.85,REPEATEDHITSASCENDINGFILL,False,False,0,50443,41505486326.0,0,BID,SHORT,0.5
COP,2026-04-17 15:54:49.760716+00:00,PUT,110.0,2027-12-17,74740,51,110,130,113.67,REPEATEDHITSDESCENDINGFILL,False,False,14650,60090,148599770709.0,609,BID,LONG,0.5
COP,2026-04-17 15:54:49.760716+00:00,PUT,110.0,2027-12-17,54920,37,59,130,113.68,REPEATEDHITSASCENDINGFILL,False,False,0,54920,148599770709.0,609,BID,LONG,0.5
MSTR,2026-04-17 15:54:49.760716+00:00,CALL,180.0,2026-04-24,44952,100,14042,3059,168.62,REPEATEDHITSDESCENDINGFILL,False,False,42300,2652,46783909495.0,7,ASK,LONG,1.0
CDE,2026-04-17 15:54:42.755392+00:00,CALL,20.0,2026-06-18,60770,206,393,4876,20.81,REPEATEDHITS,False,False,60770,0,12527323298.0,62,ASK,LONG,1.0
SNAP,2026-04-17 15:54:39.950986+00:00,PUT,6.0,2027-01-15,31720,244,777,3,6.11,REPEATEDHITS,False,False,0,31720,8637506577.0,273,BID,LONG,0.5
HUM,2026-04-17 15:54:39.950986+00:00,CALL,210.0,2026-05-15,46075,50,176,209,202.93,REPEATEDHITSASCENDINGFILL,False,False,46075,0,24210846335.0,28,ASK,LONG,1.0
PCG,2026-04-17 15:54:36.345864+00:00,CALL,19.0,2026-09-18,20200,200,772,12790,17.085,REPEATEDHITS,False,False,20200,0,46477109519.0,154,ASK,LONG,1.0
MSTR,2026-04-17 15:54:31.740066+00:00,PUT,160.0,2026-04-17,10500,500,20921,3692,168.521,REPEATEDHITS,True,False,0,10500,46783909495.0,0,BID,LONG,0.5
SGHC,2026-04-17 15:54:31.740066+00:00,CALL,9.75,2026-04-17,11340,84,9063,80326,11.11,REPEATEDHITS,False,False,0,9990,5522383380.0,0,BID,SHORT,0.5
USO,2026-04-17 15:54:31.740066+00:00,PUT,80.0,2026-05-15,23976,999,2174,16627,113.24,REPEATEDHITS,True,False,0,23976,1228364647.0,28,BID,LONG,0.5
ROKU,2026-04-17 15:54:31.740066+00:00,CALL,113.0,2026-04-17,79500,300,738,702,115.63,REPEATEDHITS,True,False,79500,0,14623390777.0,0,ASK,LONG,1.0
CRCL,2026-04-17 15:54:25.333252+00:00,CALL,103.0,2026-04-17,11630,63,279,3697,104.075,REPEATEDHITSDESCENDINGFILL,True,False,1679,9951,24511728624.0,0,BID,SHORT,0.5
FRMI,2026-04-17 15:54:25.333252+00:00,PUT,6.0,2026-04-24,15780,526,1407,927,6.67,REPEATEDHITS,False,False,0,15780,4201031399.0,7,BID,LONG,0.5
ARKK,2026-04-17 15:54:25.333252+00:00,CALL,79.0,2026-05-01,70000,250,252,288,79.815,REPEATEDHITS,False,False,40600,26600,5723514000.0,14,ASK,LONG,1.0
QQQ,2026-04-17 15:54:21.526195+00:00,PUT,635.0,2026-04-30,557500,1250,1442,581,648.955,REPEATEDHITS,False,False,0,557500,414247608516.0,13,BID,LONG,0.5
HUM,2026-04-17 15:54:21.526195+00:00,CALL,210.0,2026-05-15,46106,50,76,209,203.12,REPEATEDHITSASCENDINGFILL,False,False,46106,0,24210846335.0,28,ASK,LONG,1.0
NBIS,2026-04-17 15:54:18.921848+00:00,PUT,135.0,2026-04-24,28890,270,575,317,156.525,REPEATEDHITS,False,False,28890,0,33077081465.0,7,ASK,SHORT,1.0
ASTS,2026-04-17 15:54:18.317720+00:00,PUT,85.0,2026-05-15,698795,827,1141,11102,88.53,REPEATEDHITS,False,False,698795,0,26612412327.0,28,ASK,SHORT,1.0
MSTR,2026-04-17 15:54:18.317720+00:00,CALL,170.0,2026-04-17,17167,101,63814,6266,168.58,REPEATEDHITS,False,False,17000,0,46783909495.0,0,ASK,LONG,1.0
IGV,2026-04-17 15:54:13.713301+00:00,CALL,85.0,2026-05-08,14850,45,80,3909,85.535,REPEATEDHITS,False,False,14850,0,11629265141.0,21,ASK,LONG,1.0
KMI,2026-04-17 15:54:05.906524+00:00,CALL,45.0,2028-01-21,54400,800,839,3255,31.38,REPEATEDHITS,False,False,54400,0,70726595361.0,644,ASK,LONG,1.0
HUM,2026-04-17 15:54:05.906524+00:00,PUT,170.0,2026-05-15,10296,50,201,1411,203.0,REPEATEDHITSDESCENDINGFILL,False,False,0,10296,24210846335.0,28,BID,LONG,0.5
SOFI,2026-04-17 15:54:02.700868+00:00,PUT,22.0,2026-09-18,22250,50,92,24999,19.915,REPEATEDHITS,False,False,22250,0,24268271066.0,154,ASK,SHORT,1.0
MSTR,2026-04-17 15:54:02.700868+00:00,CALL,200.0,2026-04-24,18600,100,22541,1503,168.51,REPEATEDHITS,False,False,18600,0,46783909495.0,7,ASK,LONG,1.0
COIN,2026-04-17 15:53:59.094879+00:00,CALL,185.0,2026-04-24,31405,11,682,1461,212.5,REPEATEDHITS,False,False,22840,8565,44569223376.0,7,ASK,LONG,1.0
ATO,2026-04-17 15:53:59.094879+00:00,PUT,185.0,2026-05-15,21080,62,74,20,185.255,REPEATEDHITS,False,False,340,20740,31099213069.0,28,BID,LONG,0.5
TMC,2026-04-17 15:53:57.486463+00:00,CALL,7.0,2026-08-21,27900,300,7599,1897,5.455,REPEATEDHITS,False,False,27900,0,2235251045.0,126,ASK,LONG,1.0
QQQ,2026-04-17 15:53:57.486463+00:00,PUT,649.0,2026-04-20,135571,450,10948,0,648.81,REPEATEDHITSASCENDINGFILL,False,False,135571,0,414247608516.0,3,ASK,SHORT,1.0
MSTR,2026-04-17 15:53:57.486463+00:00,CALL,175.0,2026-04-17,14191,250,47270,2684,168.49,REPEATEDHITSASCENDINGFILL,False,False,11167,3024,46783909495.0,0,ASK,LONG,1.0
FRMI,2026-04-17 15:53:54.879735+00:00,PUT,6.0,2026-04-24,12425,355,762,927,6.655,REPEATEDHITS,False,False,490,0,4201031399.0,7,ASK,SHORT,1.0
TSLA,2026-04-17 15:53:54.879735+00:00,PUT,405.0,2026-04-24,250895,193,7747,527,405.82,REPEATEDHITSDESCENDINGFILL,True,False,250895,0,1459320798578.0,7,ASK,SHORT,1.0
GFS,2026-04-17 15:53:54.879735+00:00,CALL,60.0,2026-05-15,254796,1500,1554,358,53.92,REPEATEDHITSDESCENDINGFILL,False,False,254796,0,28011219247.0,28,ASK,LONG,1.0
W,2026-04-17 15:53:53.076743+00:00,CALL,87.0,2026-04-24,66425,324,971,15,84.09,REPEATEDHITS,True,False,45114,5655,8408975225.0,7,ASK,LONG,1.0
IONS,2026-04-17 15:53:48.868354+00:00,CALL,80.0,2027-01-15,27360,36,36,282,75.33,REPEATEDHITS,False,False,0,27360,12432350748.0,273,BID,SHORT,0.5
LYFT,2026-04-17 15:53:48.868354+00:00,CALL,18.0,2026-10-16,17000,100,108,55,15.1331,REPEATEDHITS,False,False,170,0,5860143887.0,182,ASK,LONG,1.0
COIN,2026-04-17 15:53:48.868354+00:00,CALL,250.0,2026-06-18,59790,46,762,4360,212.33,REPEATEDHITSDESCENDINGFILL,True,False,58495,1295,44569223376.0,62,ASK,LONG,1.0
MOD,2026-04-17 15:53:45.263073+00:00,PUT,160.0,2026-06-18,44550,135,233,0,244.65,REPEATEDHITS,False,False,0,44550,12405014094.0,62,BID,LONG,0.5
