ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,is_multileg,ask_side_premium,bid_side_premium,marketcap,dte,execution_side,direction,direction_confidence
AMKR,2026-05-08 17:12:56.243408+00:00,PUT,75.0,2026-08-21,556320,456,468,157,76.0,REPEATEDHITS,False,False,False,556320,0,17913746876.0,105,ASK,SHORT,1.0
QCOM,2026-05-08 17:12:51.237172+00:00,CALL,270.0,2026-08-21,885340,529,641,192,222.44,REPEATEDHITSDESCENDINGFILL,False,False,False,836785,3330,213487700000.0,105,ASK,LONG,1.0
SPY,2026-05-08 17:12:08.160134+00:00,PUT,730.0,2026-05-20,601869,1371,6748,522,737.22,REPEATEDHITS,False,False,False,601869,0,731.380257,12,ASK,SHORT,1.0
TSLA,2026-05-08 17:08:00.982106+00:00,PUT,425.0,2026-05-15,1519657,1698,14056,411,428.33,REPEATEDHITSDESCENDINGFILL,False,False,False,1519657,0,1545213966691.0,7,ASK,SHORT,1.0
INTC,2026-05-08 17:07:41.750065+00:00,PUT,125.0,2026-05-08,536625,3832,27756,23,128.49,REPEATEDHITSASCENDINGFILL,True,False,False,248920,287705,550950120000.0,0,BID,LONG,0.5
INTC,2026-05-08 17:06:34.056022+00:00,CALL,131.0,2026-05-15,1257095,1514,8585,85,129.51,REPEATEDHITSASCENDINGFILL,True,False,False,713177,459768,550950120000.0,7,ASK,LONG,1.0
PEP,2026-05-08 17:05:10.904671+00:00,PUT,135.0,2026-11-20,658737,1882,2099,281,155.94,REPEATEDHITSASCENDINGFILL,False,False,False,0,658737,213612219951.0,196,BID,LONG,0.5
INTC,2026-05-08 17:03:58.190682+00:00,CALL,131.0,2026-05-15,1092106,1368,3786,85,129.08,REPEATEDHITSASCENDINGFILL,True,False,False,1026246,60295,550950120000.0,7,ASK,LONG,1.0
SPX,2026-05-08 16:56:33.076970+00:00,PUT,7420.0,2026-06-18,554800,38,4579,8,7391.58,REPEATEDHITS,False,False,False,0,0,,41,MIXED,,0.0
AMD,2026-05-08 16:55:33.977885+00:00,PUT,410.0,2026-05-15,731994,1331,5155,774,441.425,REPEATEDHITSDESCENDINGFILL,False,False,False,731994,0,666035137006.0,7,ASK,SHORT,1.0
WFC,2026-05-08 16:54:35.505130+00:00,CALL,82.5,2026-08-21,1021592,4136,4184,1483,76.28,REPEATEDHITS,False,False,False,1976,1019616,242244600345.0,105,BID,SHORT,0.5
SOXL,2026-05-08 16:53:39.420942+00:00,PUT,160.0,2026-06-18,1507111,661,800,421,173.3,REPEATEDHITSASCENDINGFILL,False,False,False,98040,1409071,19377549126.0,41,BID,LONG,0.5
AMD,2026-05-08 16:47:42.512429+00:00,PUT,410.0,2026-06-05,601360,352,3158,112,441.6,REPEATEDHITSASCENDINGFILL,True,False,False,413795,119365,666035137006.0,28,ASK,SHORT,1.0
AMD,2026-05-08 16:47:25.499481+00:00,PUT,410.0,2026-06-05,771750,450,2646,112,442.004,REPEATEDHITS,True,False,False,668850,102900,666035137006.0,28,ASK,SHORT,1.0
AMD,2026-05-08 16:46:47.452674+00:00,PUT,450.0,2026-05-15,658745,319,2689,22,443.355,REPEATEDHITSASCENDINGFILL,True,False,False,656675,2070,666035137006.0,7,ASK,SHORT,1.0
MTUM,2026-05-08 16:46:08.213402+00:00,PUT,290.0,2026-05-15,1092000,12000,13186,2958,300.18,LOWHISTORICVOLUMEFLOOR,False,True,True,1092000,0,25138032190.0,7,ASK,SHORT,1.0
AMD,2026-05-08 16:45:21.263921+00:00,PUT,410.0,2026-05-15,875453,1700,3716,774,442.835,REPEATEDHITSDESCENDINGFILL,False,False,False,874943,510,666035137006.0,7,ASK,SHORT,1.0
APLD,2026-05-08 16:43:02.686577+00:00,CALL,42.0,2026-09-18,624150,657,682,599,40.64,REPEATEDHITS,False,False,False,524400,99750,11868008955.0,133,ASK,LONG,1.0
SPX,2026-05-08 16:40:42.656298+00:00,CALL,7420.0,2026-06-18,12180000,840,4005,421,7396.98,REPEATEDHITS,False,False,False,0,0,,41,MIXED,,0.0
SPX,2026-05-08 16:40:42.656298+00:00,PUT,7420.0,2026-06-18,12180000,840,3931,8,7396.98,REPEATEDHITS,False,False,False,0,0,,41,MIXED,,0.0
SPX,2026-05-08 16:40:42.656298+00:00,CALL,7875.0,2026-09-18,30097200,2800,2800,449,7396.98,REPEATEDHITS,False,False,False,0,0,,133,MIXED,,0.0
AMD,2026-05-08 16:40:26.024213+00:00,PUT,450.0,2026-05-15,3510000,1755,2237,22,444.77,REPEATEDHITS,True,False,False,3510000,0,666035137006.0,7,ASK,SHORT,1.0
DIA,2026-05-08 16:34:51.393330+00:00,PUT,485.0,2026-06-18,1709548,3000,3009,1844,496.12,REPEATEDHITSASCENDINGFILL,False,False,False,1708987,561,495.925271,41,ASK,SHORT,1.0
VICR,2026-05-08 16:28:50.785986+00:00,CALL,300.0,2027-01-15,506400,80,80,31,252.16,REPEATEDHITS,False,False,False,506400,0,8849936483.0,252,ASK,LONG,1.0
AMD,2026-05-08 16:24:17.129643+00:00,CALL,442.5,2026-05-08,542151,1807,14690,805,441.705,REPEATEDHITSASCENDINGFILL,False,False,False,0,542151,666035137006.0,0,BID,SHORT,0.5
AMD,2026-05-08 16:16:52.870975+00:00,PUT,420.0,2026-05-15,599060,778,4148,543,441.67,REPEATEDHITS,False,False,False,599060,0,666035137006.0,7,ASK,SHORT,1.0
CCL,2026-05-08 16:16:44.457115+00:00,CALL,32.0,2026-07-17,506184,6026,6032,3341,26.895,REPEATEDHITS,False,False,False,0,506184,14247355977.0,70,BID,SHORT,0.5
AMD,2026-05-08 16:15:54.379992+00:00,PUT,442.5,2026-05-08,949990,2836,5508,40,442.42,REPEATEDHITSDESCENDINGFILL,False,False,False,949656,334,666035137006.0,0,ASK,SHORT,1.0
MU,2026-05-08 16:15:49.374532+00:00,PUT,715.0,2026-05-15,580000,200,820,8,726.56,REPEATEDHITS,False,False,False,290000,290000,729226669398.0,7,MIXED,,0.0
JD,2026-05-08 16:15:19.332211+00:00,CALL,32.0,2026-07-17,567591,4143,4185,510,30.0,REPEATEDHITS,False,False,False,0,567591,36650133089.0,70,BID,SHORT,0.5
AAOI,2026-05-08 16:11:13.416277+00:00,CALL,157.5,2026-06-05,639200,376,377,3,146.65,REPEATEDHITS,False,False,False,637500,0,12642247941.0,28,ASK,LONG,1.0
GLD,2026-05-08 16:10:17.744024+00:00,PUT,432.0,2026-05-15,649055,1213,4039,137,432.27,REPEATEDHITSDESCENDINGFILL,False,False,False,2160,646895,435.569048,7,BID,LONG,0.5
AMZN,2026-05-08 16:06:20.775452+00:00,PUT,265.0,2026-05-29,910594,2335,2376,1249,272.92,REPEATEDHITSDESCENDINGFILL,False,False,False,910594,0,2917005365760.0,21,ASK,SHORT,1.0
XLV,2026-05-08 16:04:29.791325+00:00,CALL,145.0,2026-12-18,6542549,7969,7970,750,143.625,LOWHISTORICVOLUMEFLOOR,False,True,True,0,6542549,144.734567,224,BID,SHORT,0.5
TWLO,2026-05-08 15:58:36.476196+00:00,PUT,195.0,2026-10-16,629903,248,248,0,200.09,REPEATEDHITSDESCENDINGFILL,False,False,False,629903,0,29910074590.0,161,ASK,SHORT,1.0
SNDK,2026-05-08 15:58:30.262397+00:00,CALL,1740.0,2026-05-29,604255,81,84,11,1517.98,REPEATEDHITS,False,False,False,604255,0,198434352130.0,21,ASK,LONG,1.0
QCOM,2026-05-08 15:57:39.949141+00:00,CALL,230.0,2026-06-05,826323,471,2784,334,226.81,REPEATEDHITSASCENDINGFILL,False,False,False,826323,0,213487700000.0,28,ASK,LONG,1.0
GLD,2026-05-08 15:55:20.743001+00:00,PUT,432.0,2026-05-15,553647,1003,1034,137,432.18,REPEATEDHITSASCENDINGFILL,False,False,False,450782,101755,435.569048,7,ASK,SHORT,1.0
INTC,2026-05-08 15:54:27.665039+00:00,CALL,150.0,2026-05-22,623125,4985,5410,1899,118.14,REPEATEDHITS,True,False,False,610625,0,550950120000.0,14,ASK,LONG,1.0
SOXX,2026-05-08 15:51:16.165018+00:00,PUT,400.0,2028-12-15,1192400,200,200,26,512.09,FLOORTRADELARGECAP,False,True,False,1192400,0,32014433750.0,952,ASK,SHORT,1.0
AG,2026-05-08 15:50:47.539482+00:00,CALL,37.0,2026-12-18,581250,3875,3888,91,21.13,REPEATEDHITS,False,False,False,0,581250,10499557636.0,224,BID,SHORT,0.5
QCOM,2026-05-08 15:50:42.726377+00:00,CALL,230.0,2026-06-05,2339532,1312,1344,334,226.45,REPEATEDHITSASCENDINGFILL,False,False,False,2339532,0,213487700000.0,28,ASK,LONG,1.0
AXTI,2026-05-08 15:50:42.726377+00:00,CALL,165.0,2026-11-20,1273372,379,409,26,111.76,REPEATEDHITSDESCENDINGFILL,False,False,False,1270042,3330,6025289604.0,196,ASK,LONG,1.0
GOOG,2026-05-08 15:50:15.697765+00:00,CALL,560.0,2028-01-21,711820,200,216,85,395.67,REPEATEDHITS,False,False,False,711820,0,1879382770000.0,623,ASK,LONG,1.0
SPX,2026-05-08 15:47:43.425637+00:00,CALL,7415.0,2026-06-18,1396800,96,3938,62,7395.58,REPEATEDHITS,False,False,False,0,0,,41,MIXED,,0.0
SPX,2026-05-08 15:47:43.425637+00:00,PUT,7415.0,2026-06-18,1396800,96,3928,0,7395.58,REPEATEDHITS,False,False,False,0,0,,41,MIXED,,0.0
