snapshot_date,ticker,st_messages,st_bullish,st_bearish,st_sentiment,rd_mentions,rd_posts,rd_comments,rd_top_sub,rd_sentiment
2026-08-26,SNDX,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,DKS,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,KOD,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,YELP,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,SRRK,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,CRCL,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,ZM,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,DY,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,GKOS,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,EPAM,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,KSS,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,NVO,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,OKTA,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,PLAB,0,0,0,0.5,0,0,0,—,neutral
2026-08-26,TRMD,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,SNDX,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,CRCL,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,KOD,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,YELP,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,ANF,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,SRRK,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,CRWD,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,LCID,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,ZM,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,GKOS,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,EPAM,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,EWY,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,MRVL,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,ASST,0,0,0,0.5,0,0,0,—,neutral
2026-08-27,PURR,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,SNDX,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,ASTS,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,CRCL,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,KOD,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,LULU,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,YELP,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,SRRK,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,IBIT,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,ANF,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,GKOS,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,CRWD,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,EPAM,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,LCID,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,ZM,0,0,0,0.5,0,0,0,—,neutral
2026-08-28,EWY,0,0,0,0.5,0,0,0,—,neutral
2026-08-31,ASTS,0,0,0,0.5,0,0,0,—,neutral
2026-08-31,ALKS,0,0,0,0.5,0,0,0,—,neutral
2026-08-31,PURR,0,0,0,0.5,0,0,0,—,neutral
2026-08-31,BMNR,0,0,0,0.5,0,0,0,—,neutral
2026-08-31,CARR,0,0,0,0.5,0,0,0,—,neutral
2026-08-31,IBIT,0,0,0,0.5,0,0,0,—,neutral
2026-08-31,TRIP,0,0,0,0.5,0,0,0,—,neutral
